월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,75,2,96,134,140,177,187,194,175,184,230,251,244,236,176,114,78,40,16,,22
2021-07,휴일,63,4,57,77,103,126,128,149,125,119,135,145,155,136,103,78,58,29,15,,9
2021-08,평일,72,3,84,121,145,164,191,196,174,189,244,246,228,221,167,106,73,34,13,,22
2021-08,휴일,60,2,52,69,102,119,126,149,144,127,141,153,150,137,103,76,47,26,13,,9
2021-09,평일,73,3,90,118,145,172,193,213,190,206,259,259,242,222,176,109,74,41,16,,22
2021-09,휴일,68,3,52,82,129,163,152,165,165,160,178,185,180,160,120,87,58,33,12,,8
2021-10,평일,74,3,96,124,138,177,207,224,204,231,280,294,275,244,187,110,78,50,18,,21
2021-10,휴일,65,3,48,68,112,146,154,162,172,168,199,218,210,174,120,78,60,37,15,,10
2021-11,평일,73,4,88,130,137,174,209,213,212,223,290,291,272,246,177,114,80,45,22,,22
2021-11,휴일,61,2,46,70,126,152,156,161,165,176,203,220,205,177,123,74,66,38,16,,8
2021-12,평일,71,3,84,115,133,174,192,209,208,223,279,286,254,229,169,100,74,40,16,,23
2021-12,휴일,54,2,43,56,92,128,120,147,156,145,158,178,167,146,99,59,50,28,12,,8
2022-01,평일,71,3,77,108,126,163,190,197,207,218,272,277,255,226,160,104,84,38,11,0,21
2022-01,휴일,60,2,44,54,104,136,134,154,167,164,179,189,172,139,97,62,60,28,7,0,10
2022-02,평일,69,2,73,107,118,155,174,193,190,196,241,262,233,210,160,93,76,33,13,0,20
2022-02,휴일,59,2,45,63,110,137,136,155,152,152,161,175,179,143,104,59,57,30,9,0,8
2022-03,평일,74,3,92,115,127,161,174,204,201,216,253,269,247,221,172,100,75,38,20,0,23
2022-03,휴일,58,2,49,59,106,132,135,149,154,150,175,190,171,150,109,66,53,32,17,0,8
2022-04,평일,82,3,136,124,160,193,225,271,227,234,303,316,280,262,209,124,90,50,27,0,21
2022-04,휴일,62,3,50,83,161,200,201,204,208,206,240,230,221,184,144,105,76,44,25,0,9
2022-05,평일,90,4,135,138,178,205,230,279,230,243,306,313,300,272,223,138,102,63,29,0,22
2022-05,휴일,69,4,52,84,161,216,201,200,209,206,233,252,226,198,152,107,85,52,25,0,9
2022-06,평일,93,6,137,136,165,176,215,258,219,233,292,302,283,253,211,136,102,64,29,1,22
2022-06,휴일,67,5,53,87,146,172,168,178,189,182,212,254,234,209,167,108,91,60,28,0,8
2022-07,평일,96,6,135,149,172,184,216,257,215,225,283,311,286,264,211,138,97,66,25,1,21
2022-07,휴일,76,4,56,86,134,157,161,170,162,157,193,215,203,190,145,103,90,53,25,0,10
2022-08,평일,87,4,96,142,169,165,203,229,205,210,270,289,271,250,206,123,87,49,23,5,23
2022-08,휴일,73,4,51,89,133,159,157,165,159,161,185,205,219,190,139,102,81,51,22,1,8
2022-09,평일,93,5,129,147,171,182,226,259,226,236,299,313,294,283,211,131,89,61,24,7,22
2022-09,휴일,66,4,51,88,126,160,150,162,154,168,192,212,224,196,134,95,74,45,22,2,8
2022-10,평일,98,5,124,144,164,184,222,247,227,255,318,337,326,290,215,134,97,60,27,8,21
2022-10,휴일,81,5,55,95,146,165,173,177,173,198,229,258,261,235,165,108,85,59,28,0,10
2022-11,평일,92,6,145,143,160,180,215,271,231,256,315,346,325,279,202,130,93,58,23,7,22
2022-11,휴일,77,5,51,82,134,164,165,182,173,198,245,264,240,210,146,100,81,47,20,1,8
2022-12,평일,87,7,112,137,144,164,208,243,228,256,316,333,305,264,203,118,104,62,27,8,22
2022-12,휴일,68,5,47,67,115,146,155,181,183,184,240,255,246,196,137,95,83,56,26,2,9
2023-01,평일,77,6,74,121,135,166,199,209,225,232,298,307,279,246,189,118,88,48,23,7,22
2023-01,휴일,66,3,44,63,97,131,132,160,162,175,186,207,185,159,113,75,60,38,21,1,9
2023-02,평일,91,11,101,160,156,192,223,271,244,270,324,354,324,308,214,132,99,57,27,8,20
2023-02,휴일,72,8,58,76,130,180,163,190,199,214,240,276,246,220,152,103,83,51,26,0,8
2023-03,평일,99,18,166,155,160,198,239,293,246,271,329,354,344,298,236,142,108,62,32,8,23
2023-03,휴일,74,10,60,92,168,203,179,195,196,216,241,288,279,247,167,125,84,53,26,0,8
2023-04,평일,101,17,188,163,166,215,250,305,256,264,340,365,336,300,241,147,115,66,26,10,20
2023-04,휴일,82,12,62,91,166,217,199,215,217,224,249,267,259,236,172,134,101,60,28,0,10
2023-05,평일,105,6,158,168,173,198,246,291,243,261,323,355,327,300,232,151,117,65,29,11,23
2023-05,휴일,82,4,62,89,140,197,178,200,197,212,230,261,242,207,159,124,101,55,28,0,8
2023-06,평일,109,6,157,168,179,194,246,287,243,247,314,345,323,303,228,154,122,68,28,12,22
2023-06,휴일,86,6,64,102,164,203,195,196,185,193,228,262,264,227,177,136,111,61,32,0,8
2023-07,평일,98,6,156,164,167,195,237,270,237,239,290,327,320,291,219,154,119,62,27,11,21
2023-07,휴일,78,6,61,90,136,167,158,179,176,182,205,237,228,193,155,117,93,50,26,0,10
2023-08,평일,91,5,115,167,173,181,221,236,215,222,273,311,307,283,208,143,105,55,25,11,23
2023-08,휴일,78,5,60,107,138,164,175,168,183,182,204,220,234,214,170,126,102,54,27,0,8
2023-09,평일,96,6,167,152,174,187,233,280,233,243,304,340,313,301,223,148,106,65,26,11,21
2023-09,휴일,78,4,59,106,147,166,171,176,193,194,225,250,259,232,171,127,95,54,29,0,9
2023-10,평일,95,6,150,151,169,197,246,281,247,268,334,358,362,320,224,148,109,61,29,10,22
2023-10,휴일,75,5,61,95,142,179,168,200,201,212,265,303,286,259,180,127,105,63,31,0,9
2023-11,평일,90,5,170,160,159,184,245,288,247,260,332,375,345,306,221,136,102,63,32,12,22
2023-11,휴일,72,4,56,92,129,162,148,180,177,214,245,279,258,220,161,116,92,55,27,0,8
2023-12,평일,83,4,129,167,147,184,237,268,247,267,329,380,329,295,207,145,112,69,33,12,21
2023-12,휴일,61,5,49,80,132,154,162,206,185,211,264,272,256,230,148,113,100,57,32,3,10
