월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,47,30,60,71,106,92,96,85,92,95,90,79,75,66,39,22,17,9,7,,22
2021-07,휴일,31,23,27,36,40,57,55,59,55,61,52,50,43,39,23,19,14,7,3,,9
2021-08,평일,49,27,48,65,95,85,104,80,95,89,89,73,63,65,36,21,14,6,6,,22
2021-08,휴일,30,20,22,30,36,53,53,50,55,56,54,54,44,34,21,15,11,5,3,,9
2021-09,평일,49,27,51,63,98,94,94,90,97,100,99,80,72,67,38,26,16,7,6,,22
2021-09,휴일,31,22,24,28,42,65,74,66,66,68,65,58,56,46,29,22,14,6,3,,8
2021-10,평일,50,31,55,76,110,103,107,100,115,116,116,101,97,73,45,26,19,8,7,,21
2021-10,휴일,29,22,25,32,47,76,86,87,88,88,77,74,61,44,30,18,17,8,4,,10
2021-11,평일,49,32,60,78,104,99,103,99,110,115,117,102,92,71,41,27,20,10,7,,22
2021-11,휴일,29,24,27,31,47,79,96,98,82,94,88,83,64,50,31,24,17,9,4,,8
2021-12,평일,47,32,61,78,101,95,97,94,110,107,112,97,82,62,38,24,19,9,5,,23
2021-12,휴일,26,24,20,27,37,58,64,72,70,72,65,56,50,34,26,15,12,6,2,,8
