월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,61,19,62,105,111,125,116,109,108,103,116,129,122,100,68,44,25,18,8,,22
2021-07,휴일,45,11,37,43,62,90,87,86,80,73,71,79,81,69,42,30,18,15,6,,9
2021-08,평일,53,19,61,102,99,116,127,110,114,104,120,130,109,96,63,38,23,16,6,,22
2021-08,휴일,42,12,35,47,63,83,87,86,86,78,79,89,80,74,40,26,15,12,5,,9
2021-09,평일,60,18,61,103,102,123,135,112,130,119,135,147,127,101,66,39,24,19,7,,22
2021-09,휴일,50,14,43,63,81,109,103,112,96,96,96,103,98,82,48,31,23,12,5,,8
2021-10,평일,66,21,65,114,100,122,141,126,139,137,147,158,146,113,70,42,27,18,9,,21
2021-10,휴일,48,16,41,60,72,102,112,114,104,108,110,112,125,96,50,38,24,18,8,,10
2021-11,평일,65,21,70,112,107,124,141,126,135,135,155,166,146,107,69,39,24,19,11,,22
2021-11,휴일,48,14,44,64,76,103,125,111,110,100,115,119,124,83,47,35,23,13,10,,8
2021-12,평일,61,16,68,105,98,122,141,129,144,143,149,161,137,95,63,38,26,16,9,,23
2021-12,휴일,40,9,40,48,65,83,94,102,101,96,102,95,90,61,39,26,21,12,8,,8
2022-01,평일,54,14,61,102,100,129,143,129,146,144,150,157,131,101,65,38,24,14,7,0,21
2022-01,휴일,37,9,36,49,68,101,105,117,107,107,104,106,93,60,35,26,21,9,5,0,10
2022-02,평일,57,13,65,94,86,109,121,115,127,123,139,141,124,93,63,33,21,12,8,0,20
2022-02,휴일,48,8,37,52,68,100,103,100,102,93,108,99,98,69,38,24,19,12,5,0,8
2022-03,평일,61,13,71,97,91,118,130,122,129,123,134,138,124,91,64,39,21,14,10,0,23
2022-03,휴일,41,9,39,54,61,93,102,96,98,91,93,100,82,68,46,26,18,13,10,0,8
2022-04,평일,65,12,77,107,103,134,141,131,145,143,153,163,149,119,76,47,29,20,12,0,21
2022-04,휴일,52,9,51,58,84,124,117,113,120,112,113,126,125,94,59,42,26,19,12,0,9
2022-05,평일,72,16,81,117,120,145,156,139,158,142,164,173,155,131,85,55,34,22,14,0,22
2022-05,휴일,55,11,48,65,94,129,145,131,125,123,128,138,123,104,64,49,35,22,10,0,9
