월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,36,17,41,47,31,36,42,36,34,32,40,43,41,31,19,14,11,7,2,,22
2021-07,휴일,15,7,13,11,16,21,23,28,23,20,21,29,25,19,15,11,8,4,3,,9
2021-08,평일,35,14,38,45,26,33,42,38,34,36,41,50,40,34,18,13,10,7,2,,22
2021-08,휴일,15,6,13,10,16,17,23,27,20,22,27,27,29,20,12,9,10,4,2,,9
2021-09,평일,29,14,39,44,28,32,42,39,38,37,46,46,40,32,21,12,10,7,3,,22
2021-09,휴일,14,6,11,12,15,21,26,33,28,26,29,28,31,21,14,10,11,4,4,,8
2021-10,평일,32,14,41,43,31,38,44,41,38,43,49,53,45,34,19,13,13,7,3,,21
2021-10,휴일,15,6,11,13,18,23,23,31,30,30,31,34,37,24,15,10,8,4,3,,10
2021-11,평일,34,17,46,44,36,40,46,40,44,45,52,58,50,31,22,12,12,9,2,,22
2021-11,휴일,14,6,12,14,18,28,28,30,32,34,36,39,40,24,17,12,7,4,3,,8
2021-12,평일,34,16,44,39,32,38,44,41,42,41,51,51,45,30,20,10,11,5,2,,23
2021-12,휴일,15,6,7,12,17,24,20,25,26,27,28,30,29,17,14,9,6,3,1,,8
2022-01,평일,28,16,41,38,32,32,41,40,41,44,51,50,40,30,19,12,10,5,2,0,21
2022-01,휴일,11,7,9,10,16,21,19,27,29,31,31,29,30,19,13,7,5,3,2,0,10
2022-02,평일,25,14,37,36,36,31,36,32,36,38,45,43,36,30,19,10,11,6,2,0,20
2022-02,휴일,11,8,12,11,12,20,22,25,26,29,32,35,32,17,15,9,6,4,2,0,8
2022-03,평일,28,15,45,39,37,36,39,40,38,40,45,44,39,29,19,10,9,5,2,0,23
2022-03,휴일,12,8,14,11,16,21,25,25,25,29,33,27,26,18,17,9,5,3,2,0,8
2022-04,평일,34,17,49,39,37,41,44,39,43,42,52,52,46,37,21,14,10,8,4,0,21
2022-04,휴일,13,7,14,12,16,26,23,28,35,34,33,33,34,24,21,13,13,6,3,0,9
2022-05,평일,36,16,46,40,39,40,50,41,44,50,54,56,49,39,27,16,13,10,3,0,22
2022-05,휴일,15,7,13,14,20,32,27,29,33,38,36,38,32,27,22,18,12,6,3,0,9
2022-06,평일,35,16,40,40,33,41,48,43,42,42,49,54,48,36,24,15,15,10,2,0,22
2022-06,휴일,15,6,14,14,20,29,31,34,45,39,38,37,35,23,22,14,12,4,4,0,8
2022-07,평일,36,17,46,40,35,46,50,40,40,41,53,56,48,39,23,16,14,10,3,1,21
2022-07,휴일,15,7,14,14,20,30,27,23,29,30,31,32,31,22,20,13,10,6,3,0,10
2022-08,평일,33,17,49,40,28,41,47,43,40,41,49,57,48,35,23,13,13,9,2,1,23
2022-08,휴일,15,7,16,13,21,31,31,28,28,31,29,33,36,24,21,14,10,6,3,0,8
2022-09,평일,34,16,49,43,35,46,48,43,43,43,53,59,52,45,26,13,14,9,3,1,22
2022-09,휴일,14,6,15,12,18,27,23,27,27,36,35,32,37,26,19,12,10,4,4,1,8
2022-10,평일,36,15,48,44,37,48,51,43,44,45,56,62,58,38,26,14,13,9,4,1,21
2022-10,휴일,17,6,15,16,24,29,30,29,33,38,41,44,37,28,22,16,12,7,5,0,10
2022-11,평일,36,14,49,47,37,50,48,46,53,50,55,63,54,40,24,15,11,9,3,1,22
