월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,82,7,80,123,112,109,122,124,105,127,135,125,156,111,86,46,31,22,10,,22
2021-07,휴일,42,6,48,52,62,72,65,82,68,81,68,73,91,66,61,38,26,17,6,,9
2021-08,평일,78,8,74,116,108,104,121,128,110,130,132,138,149,108,83,42,28,18,8,,22
2021-08,휴일,42,6,40,43,59,67,64,79,68,80,72,81,96,68,60,35,24,14,4,,9
2021-09,평일,70,7,71,118,104,101,113,129,122,131,142,146,158,113,83,42,31,23,8,,22
2021-09,휴일,40,7,48,58,70,84,80,90,84,107,90,96,117,82,66,38,25,18,6,,8
2021-10,평일,77,8,75,133,117,112,126,142,128,144,155,162,174,124,85,46,33,27,8,,21
2021-10,휴일,42,7,45,57,61,82,78,89,91,103,104,106,121,84,68,38,27,20,5,,10
2021-11,평일,80,9,75,133,119,115,130,134,131,145,169,166,176,126,92,49,32,24,13,,22
2021-11,휴일,45,9,46,56,66,100,86,93,84,100,101,116,124,88,64,41,22,20,9,,8
2021-12,평일,74,7,70,118,109,108,118,129,131,142,160,156,172,114,87,47,31,19,11,,23
2021-12,휴일,37,6,35,45,58,86,64,78,85,85,90,93,99,69,48,28,22,12,5,,8
2022-01,평일,69,8,68,113,100,102,119,127,120,146,159,155,168,114,83,48,35,17,7,0,21
2022-01,휴일,35,8,35,42,60,88,72,85,77,88,94,94,101,66,53,29,25,12,5,0,10
2022-02,평일,67,8,66,117,95,94,107,111,112,129,144,147,155,108,81,42,33,18,7,0,20
2022-02,휴일,42,8,34,52,64,85,75,86,75,90,84,98,105,69,57,38,24,15,4,0,8
2022-03,평일,66,7,72,117,94,96,108,116,110,125,149,147,150,119,82,44,29,20,10,0,23
2022-03,휴일,39,8,41,53,63,77,69,82,74,90,82,91,92,67,61,34,22,17,7,0,8
2022-04,평일,76,8,71,127,106,101,123,134,125,148,165,167,171,135,93,56,37,25,13,0,21
2022-04,휴일,46,8,42,58,68,86,84,90,81,107,98,119,123,91,81,48,32,22,9,0,9
2022-05,평일,82,7,81,134,108,104,132,140,128,151,172,169,182,137,98,63,43,27,14,0,22
2022-05,휴일,47,6,43,60,80,107,90,98,86,106,107,112,130,89,82,57,39,22,10,0,9
2022-06,평일,80,8,81,125,112,108,127,143,130,147,169,160,167,137,93,58,43,27,12,2,22
2022-06,휴일,46,5,44,66,83,105,93,103,89,110,106,113,117,91,80,56,37,21,9,0,8
2022-07,평일,83,6,83,134,111,116,128,139,124,150,171,163,171,135,95,56,42,29,11,3,21
2022-07,휴일,48,6,49,64,84,104,81,88,79,97,98,104,113,90,76,48,39,22,8,0,10
2022-08,평일,80,5,79,126,103,110,128,130,119,137,165,153,163,125,91,50,34,26,11,2,23
2022-08,휴일,48,4,51,58,77,95,80,98,83,97,90,107,104,89,80,46,37,18,9,0,8
2022-09,평일,82,7,83,123,108,110,126,137,131,153,168,167,171,131,99,54,37,26,11,2,22
2022-09,휴일,45,5,45,54,65,98,79,85,83,91,94,100,111,86,76,45,31,25,7,0,8
2022-10,평일,79,7,84,125,105,112,126,141,130,153,186,172,181,131,95,54,40,29,12,2,21
