월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,22,5,37,64,48,55,63,68,54,61,82,93,94,82,62,41,24,16,9,,22
2021-07,휴일,15,4,16,26,28,41,39,47,38,41,47,57,51,48,33,31,18,11,7,,9
2021-08,평일,20,5,36,59,49,53,62,65,54,61,82,91,95,78,59,38,24,13,7,,22
2021-08,휴일,14,4,15,20,26,31,38,46,38,45,53,60,58,56,37,31,16,12,5,,9
2021-09,평일,23,5,33,64,49,62,66,66,56,64,95,97,100,79,58,36,26,15,8,,22
2021-09,휴일,16,2,14,25,35,41,47,51,45,62,59,67,68,62,40,34,20,13,6,,8
2021-10,평일,24,5,37,66,54,55,67,70,60,73,103,113,109,86,61,40,28,17,7,,21
2021-10,휴일,15,4,17,26,37,41,44,47,46,59,74,85,67,65,38,32,22,15,5,,10
2021-11,평일,24,5,38,65,56,62,70,66,61,70,108,115,108,83,57,39,27,16,7,,22
2021-11,휴일,15,4,16,23,37,40,47,49,43,64,74,84,73,63,35,28,21,14,6,,8
2021-12,평일,23,6,34,48,48,55,60,66,61,71,98,109,104,74,52,36,26,12,6,,23
2021-12,휴일,14,4,16,19,22,34,34,44,43,53,54,67,51,44,32,21,18,10,5,,8
2022-01,평일,17,6,30,42,44,53,64,66,58,66,97,109,97,76,55,35,25,13,6,0,21
2022-01,휴일,12,5,16,19,27,38,40,46,46,56,60,66,57,53,31,24,17,9,3,0,10
2022-02,평일,19,7,27,46,41,53,58,66,54,62,90,101,87,78,53,33,22,12,5,0,20
2022-02,휴일,14,5,16,23,26,36,40,52,39,47,59,70,58,53,32,26,17,9,3,0,8
2022-03,평일,21,7,28,56,40,51,61,68,60,62,95,105,100,73,54,34,23,12,7,0,23
2022-03,휴일,14,6,17,20,32,32,41,47,52,48,59,72,59,51,33,25,14,10,7,0,8
2022-04,평일,22,7,35,58,48,56,70,68,65,70,102,116,110,85,60,42,27,16,10,0,21
2022-04,휴일,13,6,20,28,33,38,48,47,51,53,71,85,76,66,47,33,26,16,8,0,9
2022-05,평일,25,8,34,64,57,63,68,73,74,72,99,118,114,89,67,50,32,21,12,0,22
2022-05,휴일,15,5,20,28,43,43,50,52,53,63,78,79,78,69,49,41,30,14,10,0,9
2022-06,평일,24,6,33,73,64,63,70,72,77,66,95,110,110,88,66,46,32,18,10,2,22
2022-06,휴일,16,6,18,29,40,46,53,52,53,56,69,78,78,67,60,39,28,14,8,0,8
2022-07,평일,22,8,35,67,70,68,70,81,73,70,94,116,111,91,71,45,30,18,11,2,21
2022-07,휴일,14,5,21,30,41,38,45,50,50,54,61,75,68,64,48,38,26,12,7,0,10
2022-08,평일,19,7,35,65,55,63,67,74,64,63,94,106,107,82,64,39,29,15,7,2,23
2022-08,휴일,13,4,18,24,43,35,46,58,49,52,64,77,76,60,53,39,28,14,7,0,8
2022-09,평일,21,6,34,67,64,62,69,82,72,72,103,117,117,86,69,43,32,17,10,2,22
2022-09,휴일,13,5,19,57,37,36,45,52,49,58,65,74,71,69,46,34,24,11,8,0,8
2022-10,평일,22,6,37,69,64,60,67,78,73,75,108,126,122,91,67,42,32,20,11,3,21
2022-10,휴일,15,5,20,28,41,45,46,50,55,61,80,90,79,71,52,40,29,16,12,0,10
2022-11,평일,22,6,38,66,61,60,67,87,74,75,108,125,121,87,65,43,28,19,10,3,22
2022-11,휴일,12,5,20,29,40,36,43,49,49,66,79,89,80,61,44,34,23,14,10,1,8
2022-12,평일,22,6,33,54,61,58,68,79,69,75,110,124,120,81,61,44,29,17,12,3,22
2022-12,휴일,11,3,18,23,37,39,44,52,51,60,77,84,75,57,42,31,22,16,9,1,9
2023-01,평일,17,6,27,50,54,54,61,77,68,68,103,120,111,82,58,35,24,15,11,2,22
2023-01,휴일,11,4,15,22,34,37,44,53,45,49,64,73,61,49,34,25,16,13,9,0,9
2023-02,평일,21,13,34,75,76,67,70,85,79,77,114,124,123,94,68,44,27,19,10,3,20
2023-02,휴일,11,9,20,26,41,46,55,52,55,64,82,94,85,68,50,38,24,11,10,0,8
2023-03,평일,24,23,40,73,77,72,67,83,76,78,113,125,124,94,71,42,31,21,10,3,23
2023-03,휴일,15,15,22,27,38,44,51,53,50,69,77,97,88,73,54,38,25,14,11,0,8
2023-04,평일,24,22,44,80,78,72,67,85,87,80,117,122,122,97,72,45,33,26,12,3,20
2023-04,휴일,17,16,22,30,44,41,53,54,57,64,76,99,92,74,54,42,26,18,10,0,10
2023-05,평일,26,6,47,72,71,72,69,82,82,79,107,122,122,90,70,47,35,23,12,3,23
2023-05,휴일,20,5,27,26,42,42,54,50,58,64,75,83,78,62,47,40,32,16,9,0,8
2023-06,평일,28,7,48,73,81,75,68,85,80,76,103,121,117,97,69,46,36,22,12,3,22
2023-06,휴일,20,4,27,54,52,47,51,47,58,61,75,85,89,69,55,45,31,20,10,0,8
2023-07,평일,29,6,48,74,81,75,78,90,77,71,106,124,115,93,68,48,34,22,12,2,21
2023-07,휴일,22,5,25,28,45,45,48,54,55,54,66,76,72,63,45,36,25,15,11,0,10
2023-08,평일,28,7,43,71,76,70,70,85,72,66,101,117,111,89,70,48,29,20,10,3,23
2023-08,휴일,22,7,24,28,48,49,55,52,57,60,72,78,79,67,58,40,25,18,9,0,8
2023-09,평일,29,7,41,69,79,80,73,97,80,76,107,124,116,91,69,47,33,23,11,3,21
2023-09,휴일,21,5,25,26,48,45,52,54,61,65,78,84,80,72,50,43,27,18,10,0,9
2023-10,평일,30,7,39,77,74,73,68,90,80,78,108,130,120,101,70,46,34,22,10,2,22
2023-10,휴일,20,4,25,33,42,53,55,56,60,65,78,106,92,73,62,41,33,17,10,0,9
2023-11,평일,29,6,43,74,80,74,71,97,80,75,116,132,120,95,65,45,31,23,9,3,22
2023-11,휴일,18,5,24,26,40,49,52,50,62,61,78,95,84,66,52,38,25,18,8,0,8
2023-12,평일,27,6,36,64,70,65,71,89,76,76,127,128,119,86,62,42,33,24,10,3,21
2023-12,휴일,15,4,22,23,43,45,52,54,59,68,75,95,78,65,49,33,27,19,5,1,10
