월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,118,35,153,192,288,361,360,288,300,377,434,413,357,271,187,120,79,52,22,,22
2021-07,휴일,93,25,105,130,233,256,226,223,194,191,188,198,188,146,108,72,59,33,16,,9
2021-08,평일,114,32,147,176,274,361,357,300,326,384,418,418,346,265,188,107,74,42,15,,22
2021-08,휴일,89,22,97,121,218,241,210,221,191,193,185,188,185,152,108,66,54,33,9,,9
2021-09,평일,105,35,142,173,270,361,347,306,340,399,439,431,351,266,184,121,80,51,19,,22
2021-09,휴일,89,22,102,137,265,305,246,247,228,221,245,235,229,173,136,87,62,42,12,,8
2021-10,평일,107,36,148,190,277,386,384,335,379,456,495,506,398,297,202,124,94,62,21,,21
2021-10,휴일,86,22,101,121,255,299,257,261,257,250,263,276,251,181,136,82,71,45,18,,10
2021-11,평일,107,36,151,182,279,380,371,333,389,444,520,501,408,279,203,126,90,63,34,,22
2021-11,휴일,86,20,91,125,259,301,256,261,255,261,262,290,278,219,142,91,68,50,22,,8
2021-12,평일,104,32,145,164,249,339,341,321,389,436,490,479,373,254,184,115,86,51,27,,23
2021-12,휴일,76,19,79,90,185,241,180,211,224,222,229,219,218,166,111,65,60,34,13,,8
2022-01,평일,90,30,133,129,250,346,330,305,364,421,470,459,373,266,178,114,88,48,17,0,21
2022-01,휴일,72,18,81,86,198,263,222,229,220,234,224,225,205,174,111,65,63,23,10,0,10
2022-02,평일,93,31,134,149,249,323,323,288,348,402,424,424,339,252,171,104,78,46,17,0,20
2022-02,휴일,74,19,88,96,218,285,227,226,235,230,221,227,226,180,119,67,58,35,11,0,8
2022-03,평일,102,31,143,167,259,353,339,304,331,406,450,406,351,267,185,107,78,56,25,0,23
2022-03,휴일,78,17,85,106,198,255,211,211,203,208,204,222,219,190,118,67,55,35,19,0,8
2022-04,평일,120,37,156,182,293,370,376,340,362,464,527,465,411,299,219,131,96,63,35,0,21
2022-04,휴일,90,22,100,124,243,318,274,256,251,251,258,301,277,234,166,99,78,47,29,0,9
2022-05,평일,130,36,167,193,303,390,382,361,382,463,557,499,439,330,233,152,112,72,40,0,22
2022-05,휴일,104,21,107,131,277,326,291,277,271,280,283,307,279,260,182,126,87,49,24,0,9
2022-06,평일,120,34,158,208,319,384,387,351,375,457,535,495,395,297,206,141,113,72,31,8,22
2022-06,휴일,104,20,106,123,234,302,290,288,275,280,288,305,290,254,175,128,99,55,21,10,8
2022-07,평일,121,36,165,214,331,390,406,361,381,450,523,478,391,299,217,148,120,70,29,7,21
2022-07,휴일,96,22,103,132,228,284,279,266,251,247,251,270,266,221,155,116,104,58,22,9,10
2022-08,평일,116,35,160,195,312,371,380,348,367,424,481,446,374,288,201,123,102,61,23,5,23
2022-08,휴일,99,22,91,125,217,279,260,262,237,240,253,259,257,213,164,108,95,54,19,7,8
2022-09,평일,114,37,163,195,311,373,398,364,389,462,517,469,391,302,220,133,101,63,28,7,22
2022-09,휴일,90,21,91,104,171,247,250,233,229,220,246,278,249,233,163,104,68,43,21,7,8
2022-10,평일,116,36,164,186,304,392,401,379,412,485,561,509,417,315,218,143,100,62,28,7,21
2022-10,휴일,92,25,102,123,202,278,286,270,273,276,299,326,302,253,185,122,94,53,23,9,10
