월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,185,78,136,134,190,161,151,132,133,125,111,97,82,49,29,20,15,12,2,,22
2021-07,휴일,85,37,70,49,86,53,91,57,61,46,39,31,28,22,17,17,10,7,2,,9
2021-08,평일,183,72,127,133,181,160,144,126,137,124,114,98,78,46,28,19,13,8,2,,22
2021-08,휴일,86,30,55,46,63,51,75,55,56,46,35,34,29,23,19,12,10,7,2,,9
2021-09,평일,179,64,122,135,198,179,166,138,133,126,120,97,83,49,32,22,16,9,2,,22
2021-09,휴일,112,40,74,77,96,69,122,70,78,63,45,44,42,29,19,16,10,8,2,,8
2021-10,평일,178,70,134,150,231,217,202,166,160,150,143,118,101,63,30,22,19,11,3,,21
2021-10,휴일,112,43,86,83,131,77,143,81,93,76,56,50,43,31,21,19,14,7,4,,10
2021-11,평일,184,70,138,139,237,247,230,202,175,156,144,123,120,69,35,24,20,11,5,,22
2021-11,휴일,110,41,114,76,184,86,202,92,96,99,82,64,60,32,24,16,13,6,4,,8
2021-12,평일,178,73,132,132,183,170,174,158,154,148,133,112,96,62,36,20,17,9,4,,23
2021-12,휴일,94,34,104,58,178,65,165,69,70,66,56,46,38,27,18,15,10,6,3,,8
2022-01,평일,176,69,119,129,175,166,171,146,156,148,128,109,84,42,27,21,16,8,3,0,21
2022-01,휴일,100,38,93,53,180,62,155,65,73,72,49,40,38,22,17,15,12,4,3,0,10
2022-02,평일,172,67,113,124,187,178,158,130,136,130,117,103,76,44,24,19,12,8,3,0,20
2022-02,휴일,110,42,93,56,190,70,157,65,79,74,47,43,39,24,17,14,11,4,3,0,8
2022-03,평일,175,70,116,134,198,214,148,135,143,135,120,101,76,46,25,20,14,9,4,0,23
2022-03,휴일,99,37,94,57,177,61,140,60,74,65,61,38,32,25,15,13,8,5,3,0,8
2022-04,평일,187,78,136,149,235,249,211,173,164,153,136,123,106,64,33,25,19,12,5,0,21
2022-04,휴일,111,46,114,65,199,80,182,80,91,89,67,60,58,46,23,24,11,8,5,0,9
2022-05,평일,191,77,132,158,278,288,271,220,174,157,149,133,129,76,37,29,22,15,6,0,22
2022-05,휴일,118,44,155,72,288,97,217,97,125,99,70,63,69,38,29,22,14,8,5,0,9
2022-06,평일,182,77,129,159,270,282,297,227,188,158,144,124,136,84,44,31,22,15,6,1,22
2022-06,휴일,135,55,167,77,286,101,263,123,114,92,66,67,74,42,28,24,16,9,6,0,8
2022-07,평일,190,82,136,159,243,214,267,210,184,168,149,130,124,74,41,31,21,15,5,0,21
2022-07,휴일,126,51,158,70,261,92,204,100,96,85,64,53,57,37,26,23,16,8,3,0,10
2022-08,평일,188,84,128,158,235,200,216,164,159,147,125,110,101,58,37,26,18,14,6,1,23
2022-08,휴일,119,50,140,65,256,90,209,94,97,86,55,51,56,34,27,20,15,10,4,0,8
2022-09,평일,189,90,140,171,286,308,270,226,185,171,140,126,127,82,39,30,21,14,5,1,22
2022-09,휴일,123,44,150,63,271,86,216,97,102,97,67,63,69,37,26,20,14,7,3,0,8
2022-10,평일,190,83,142,175,288,319,292,227,189,172,150,136,126,77,43,31,21,15,6,1,21
2022-10,휴일,166,63,170,76,291,106,262,114,122,129,84,77,67,42,30,24,16,10,6,0,10
2022-11,평일,195,86,151,175,298,332,301,243,198,183,166,141,155,83,43,31,19,13,5,1,22
2022-11,휴일,144,61,158,73,302,99,292,130,127,121,88,88,91,46,31,22,14,9,4,0,8
2022-12,평일,191,86,140,158,233,229,334,267,205,177,160,158,206,89,41,34,24,14,5,1,22
2022-12,휴일,151,69,117,69,264,111,278,147,127,139,144,124,97,47,29,24,13,10,4,1,9
2023-01,평일,175,82,128,143,200,202,262,215,168,150,132,120,124,60,36,28,20,12,4,1,22
2023-01,휴일,136,54,138,61,306,95,260,107,101,106,58,61,62,33,18,18,11,6,2,0,9
2023-02,평일,191,98,149,162,261,273,336,280,216,190,164,141,165,83,46,33,25,14,5,1,20
2023-02,휴일,152,70,157,73,313,111,309,143,129,118,81,82,74,44,30,24,12,7,3,0,8
2023-03,평일,197,112,152,173,282,351,340,276,208,183,161,146,154,87,45,36,28,15,5,1,23
2023-03,휴일,172,83,174,84,330,110,326,151,128,111,75,82,75,48,32,23,14,12,3,0,8
2023-04,평일,214,110,167,173,266,302,315,272,201,173,163,144,148,96,45,36,27,17,6,1,20
2023-04,휴일,161,85,181,88,333,115,310,131,128,111,74,70,73,46,30,25,19,13,5,0,10
2023-05,평일,202,75,148,166,282,308,281,244,185,161,147,136,129,84,48,34,26,17,6,1,23
2023-05,휴일,167,56,181,87,359,112,277,116,118,101,70,66,72,49,28,26,18,10,3,0,8
2023-06,평일,212,80,148,162,255,292,316,269,185,162,152,136,147,85,47,36,25,17,7,1,22
2023-06,휴일,170,56,203,87,344,111,305,140,115,112,80,67,77,52,36,31,21,14,4,0,8
2023-07,평일,214,80,152,155,227,219,283,226,176,158,140,118,125,74,46,35,25,17,5,1,21
2023-07,휴일,160,63,175,80,312,111,259,121,99,94,64,58,59,38,31,26,16,11,3,0,10
2023-08,평일,197,73,139,156,224,211,219,196,150,140,136,112,115,67,43,34,24,13,5,1,23
2023-08,휴일,161,61,181,87,312,108,252,111,109,90,63,56,61,42,32,27,20,10,3,0,8
