월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,45,8,58,74,104,104,99,98,89,90,118,106,106,66,52,34,26,12,6,,22
2021-07,휴일,33,4,30,34,52,57,57,61,50,47,58,55,58,43,31,21,16,11,5,,9
2021-08,평일,45,9,56,71,103,96,104,95,92,93,113,102,99,70,52,29,24,10,5,,22
2021-08,휴일,32,5,29,35,46,50,58,57,50,53,54,57,56,45,30,20,17,8,5,,9
2021-09,평일,44,9,50,75,97,95,109,111,102,102,123,107,97,73,53,27,23,14,6,,22
2021-09,휴일,29,5,28,38,54,62,70,73,64,66,73,69,64,50,35,24,20,14,4,,8
2021-10,평일,49,9,50,88,111,106,122,117,109,121,143,126,112,80,49,32,25,15,7,,21
2021-10,휴일,29,5,26,34,58,72,74,75,78,76,80,78,71,56,36,25,20,13,7,,10
2021-11,평일,46,10,51,85,113,107,129,110,111,124,146,126,118,78,52,31,26,15,7,,22
2021-11,휴일,28,6,26,38,57,71,74,68,78,82,82,80,70,59,35,25,22,12,6,,8
2021-12,평일,41,11,49,77,108,107,118,109,108,124,128,126,103,72,46,30,25,15,5,,23
2021-12,휴일,26,4,22,28,49,63,60,60,64,59,68,70,61,48,30,21,20,13,4,,8
2022-01,평일,33,10,46,76,97,112,118,101,118,121,124,130,107,72,46,31,27,14,5,0,21
2022-01,휴일,22,5,22,36,50,65,63,67,63,64,78,64,63,53,36,22,20,11,4,0,10
2022-02,평일,33,9,44,79,94,95,105,94,105,109,113,115,105,74,44,28,24,15,5,0,20
2022-02,휴일,25,6,21,40,50,68,71,60,68,63,73,66,65,51,37,22,20,14,4,0,8
2022-03,평일,40,9,45,77,95,96,123,103,105,112,116,121,103,78,48,33,23,14,7,0,23
2022-03,휴일,26,4,22,38,48,64,70,63,52,65,62,67,59,50,33,26,19,12,7,0,8
2022-04,평일,41,11,61,90,120,129,167,135,133,147,140,138,121,87,60,37,30,17,10,0,21
2022-04,휴일,31,5,32,50,75,97,121,101,96,110,94,95,75,65,45,38,26,15,10,0,9
2022-05,평일,44,14,66,90,123,125,144,117,124,142,137,142,130,95,60,42,34,21,12,0,22
2022-05,휴일,30,5,33,52,76,95,79,81,78,81,83,85,77,69,50,38,28,17,10,0,9
2022-06,평일,45,13,68,90,125,122,121,120,121,124,135,135,119,92,58,39,32,20,10,3,22
2022-06,휴일,33,6,36,48,70,101,86,81,74,84,84,92,83,67,52,40,30,20,9,2,8
2022-07,평일,44,12,72,94,134,135,128,122,126,121,135,130,113,97,55,42,30,20,8,3,21
2022-07,휴일,31,6,34,48,67,91,79,70,66,70,69,74,74,64,50,35,29,14,9,1,10
2022-08,평일,40,13,65,84,125,127,119,108,113,116,127,123,106,86,57,38,25,15,9,3,23
2022-08,휴일,30,6,30,45,76,80,76,74,72,68,64,76,73,62,46,35,25,16,10,1,8
2022-09,평일,38,13,68,95,134,127,125,117,139,132,136,137,121,91,58,43,27,16,10,3,22
2022-09,휴일,25,7,28,38,60,82,76,74,66,75,75,75,77,67,51,31,22,16,11,1,8
2022-10,평일,45,13,73,100,143,137,148,135,158,144,154,146,127,96,60,40,29,18,10,3,21
2022-10,휴일,31,6,34,47,70,97,89,89,81,94,92,98,86,76,50,35,28,19,11,1,10
