월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,343,136,257,433,710,552,525,393,448,429,346,283,206,122,79,47,32,15,5,,22
2021-07,휴일,163,41,70,72,113,154,153,143,152,131,112,94,72,48,36,27,18,12,3,,9
2021-08,평일,327,126,243,405,678,542,520,394,451,428,360,278,196,121,75,46,26,13,3,,22
2021-08,휴일,151,35,67,62,96,132,134,116,140,121,112,92,74,54,35,29,18,10,3,,9
2021-09,평일,310,120,237,369,630,495,507,385,426,419,351,272,212,118,76,47,27,14,5,,22
2021-09,휴일,164,39,78,76,106,177,157,153,170,152,128,115,87,59,40,30,22,10,3,,8
2021-10,평일,329,125,254,391,748,587,576,461,518,493,411,330,249,145,75,46,31,16,6,,21
2021-10,휴일,154,40,73,77,134,210,208,182,216,192,162,140,110,66,47,32,24,10,4,,10
2021-11,평일,348,133,256,406,797,635,629,501,543,499,441,356,256,135,80,49,36,18,9,,22
2021-11,휴일,160,39,74,83,143,239,226,192,214,205,165,162,118,68,48,32,24,11,6,,8
2021-12,평일,341,134,252,384,685,540,560,451,523,478,392,309,218,118,72,42,29,13,7,,23
2021-12,휴일,155,32,60,71,106,182,186,151,185,161,129,122,77,52,35,29,18,10,3,,8
2022-01,평일,337,130,232,387,704,561,540,438,485,468,399,307,220,114,64,46,31,12,5,0,21
2022-01,휴일,147,31,57,66,100,187,158,152,176,148,134,108,82,52,35,26,20,6,3,0,10
2022-02,평일,327,123,224,378,646,511,491,398,470,423,354,285,203,116,66,42,30,14,4,0,20
2022-02,휴일,155,39,63,77,113,205,186,177,217,174,143,128,86,65,41,31,21,10,3,0,8
2022-03,평일,328,126,236,389,656,544,506,422,487,441,372,303,212,128,74,46,29,15,7,0,23
2022-03,휴일,158,32,65,75,128,207,188,160,185,148,123,122,83,55,45,29,21,11,4,0,8
2022-04,평일,363,133,262,424,721,615,549,468,554,486,421,336,248,145,86,56,33,18,11,0,21
