월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,112,35,140,255,264,306,313,302,300,332,401,419,370,345,231,153,114,58,25,,22
2021-07,휴일,84,23,98,126,154,182,198,232,199,203,221,219,224,207,148,110,83,49,18,,9
2021-08,평일,114,36,144,238,267,303,326,290,309,346,400,423,358,316,223,137,102,56,21,,22
2021-08,휴일,85,21,94,131,144,191,192,223,198,206,227,235,231,209,152,98,77,43,18,,9
2021-09,평일,108,37,138,228,257,305,323,318,328,377,421,447,383,325,230,148,95,63,28,,22
2021-09,휴일,89,25,101,128,156,233,234,262,245,248,280,281,282,244,174,113,92,51,21,,8
2021-10,평일,119,39,149,239,291,332,360,344,360,403,475,521,434,370,246,158,102,64,32,,21
2021-10,휴일,92,21,96,121,157,233,246,264,249,265,294,325,311,258,186,111,92,64,23,,10
2021-11,평일,118,38,145,255,301,331,364,332,362,408,501,517,431,364,251,152,104,61,35,,22
2021-11,휴일,89,21,112,141,191,245,253,284,267,285,334,360,329,261,184,125,92,57,25,,8
2021-12,평일,116,34,132,243,281,317,351,323,361,407,476,504,405,348,224,133,98,54,28,,23
2021-12,휴일,77,18,90,108,154,235,206,247,231,251,261,270,251,198,143,91,68,41,16,,8
2022-01,평일,101,34,133,223,268,291,337,317,343,395,456,487,393,331,209,136,103,51,21,0,21
2022-01,휴일,70,21,80,109,148,248,228,254,243,239,273,282,256,217,142,96,79,38,12,0,10
2022-02,평일,98,32,128,220,263,288,313,278,322,374,428,460,375,335,204,130,93,53,23,0,20
2022-02,휴일,75,20,88,112,166,229,223,266,237,243,268,295,252,217,150,100,80,49,14,0,8
2022-03,평일,100,34,135,237,264,293,306,311,325,377,448,469,410,340,219,139,88,59,30,0,23
2022-03,휴일,71,26,93,115,159,235,205,242,226,236,272,291,259,219,154,100,66,51,28,0,8
2022-04,평일,114,39,149,260,307,329,357,341,353,405,493,542,468,405,270,167,116,76,38,0,21
2022-04,휴일,85,25,104,132,209,266,267,282,268,290,333,363,337,288,217,144,105,69,32,0,9
2022-05,평일,115,41,151,274,327,368,386,348,376,432,513,553,507,429,289,186,128,87,46,0,22
2022-05,휴일,94,25,109,150,233,301,283,293,285,300,331,375,373,320,232,163,119,79,35,0,9
