월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,47,14,64,53,69,77,87,89,86,91,143,164,158,135,89,57,35,23,10,,22
2021-07,휴일,29,9,30,32,36,46,55,61,61,62,76,79,80,72,53,40,26,19,11,,9
2021-08,평일,44,14,59,53,62,72,88,90,90,98,144,170,160,136,83,54,33,19,11,,22
2021-08,휴일,29,10,29,30,37,48,51,57,53,62,81,92,90,75,57,43,24,15,10,,9
2021-09,평일,41,14,57,52,60,71,89,89,99,110,164,183,167,138,84,55,36,22,12,,22
2021-09,휴일,29,8,31,36,39,57,61,69,64,80,96,114,112,90,69,47,32,19,10,,8
2021-10,평일,45,15,56,53,65,78,91,101,110,121,181,211,194,159,90,64,44,28,12,,21
2021-10,휴일,30,9,28,35,43,59,64,75,77,91,109,124,122,96,69,54,34,23,11,,10
2021-11,평일,50,14,61,63,64,79,92,108,112,130,192,217,202,158,93,63,42,26,12,,22
2021-11,휴일,34,8,30,37,41,62,67,75,73,97,112,137,142,100,70,50,38,22,13,,8
2021-12,평일,52,16,56,62,56,78,89,104,110,125,177,204,175,144,87,54,44,25,10,,23
2021-12,휴일,33,9,26,30,33,52,54,68,72,73,94,105,92,79,50,40,30,18,8,,8
2022-01,평일,50,12,52,59,55,70,94,98,101,121,172,198,169,140,92,60,44,24,7,0,21
2022-01,휴일,30,7,29,32,37,59,58,70,73,85,96,109,99,74,59,42,32,16,6,0,10
2022-02,평일,43,10,54,55,55,68,85,93,94,108,160,181,162,139,86,53,37,22,7,0,20
2022-02,휴일,29,6,31,31,38,55,64,75,76,83,100,108,96,80,66,39,30,16,5,0,8
2022-03,평일,45,10,54,57,54,72,87,100,102,110,165,186,168,140,92,57,35,21,11,0,23
2022-03,휴일,31,6,30,29,35,48,57,64,76,83,80,98,94,78,68,44,24,18,8,0,8
2022-04,평일,49,12,64,67,69,81,98,113,118,131,199,223,195,163,105,74,48,31,13,0,21
2022-04,휴일,34,8,35,33,43,62,69,83,86,94,109,133,126,104,92,60,40,27,10,0,9
2022-05,평일,50,13,64,69,72,86,106,118,118,140,213,229,208,178,119,87,60,36,16,0,22
2022-05,휴일,35,8,31,38,46,77,71,83,89,99,120,143,139,108,94,72,49,31,14,0,9
2022-06,평일,45,13,67,62,66,79,107,116,115,143,205,217,205,171,112,80,61,40,14,2,22
2022-06,휴일,33,8,36,41,49,79,84,86,89,103,131,141,137,113,90,73,54,38,12,0,8
2022-07,평일,46,12,68,69,64,86,111,125,112,139,213,221,199,175,118,79,63,39,13,2,21
2022-07,휴일,35,7,35,40,48,73,79,78,82,90,116,118,118,103,96,65,50,31,11,0,10
2022-08,평일,45,12,62,65,67,79,105,119,109,131,195,204,183,163,110,74,49,35,12,2,23
2022-08,휴일,35,6,36,44,50,70,70,84,80,97,106,118,127,101,85,62,51,29,10,0,8
2022-09,평일,46,13,68,61,68,87,113,123,125,152,213,222,207,174,118,81,54,36,14,4,22
2022-09,휴일,32,7,35,39,48,69,66,86,82,94,120,125,123,115,87,65,44,27,12,1,8
2022-10,평일,48,14,70,65,72,83,123,128,131,163,225,244,231,180,120,84,60,38,13,3,21
2022-10,휴일,36,8,39,42,51,75,75,88,96,109,145,160,147,135,95,76,56,35,13,0,10
2022-11,평일,52,16,73,68,71,87,118,131,134,163,231,254,233,178,114,79,56,40,15,4,22
2022-11,휴일,34,9,40,38,45,76,70,85,94,120,133,155,145,119,88,71,50,32,13,0,8
2022-12,평일,47,16,64,59,62,78,112,125,129,159,228,239,205,168,110,82,64,42,16,4,22
2022-12,휴일,30,9,35,32,41,66,74,88,82,107,134,145,134,104,89,66,54,33,13,1,9
2023-01,평일,49,15,56,58,59,67,104,123,118,152,206,219,198,161,102,73,49,32,12,3,22
2023-01,휴일,31,9,30,31,38,63,59,83,75,102,108,116,116,86,71,48,34,21,8,0,9
