월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,91,23,130,148,159,173,185,175,187,211,308,307,277,229,174,116,89,53,19,,22
2021-07,휴일,77,17,79,84,115,115,128,132,132,147,145,162,162,132,111,76,67,39,15,,9
2021-08,평일,88,23,126,142,150,174,184,181,180,225,319,296,268,230,159,109,77,44,14,,22
2021-08,휴일,73,17,73,91,107,117,121,133,130,151,154,159,162,142,100,69,63,31,12,,9
2021-09,평일,89,19,116,146,141,168,188,200,206,237,335,315,284,221,168,117,82,51,17,,22
2021-09,휴일,76,17,80,101,105,132,149,161,170,182,190,202,202,164,131,83,74,43,12,,8
2021-10,평일,89,19,123,159,161,177,203,212,227,266,373,366,336,250,187,123,95,59,19,,21
2021-10,휴일,72,16,74,99,104,132,152,177,172,205,219,237,224,166,134,90,77,43,17,,10
2021-11,평일,87,20,133,159,159,184,202,210,226,278,395,364,322,252,182,134,91,64,25,,22
2021-11,휴일,75,17,74,93,109,153,162,162,164,209,228,247,244,188,150,90,78,47,20,,8
2021-12,평일,81,19,128,146,147,178,192,191,214,265,371,343,300,221,164,107,88,52,19,,23
2021-12,휴일,67,13,64,74,90,125,119,131,156,160,180,178,178,140,98,68,67,34,13,,8
2022-01,평일,75,18,112,135,132,154,183,192,223,250,368,337,285,226,166,106,99,43,13,0,21
2022-01,휴일,64,13,60,78,96,121,133,154,160,172,192,197,182,144,101,69,74,31,11,0,10
2022-02,평일,78,14,107,129,140,159,177,188,202,232,332,323,267,220,163,105,85,48,14,0,20
2022-02,휴일,68,13,63,80,101,124,137,155,167,168,182,196,177,149,112,75,70,37,13,0,8
2022-03,평일,81,15,119,129,141,167,185,190,221,233,341,324,275,227,165,105,76,52,23,0,23
2022-03,휴일,68,12,72,78,94,113,120,151,158,160,182,184,170,163,105,66,61,37,20,0,8
2022-04,평일,88,18,144,149,173,192,208,212,248,274,410,379,335,268,198,133,94,68,29,0,21
2022-04,휴일,76,15,82,92,118,147,159,182,199,208,237,248,252,212,149,111,85,49,27,0,9
2022-05,평일,96,22,146,149,188,205,217,232,251,287,418,399,345,290,208,146,108,72,36,0,22
2022-05,휴일,80,17,88,94,138,177,177,180,206,214,267,267,250,223,161,121,99,60,29,0,9
2022-06,평일,91,23,137,148,174,199,202,214,228,274,376,372,316,267,193,137,107,75,29,4,22
2022-06,휴일,82,19,83,111,123,168,175,175,212,217,232,264,248,225,171,126,108,67,30,0,8
2022-07,평일,94,26,146,152,182,193,198,202,218,260,368,373,322,263,194,140,114,79,27,5,21
2022-07,휴일,84,23,87,106,120,157,151,163,171,186,202,220,219,209,147,111,105,67,28,0,10
2022-08,평일,91,23,144,149,164,187,190,205,212,245,347,335,298,237,173,125,97,71,25,5,23
2022-08,휴일,81,23,90,106,124,149,150,166,175,173,198,212,213,182,146,109,105,59,26,0,8
2022-09,평일,99,24,140,144,168,186,201,216,235,272,373,362,321,260,186,133,103,67,29,6,22
2022-09,휴일,74,19,83,92,120,154,152,165,173,186,214,232,221,204,150,104,86,56,22,1,8
2022-10,평일,99,24,144,161,183,198,208,231,246,286,404,400,351,270,194,142,107,71,24,6,21
2022-10,휴일,80,22,90,112,124,161,169,176,199,222,248,283,283,245,174,129,116,65,24,1,10
2022-11,평일,104,20,144,164,188,190,208,223,248,290,408,396,352,268,188,129,106,74,23,6,22
2022-11,휴일,82,16,86,109,121,163,146,170,194,219,250,272,245,212,154,107,102,69,26,0,8
2022-12,평일,88,18,129,144,155,174,197,214,231,278,395,380,310,246,184,132,111,81,28,8,22
2022-12,휴일,67,15,73,90,106,151,162,170,180,206,245,253,235,199,133,110,101,61,27,3,9
2023-01,평일,82,18,116,142,151,175,189,216,232,279,388,355,298,237,177,125,96,69,26,8,22
2023-01,휴일,64,13,68,81,98,130,139,133,164,178,198,218,185,159,101,89,80,49,22,1,9
2023-02,평일,95,26,130,160,170,189,216,257,257,320,433,408,355,273,206,149,112,78,28,9,20
2023-02,휴일,78,20,78,108,127,173,179,199,235,256,284,278,260,218,153,120,90,62,26,0,8
