월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,168,41,161,229,294,316,354,344,328,397,559,531,528,404,302,198,143,95,36,,22
2021-07,휴일,133,28,116,140,191,222,245,282,253,252,265,259,292,209,183,133,102,74,28,,9
2021-08,평일,159,38,153,227,270,310,340,345,355,412,542,544,506,392,291,188,131,80,28,,22
2021-08,휴일,121,26,111,122,170,219,219,270,251,246,258,274,286,225,174,128,98,58,24,,9
2021-09,평일,150,36,154,212,259,311,349,368,398,436,567,559,528,388,296,198,142,90,37,,22
2021-09,휴일,133,29,111,136,206,259,263,323,316,305,324,342,340,262,217,143,116,69,32,,8
2021-10,평일,163,40,155,217,280,345,427,431,438,495,636,660,609,438,326,208,148,106,41,,21
2021-10,휴일,133,32,112,132,198,263,312,359,330,343,355,388,390,290,234,164,112,83,32,,10
2021-11,평일,164,39,157,215,281,350,427,403,414,484,667,650,594,443,317,217,153,98,49,,22
2021-11,휴일,136,29,118,137,210,273,330,354,319,322,360,401,424,342,238,169,119,80,39,,8
2021-12,평일,162,38,152,207,259,342,390,394,401,474,623,620,557,389,289,187,148,87,35,,23
2021-12,휴일,124,27,99,120,171,228,269,287,266,270,291,323,314,258,168,121,94,59,30,,8
2022-01,평일,154,44,140,185,251,307,371,385,391,456,612,600,538,386,287,191,150,87,31,0,21
2022-01,휴일,115,28,101,110,175,251,278,301,288,286,305,331,320,261,177,127,113,57,19,0,10
2022-02,평일,146,43,134,202,247,300,340,348,385,424,572,563,502,373,281,189,139,86,28,0,20
2022-02,휴일,121,31,106,121,192,250,300,329,303,272,308,332,334,271,194,132,110,64,26,0,8
2022-03,평일,153,42,143,210,251,313,351,373,375,420,599,560,501,396,300,191,136,90,44,0,23
2022-03,휴일,119,31,104,119,181,241,277,307,269,270,284,327,330,287,200,128,87,74,39,0,8
2022-04,평일,169,43,165,236,298,373,419,426,436,462,669,650,585,453,344,235,174,112,56,0,21
2022-04,휴일,133,34,125,137,234,285,354,335,313,335,353,411,434,365,267,186,139,97,54,0,9
2022-05,평일,179,49,169,258,326,393,474,458,436,495,680,673,608,470,358,263,190,124,58,0,22
2022-05,휴일,140,35,135,164,263,345,390,390,340,361,383,455,450,381,273,208,156,96,55,0,9
2022-06,평일,163,48,152,211,288,380,480,428,413,470,593,571,511,388,301,215,165,108,48,7,22
2022-06,휴일,139,37,118,151,255,342,418,398,351,362,384,419,415,348,262,199,152,91,52,2,8
2022-07,평일,166,46,151,229,308,387,450,410,400,443,574,571,504,387,282,208,172,103,45,8,21
2022-07,휴일,132,36,120,144,241,333,362,355,320,317,336,361,376,300,231,174,147,97,46,2,10
2022-08,평일,154,42,165,238,298,371,406,393,372,412,547,512,471,353,266,189,147,92,42,8,23
2022-08,휴일,125,35,131,156,241,319,353,358,307,294,310,339,359,291,228,165,144,79,43,1,8
2022-09,평일,153,42,152,206,287,382,441,406,391,436,556,560,499,370,282,191,151,89,42,7,22
2022-09,휴일,116,27,109,129,208,298,324,324,289,301,330,364,348,304,226,158,116,71,42,3,8
2022-10,평일,154,42,146,200,271,366,453,428,405,465,607,600,532,383,294,203,150,91,45,7,21
2022-10,휴일,132,32,117,140,221,310,370,374,328,344,384,419,426,364,253,186,151,87,44,2,10
2022-11,평일,155,43,145,197,272,364,438,404,403,461,616,585,526,383,282,194,146,91,43,7,22
2022-11,휴일,119,32,110,115,215,305,366,349,323,346,370,405,405,333,225,170,132,74,40,2,8
2022-12,평일,144,42,131,180,243,348,487,432,400,460,611,599,512,359,258,190,148,100,46,7,22
2022-12,휴일,112,30,100,104,177,297,411,402,336,331,372,413,383,318,221,159,131,79,46,5,9
2023-01,평일,134,38,116,157,225,315,390,377,374,428,559,524,452,328,248,169,132,82,41,6,22
2023-01,휴일,106,25,92,101,170,264,305,311,278,280,299,321,311,247,170,121,97,56,35,1,9
2023-02,평일,147,49,128,186,272,345,480,434,428,481,630,620,535,371,286,197,149,101,42,7,20
2023-02,휴일,120,33,95,109,213,323,413,403,352,346,382,423,398,336,240,161,120,79,40,1,8
2023-03,평일,153,59,136,186,298,385,481,440,425,469,615,616,546,397,294,212,167,98,47,7,23
2023-03,휴일,122,41,108,118,224,337,415,388,360,348,396,449,422,364,257,174,134,74,44,3,8
2023-04,평일,154,51,148,196,303,380,466,422,430,461,624,603,544,398,304,228,172,109,48,9,20
2023-04,휴일,128,41,114,129,232,342,388,361,340,339,384,420,436,371,273,197,148,89,49,2,10
2023-05,평일,149,40,144,199,296,392,449,420,414,449,599,581,528,390,297,221,170,110,50,9,23
2023-05,휴일,124,29,113,130,216,338,351,351,311,325,346,391,377,335,249,198,150,88,40,3,8
2023-06,평일,147,37,142,200,292,374,471,412,389,444,590,572,531,400,297,216,169,110,53,8,22
