월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,59,18,71,121,165,174,157,130,133,126,142,124,105,76,44,22,15,11,4,,44
2021-07,휴일,40,11,43,63,104,150,165,159,147,121,113,85,68,49,28,16,13,7,3,,18
2021-08,평일,53,18,68,114,151,163,160,135,137,134,148,121,101,72,40,22,15,9,4,,44
2021-08,휴일,36,11,42,61,103,156,186,185,172,157,129,95,74,47,28,18,13,7,2,,18
2021-09,평일,55,17,68,117,155,171,164,154,149,147,152,128,107,71,39,23,16,11,5,,44
2021-09,휴일,36,12,51,74,123,192,233,230,219,196,150,108,77,52,33,19,13,9,3,,16
2021-10,평일,54,16,66,121,158,172,171,155,160,155,159,134,109,72,39,22,16,13,6,,42
2021-10,휴일,36,12,41,65,108,173,233,237,227,192,161,106,81,52,30,20,14,9,4,,20
2021-11,평일,56,18,69,130,167,182,172,157,174,160,169,144,113,69,37,22,16,12,7,,44
2021-11,휴일,34,12,40,73,128,218,256,259,245,219,172,124,88,58,29,19,15,9,6,,16
2021-12,평일,54,18,63,115,151,175,173,156,156,151,165,138,105,63,34,22,18,11,5,,46
2021-12,휴일,31,11,32,54,110,176,201,208,203,175,136,92,68,41,26,16,11,8,4,,16
2022-01,평일,52,16,58,124,155,189,170,156,168,158,164,137,105,68,36,20,20,10,4,0,42
2022-01,휴일,28,10,30,51,112,189,228,235,235,206,145,99,73,52,27,16,14,8,3,0,20
2022-02,평일,47,14,57,114,152,163,152,144,149,145,153,126,103,66,36,23,19,11,4,0,40
2022-02,휴일,30,9,33,57,115,198,220,230,218,195,141,104,78,50,29,18,14,10,4,0,16
2022-03,평일,52,16,62,122,152,168,161,152,153,150,156,132,107,70,39,23,17,13,7,0,46
2022-03,휴일,32,10,32,62,127,196,209,209,197,181,139,100,72,54,31,15,14,11,5,0,16
2022-04,평일,55,19,72,139,174,187,171,159,158,160,166,150,122,83,47,28,21,14,10,0,42
2022-04,휴일,40,13,48,80,153,241,258,266,243,219,165,127,96,69,43,27,21,12,8,0,18
2022-05,평일,65,19,79,140,177,191,181,166,165,162,165,152,128,88,54,31,24,17,11,0,44
2022-05,휴일,46,13,53,86,170,264,274,260,235,216,168,126,92,67,44,30,22,13,8,0,18
2022-06,평일,64,18,75,148,169,192,175,162,163,155,153,142,122,83,47,29,24,14,8,1,44
2022-06,휴일,48,14,52,85,173,248,262,244,225,199,156,127,98,64,43,28,21,13,8,1,16
2022-07,평일,65,19,78,155,177,188,176,167,170,156,162,149,127,88,52,32,25,15,8,2,42
2022-07,휴일,48,13,53,79,139,224,230,227,209,165,141,118,93,64,46,31,23,16,8,1,20
2022-08,평일,59,18,72,134,166,173,166,153,158,150,159,139,118,83,47,30,24,14,7,2,46
2022-08,휴일,45,11,50,84,138,223,234,224,215,180,144,119,93,67,46,28,21,15,7,0,16
2022-09,평일,60,18,76,143,178,195,179,168,168,164,173,153,124,86,51,32,25,13,7,2,44
2022-09,휴일,40,10,47,72,130,222,220,211,199,174,150,111,89,64,44,27,21,14,6,2,16
2022-10,평일,59,19,75,143,185,188,178,170,177,170,182,163,136,94,47,32,24,16,8,2,42
2022-10,휴일,44,15,48,85,158,255,267,258,232,207,176,131,104,74,48,34,24,13,7,2,20
2022-11,평일,60,20,77,143,180,186,182,161,175,168,177,163,129,87,47,31,23,13,7,2,44
2022-11,휴일,43,13,47,77,153,250,282,264,263,237,169,132,105,67,47,30,21,13,8,1,16
2022-12,평일,52,20,70,129,171,182,178,163,170,167,178,164,128,82,44,31,24,14,8,2,44
2022-12,휴일,35,12,38,60,125,210,243,246,241,207,164,138,95,61,41,28,23,12,8,1,18
2023-01,평일,46,18,66,118,159,174,162,161,166,163,172,159,118,77,43,28,21,13,7,1,44
2023-01,휴일,27,9,33,49,102,180,199,202,189,178,138,105,74,48,34,22,15,10,6,1,18
2023-02,평일,51,26,75,138,179,189,180,175,177,174,189,172,138,97,50,32,22,15,9,2,40
2023-02,휴일,35,14,46,69,144,257,305,300,270,240,190,143,103,72,43,34,20,12,9,1,16
2023-03,평일,56,32,83,153,179,195,183,175,187,176,187,171,142,97,54,33,23,15,9,2,46
2023-03,휴일,38,20,53,80,166,264,297,291,261,239,202,149,112,79,52,33,22,13,8,1,16
2023-04,평일,62,32,87,157,180,191,182,167,182,165,188,162,137,95,58,36,23,16,10,2,40
2023-04,휴일,44,20,54,82,170,269,270,269,241,210,180,145,109,75,54,38,26,15,11,1,20
2023-05,평일,62,21,87,147,178,195,178,170,177,162,182,164,127,94,54,37,25,17,10,2,46
2023-05,휴일,47,11,54,86,169,248,252,230,208,193,162,122,99,68,52,38,27,18,11,1,16
2023-06,평일,62,22,84,149,181,190,176,167,167,159,179,162,134,91,56,35,27,18,10,2,44
2023-06,휴일,51,13,57,97,186,280,278,265,225,200,180,142,111,74,53,36,27,17,10,1,16
2023-07,평일,68,22,85,146,182,187,167,157,161,148,170,158,131,88,57,36,25,17,9,1,42
2023-07,휴일,44,12,47,87,142,218,219,208,179,166,139,125,97,65,48,33,25,16,8,1,20
2023-08,평일,61,21,76,141,170,172,160,150,145,141,166,151,126,86,54,35,24,16,8,2,46
