월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,63,13,68,76,92,109,102,85,89,89,90,84,75,53,37,22,17,10,3,,22
2021-07,휴일,36,7,27,30,53,54,58,53,42,44,46,40,41,28,23,16,13,8,3,,9
2021-08,평일,64,14,66,75,94,105,97,91,87,86,92,82,67,49,37,20,17,9,2,,22
2021-08,휴일,36,6,26,32,52,49,48,49,47,51,47,41,33,32,28,14,15,7,1,,9
2021-09,평일,59,13,59,74,93,110,104,95,96,99,97,86,75,52,35,21,18,12,1,,22
2021-09,휴일,37,8,28,39,57,61,65,66,59,57,58,53,48,40,28,18,18,8,1,,8
2021-10,평일,62,15,67,92,104,119,110,108,112,115,114,101,89,58,39,24,19,13,2,,21
2021-10,휴일,34,8,40,38,67,69,75,63,67,68,68,63,54,37,28,20,15,9,2,,10
2021-11,평일,63,15,69,96,109,124,117,113,113,121,123,112,96,59,38,26,18,12,3,,22
2021-11,휴일,40,9,36,43,68,70,69,67,73,80,78,68,65,44,30,21,15,8,1,,8
2021-12,평일,62,14,64,76,96,114,108,102,100,112,108,104,83,56,34,20,20,10,2,,23
2021-12,휴일,34,8,28,31,52,65,58,58,54,62,51,51,45,38,26,12,13,6,1,,8
2022-01,평일,58,13,60,73,83,107,104,109,97,110,108,97,79,56,36,21,21,6,1,0,21
2022-01,휴일,29,5,22,28,54,66,60,60,60,57,58,55,43,36,28,13,14,4,1,0,10
2022-02,평일,53,12,61,74,84,99,91,96,89,102,101,87,75,48,32,19,16,7,1,0,20
2022-02,휴일,30,6,27,33,48,59,56,55,54,60,64,56,46,38,30,15,13,6,1,0,8
2022-03,평일,59,11,62,78,86,97,101,96,91,101,93,87,75,50,38,20,16,8,1,0,23
2022-03,휴일,31,6,32,31,53,57,53,55,52,58,56,50,42,46,31,14,12,5,2,0,8
2022-04,평일,67,12,81,92,102,121,113,109,105,116,107,105,90,61,43,27,20,11,3,0,21
2022-04,휴일,46,9,47,45,63,73,70,75,62,77,70,76,67,51,40,21,14,10,3,0,9
2022-05,평일,73,11,86,97,116,130,126,120,113,127,123,115,100,70,49,32,24,15,4,0,22
2022-05,휴일,41,8,46,53,75,73,82,73,78,85,82,80,69,58,44,27,19,10,2,0,9
2022-06,평일,70,12,76,100,122,161,130,131,130,138,126,121,100,68,46,31,24,16,4,0,22
2022-06,휴일,48,8,46,66,98,118,93,100,84,96,88,95,70,62,46,24,23,11,4,0,8
2022-07,평일,70,11,73,89,104,134,115,118,115,120,115,110,101,67,46,32,25,15,3,0,21
2022-07,휴일,44,7,40,42,70,79,77,71,74,70,72,67,60,51,40,24,25,11,4,0,10
2022-08,평일,64,10,68,86,104,126,114,113,105,112,115,100,88,62,45,26,22,12,3,1,23
2022-08,휴일,42,8,38,41,70,77,72,69,71,77,65,69,65,47,39,25,24,10,3,0,8
2022-09,평일,66,11,76,85,105,125,112,118,107,124,119,113,96,72,47,24,21,14,3,1,22
2022-09,휴일,39,6,38,46,68,69,68,65,67,74,72,73,64,56,40,24,17,8,2,0,8
2022-10,평일,68,11,85,92,115,134,123,122,124,135,130,124,106,76,41,30,21,14,4,1,21
2022-10,휴일,52,10,52,52,80,88,88,86,82,86,90,94,82,72,43,30,19,11,4,0,10
2022-11,평일,74,11,84,92,119,132,126,128,116,135,136,129,108,71,40,30,20,14,4,0,22
2022-11,휴일,46,8,53,48,76,82,85,77,80,84,93,91,78,66,40,26,18,11,3,0,8
2022-12,평일,71,9,73,81,100,134,127,129,120,137,135,125,106,70,41,31,26,15,5,1,22
2022-12,휴일,41,5,42,37,68,79,83,87,80,91,90,88,77,63,36,28,18,11,4,1,9
2023-01,평일,60,10,67,74,95,123,118,114,111,123,119,114,91,62,37,26,20,12,5,1,22
2023-01,휴일,30,6,29,35,62,71,66,65,66,75,67,66,56,43,32,19,16,6,2,0,9
2023-02,평일,70,20,76,87,114,141,139,130,127,146,142,134,104,80,45,30,22,14,6,1,20
2023-02,휴일,40,12,38,38,78,82,91,82,83,93,97,86,82,66,40,26,19,9,3,0,8
2023-03,평일,73,33,82,91,126,149,139,138,132,149,140,135,112,83,49,33,23,16,5,1,23
2023-03,휴일,44,24,43,46,84,88,97,94,87,98,103,94,82,75,47,27,17,10,3,0,8
2023-04,평일,87,40,93,98,124,151,128,125,128,136,139,130,111,81,47,40,24,16,6,1,20
2023-04,휴일,65,31,61,56,90,88,91,88,86,95,96,93,90,77,48,31,19,11,3,0,10
2023-05,평일,76,11,86,100,126,155,131,131,132,147,140,127,111,87,51,35,24,15,5,1,23
2023-05,휴일,50,7,48,49,85,97,80,88,83,97,98,84,76,66,46,27,20,11,4,0,8
2023-06,평일,77,10,85,102,119,150,130,133,128,143,137,118,114,86,50,33,23,18,5,1,22
2023-06,휴일,52,7,50,52,86,88,95,85,86,97,90,101,87,75,46,35,18,14,5,0,8
2023-07,평일,73,10,77,97,122,140,129,119,121,129,125,117,108,81,47,33,22,15,6,2,21
2023-07,휴일,41,5,38,46,76,75,83,72,74,83,82,77,69,60,42,30,21,12,4,0,10
2023-08,평일,70,12,76,93,110,134,118,110,114,117,120,106,96,77,44,29,21,11,5,1,23
2023-08,휴일,50,7,37,47,72,78,87,75,81,82,72,79,70,58,47,31,23,12,4,0,8
2023-09,평일,73,9,82,96,120,139,134,127,113,134,135,124,109,78,45,31,22,14,5,2,21
2023-09,휴일,47,8,47,51,80,90,95,90,90,91,84,93,77,70,42,29,16,10,3,0,9
2023-10,평일,78,11,89,101,123,139,130,131,130,142,142,130,120,83,43,31,24,15,4,2,22
2023-10,휴일,58,8,54,55,92,90,97,87,92,105,107,101,93,78,51,25,21,10,5,0,9
2023-11,평일,83,10,90,102,121,141,141,132,133,151,151,132,120,80,43,33,25,14,6,2,22
2023-11,휴일,63,6,54,51,85,89,82,88,94,109,103,105,86,72,40,28,19,9,3,0,8
2023-12,평일,70,11,75,90,119,145,142,134,133,155,151,143,123,79,46,35,27,16,6,2,21
2023-12,휴일,43,6,42,45,78,79,102,97,83,98,100,104,85,70,47,32,22,10,5,1,10
