월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,36,11,43,47,54,79,88,79,79,90,152,148,146,121,97,62,34,28,12,,22
2021-07,휴일,33,9,29,27,37,57,62,61,57,66,68,74,80,61,59,33,26,23,8,,9
2021-08,평일,40,9,41,43,48,79,86,83,77,94,157,140,150,122,92,56,33,25,11,,22
2021-08,휴일,35,7,28,28,35,51,54,59,50,66,64,76,84,64,56,32,25,22,7,,9
2021-09,평일,39,9,40,40,50,80,86,86,88,101,162,150,147,122,100,60,36,28,13,,22
2021-09,휴일,34,8,29,30,39,61,73,71,69,84,86,96,92,80,63,47,31,24,11,,8
2021-10,평일,47,12,37,46,56,82,86,92,95,112,178,176,173,138,107,59,39,34,15,,21
2021-10,휴일,40,9,29,29,39,59,63,75,74,84,96,108,112,92,65,45,35,28,11,,10
2021-11,평일,43,11,41,50,58,74,86,88,88,116,178,181,176,134,103,62,40,32,16,,22
2021-11,휴일,39,8,28,35,40,67,62,71,72,90,99,110,118,89,68,41,32,23,16,,8
2021-12,평일,40,12,38,48,54,74,87,86,87,111,177,167,160,124,96,58,39,28,15,,23
2021-12,휴일,33,9,25,29,37,52,54,63,61,72,79,92,85,71,53,35,29,19,10,,8
2022-01,평일,39,11,36,43,52,67,83,84,84,109,177,163,158,124,99,54,43,27,15,0,21
2022-01,휴일,32,9,22,26,34,60,61,67,62,79,86,90,87,72,54,32,31,20,7,0,10
2022-02,평일,36,11,46,57,57,78,80,87,96,104,164,157,142,121,99,54,39,28,13,0,20
2022-02,휴일,32,9,30,30,40,57,64,80,66,75,92,93,88,78,59,35,33,24,9,0,8
2022-03,평일,38,13,48,79,59,82,88,91,106,108,169,161,142,129,95,59,38,26,15,0,23
2022-03,휴일,31,10,30,38,39,56,61,64,67,79,80,89,84,78,56,35,30,22,12,0,8
2022-04,평일,39,15,44,89,73,81,95,110,103,118,194,183,175,141,117,66,47,34,18,0,21
2022-04,휴일,32,11,27,52,47,63,72,92,79,91,112,131,121,105,80,47,41,29,14,0,9
2022-05,평일,41,14,44,82,78,85,97,103,108,124,190,198,193,144,117,78,55,36,21,0,22
2022-05,휴일,32,10,29,45,56,65,80,79,83,91,121,128,118,105,89,59,47,35,19,0,9
2022-06,평일,37,12,62,106,83,92,99,129,114,124,178,196,170,139,117,74,53,38,20,3,22
2022-06,휴일,34,10,36,63,56,73,82,91,86,87,117,123,108,104,84,67,53,38,22,2,8
2022-07,평일,39,15,64,119,93,96,108,129,103,117,171,195,173,140,123,71,56,40,20,2,21
2022-07,휴일,36,11,36,62,58,73,76,82,79,77,99,116,109,88,78,53,51,33,18,1,10
2022-08,평일,38,13,57,96,86,88,104,119,100,114,166,191,173,137,112,61,50,38,17,3,23
2022-08,휴일,34,12,36,49,62,70,74,76,78,82,94,108,107,94,81,52,48,34,18,1,8
2022-09,평일,41,14,62,90,92,91,107,116,115,124,174,200,177,146,118,66,50,36,17,3,22
2022-09,휴일,32,10,31,46,58,62,77,71,72,84,101,117,119,100,86,51,44,31,15,2,8
2022-10,평일,44,14,60,85,87,83,101,135,119,126,195,214,187,159,119,68,52,38,15,2,21
2022-10,휴일,38,11,33,51,55,68,71,92,84,96,123,135,132,111,96,63,55,33,15,1,10
2022-11,평일,43,12,66,99,93,86,98,128,118,128,194,216,193,157,110,67,50,37,16,2,22
2022-11,휴일,35,9,38,46,64,74,66,73,81,99,118,128,128,108,80,56,43,28,15,1,8
2022-12,평일,46,10,62,93,82,83,95,121,110,128,190,215,183,150,108,70,52,37,17,3,22
2022-12,휴일,38,10,35,40,59,66,71,83,79,94,116,131,125,99,82,56,42,35,15,2,9
2023-01,평일,39,11,56,77,75,81,90,112,99,118,167,184,160,134,98,57,47,31,15,3,22
2023-01,휴일,33,7,32,28,40,63,61,63,77,85,93,105,98,77,59,47,31,18,12,1,9
2023-02,평일,38,14,54,54,68,82,103,111,108,131,197,212,181,159,127,67,55,36,16,3,20
2023-02,휴일,30,11,35,30,39,68,79,78,84,105,129,138,134,116,86,57,47,32,13,0,8
2023-03,평일,38,17,54,56,74,87,110,115,113,141,204,225,196,167,123,69,59,38,16,3,23
2023-03,휴일,33,13,32,32,48,72,74,85,89,100,126,153,141,123,98,58,48,30,12,1,8
2023-04,평일,36,17,55,63,79,87,111,115,118,137,197,222,189,160,128,82,60,44,17,4,20
2023-04,휴일,35,11,32,35,50,74,74,80,91,102,121,147,142,128,96,75,53,36,16,1,10
2023-05,평일,37,13,50,62,81,87,107,117,123,132,190,215,187,163,121,84,65,43,19,3,23
2023-05,휴일,35,10,35,37,49,75,73,80,82,99,106,137,114,120,96,71,55,36,12,0,8
2023-06,평일,37,14,53,60,81,94,106,125,119,134,185,211,188,167,122,84,60,47,16,4,22
2023-06,휴일,38,10,33,35,50,73,83,83,88,100,121,136,125,118,96,71,59,38,14,1,8
2023-07,평일,38,11,53,63,81,95,107,120,113,124,183,209,180,165,127,79,61,46,18,4,21
2023-07,휴일,37,7,34,36,47,69,79,74,81,87,109,127,108,103,82,63,53,34,15,1,10
2023-08,평일,37,13,51,59,74,93,101,113,103,119,178,191,180,163,120,77,60,44,15,3,23
2023-08,휴일,36,8,36,36,49,79,71,76,78,89,106,118,120,108,90,59,61,38,15,1,8
2023-09,평일,33,14,49,63,72,92,106,109,119,127,191,199,179,164,119,83,58,42,16,3,21
2023-09,휴일,32,7,33,39,52,68,75,81,84,94,119,131,123,112,94,66,48,30,14,0,9
2023-10,평일,37,15,51,60,70,95,106,107,118,127,208,225,193,176,124,83,60,42,16,3,22
2023-10,휴일,35,9,36,33,46,69,80,85,87,96,133,150,142,137,108,76,59,36,14,0,9
2023-11,평일,35,15,52,61,74,93,102,110,121,136,212,224,189,168,120,79,58,41,14,4,22
2023-11,휴일,34,9,34,32,46,64,70,78,79,96,127,146,132,118,95,61,51,31,13,0,8
2023-12,평일,37,12,49,59,65,84,101,109,115,135,201,219,191,164,111,82,66,44,16,4,21
2023-12,휴일,33,8,31,31,46,63,72,82,78,111,125,142,128,109,87,66,52,35,14,3,10
