월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,113,10,113,139,169,212,238,244,216,251,364,398,388,348,251,158,105,64,30,,22
2021-07,휴일,75,8,79,80,109,137,165,198,159,160,173,195,207,178,138,94,80,45,17,,9
2021-08,평일,110,12,115,136,166,209,237,254,225,263,368,397,350,332,239,153,98,53,25,,22
2021-08,휴일,73,9,80,82,110,144,149,189,168,172,185,198,208,193,134,90,68,42,16,,9
2021-09,평일,103,13,114,131,171,207,239,261,246,286,391,418,379,335,244,151,111,63,32,,22
2021-09,휴일,76,10,80,100,124,165,192,218,197,207,254,244,251,220,160,105,83,55,16,,8
2021-10,평일,105,11,119,133,180,217,274,287,267,309,448,480,426,365,268,167,115,76,36,,21
2021-10,휴일,73,9,82,93,127,157,189,223,194,216,257,289,303,227,167,112,93,63,20,,10
2021-11,평일,107,11,118,135,173,215,274,274,256,326,453,474,441,360,264,167,110,77,35,,22
2021-11,휴일,74,9,86,103,128,164,203,227,212,245,284,311,293,255,169,113,91,60,26,,8
2021-12,평일,101,11,110,126,159,203,260,268,260,313,449,468,407,348,239,156,110,66,27,,23
2021-12,휴일,65,8,79,81,92,139,153,216,187,190,230,233,228,192,127,85,74,48,17,,8
2022-01,평일,88,10,106,119,153,201,250,265,249,302,441,447,395,341,231,152,116,65,22,0,21
2022-01,휴일,61,9,71,79,105,150,173,204,195,213,236,257,249,200,135,93,82,40,11,0,10
2022-02,평일,88,11,107,123,148,184,220,256,224,284,388,413,366,330,223,143,106,63,27,0,20
2022-02,휴일,64,10,81,84,105,144,165,224,200,204,231,251,250,215,137,96,77,51,15,0,8
2022-03,평일,96,12,114,126,149,198,236,259,250,288,414,437,383,339,239,154,106,66,36,0,23
2022-03,휴일,65,11,80,82,93,138,164,205,181,190,225,250,239,221,142,100,69,54,26,0,8
2022-04,평일,106,14,118,137,182,237,262,287,281,318,455,497,460,398,284,192,141,88,41,0,21
2022-04,휴일,76,13,86,98,123,178,202,238,215,234,294,318,322,286,207,150,107,70,34,0,9
2022-05,평일,109,13,130,150,195,248,290,302,293,341,476,503,507,432,311,206,149,96,45,0,22
2022-05,휴일,81,12,90,109,144,205,211,259,245,262,301,341,336,297,215,167,122,79,33,0,9
2022-06,평일,105,15,122,151,202,246,284,289,291,332,444,504,474,399,291,204,151,98,46,1,22
2022-06,휴일,86,15,89,115,150,215,234,269,221,263,292,345,346,299,224,161,128,83,42,1,8
2022-07,평일,113,15,123,160,223,261,283,296,292,313,445,497,471,402,295,191,150,98,42,1,21
2022-07,휴일,87,14,98,114,150,204,216,242,211,231,254,297,311,269,197,149,121,74,33,0,10
2022-08,평일,106,14,120,151,211,246,272,277,267,302,436,469,442,375,286,183,140,86,39,6,23
2022-08,휴일,82,14,95,111,149,186,215,241,220,231,248,298,308,269,198,145,114,76,32,1,8
2022-09,평일,109,14,121,149,216,258,296,306,299,336,461,522,484,409,297,188,144,98,42,7,22
2022-09,휴일,81,13,83,108,147,190,195,229,218,234,269,320,305,283,199,144,112,69,33,3,8
2022-10,평일,110,14,121,157,231,264,291,315,325,356,501,554,528,424,310,200,151,106,43,9,21
2022-10,휴일,86,13,91,124,156,201,226,255,234,278,336,388,374,334,240,169,136,90,42,1,10
2022-11,평일,112,14,123,153,237,265,296,325,328,371,523,570,524,419,286,201,140,100,43,10,22
2022-11,휴일,86,12,93,116,160,196,219,270,247,281,336,369,354,301,212,170,125,79,38,2,8
2022-12,평일,105,11,114,145,220,243,300,320,332,380,519,562,493,382,295,198,153,112,44,13,22
2022-12,휴일,74,11,86,101,134,195,242,284,241,272,319,345,340,263,198,161,124,85,39,4,9
2023-01,평일,94,12,104,138,214,233,290,311,310,349,478,493,454,361,281,179,133,90,42,9,22
2023-01,휴일,69,11,76,97,123,184,181,236,218,232,267,293,260,231,151,127,92,62,27,2,9
2023-02,평일,101,14,120,157,252,277,324,331,344,386,554,579,527,439,321,212,155,106,43,11,20
2023-02,휴일,79,11,84,108,158,219,247,273,261,293,371,379,368,321,210,172,125,75,34,1,8
2023-03,평일,103,21,119,161,270,286,324,348,351,383,547,585,544,453,334,229,165,112,52,12,23
2023-03,휴일,79,16,89,117,168,249,245,271,244,297,359,412,366,352,232,181,125,87,40,1,8
2023-04,평일,111,24,133,173,272,290,327,337,352,384,552,569,529,455,336,235,177,126,56,14,20
2023-04,휴일,82,17,100,117,170,232,243,270,269,285,362,393,386,336,258,190,148,96,51,1,10
2023-05,평일,105,19,130,162,254,284,325,339,335,379,542,569,528,439,337,231,175,120,55,12,23
2023-05,휴일,85,16,93,119,169,216,227,261,248,269,333,365,339,322,225,194,150,100,48,1,8
2023-06,평일,107,22,136,159,246,284,321,324,336,378,536,551,517,433,332,234,176,123,53,13,22
2023-06,휴일,92,17,92,123,186,240,253,282,255,271,342,391,366,317,248,194,157,100,46,1,8
2023-07,평일,108,21,142,179,242,283,319,323,329,346,509,526,510,416,320,229,164,113,50,11,21
2023-07,휴일,87,15,98,130,171,221,222,250,227,254,288,319,322,270,227,168,131,81,41,2,10
2023-08,평일,104,18,139,178,225,263,288,295,291,327,477,500,502,402,312,220,146,109,47,9,23
2023-08,휴일,83,14,111,130,173,237,222,242,231,247,298,336,353,296,237,175,146,88,41,2,8
