월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,90,21,83,163,258,212,215,193,162,132,101,77,52,42,24,16,10,6,3,,22
2021-07,휴일,61,17,52,68,100,114,103,86,81,82,55,42,28,21,14,9,7,4,1,,9
2021-08,평일,84,21,87,156,254,219,254,198,164,129,103,71,48,37,21,14,8,4,2,,22
2021-08,휴일,66,17,55,75,103,125,116,94,88,79,59,46,37,24,16,9,7,4,2,,9
2021-09,평일,83,20,88,162,256,250,287,247,178,144,118,91,62,46,22,15,10,6,3,,22
2021-09,휴일,54,15,49,73,118,139,158,141,109,96,79,60,46,25,16,11,7,5,2,,8
2021-10,평일,94,19,95,173,307,313,421,318,205,181,140,108,87,50,24,16,10,7,4,,21
2021-10,휴일,58,15,48,81,133,198,232,186,147,136,94,80,51,33,18,10,9,5,2,,10
2021-11,평일,96,20,100,190,358,381,459,361,235,212,143,118,98,55,24,17,11,6,4,,22
2021-11,휴일,61,13,63,104,159,240,276,214,152,153,102,84,62,36,17,11,7,6,3,,8
2021-12,평일,92,20,94,152,254,260,281,218,172,154,127,97,73,45,23,14,9,7,3,,23
2021-12,휴일,52,12,53,74,116,148,158,122,113,99,74,58,39,23,13,10,7,5,1,,8
2022-01,평일,81,20,81,152,217,240,266,209,173,151,122,94,66,40,25,12,10,6,2,0,21
2022-01,휴일,44,10,46,62,97,138,139,122,111,103,74,60,40,24,14,7,7,5,1,0,10
2022-02,평일,79,18,81,161,232,233,241,204,176,140,115,95,63,36,26,14,9,6,2,0,20
2022-02,휴일,51,10,46,67,109,136,135,130,117,105,67,66,43,25,13,10,8,6,1,0,8
2022-03,평일,82,17,88,149,244,235,234,206,184,140,117,94,65,43,24,14,9,6,4,0,23
2022-03,휴일,48,11,51,77,119,143,138,116,111,96,72,58,40,27,15,9,6,6,2,0,8
2022-04,평일,94,20,102,172,310,349,354,285,208,180,148,117,88,55,26,19,11,7,5,0,21
2022-04,휴일,59,11,63,101,213,258,239,201,177,153,115,92,65,43,26,15,12,6,3,0,9
2022-05,평일,104,21,107,225,423,463,516,385,243,219,166,138,116,73,32,21,15,9,5,0,22
2022-05,휴일,77,14,80,143,320,357,338,247,201,185,135,116,92,51,26,14,11,8,3,0,9
2022-06,평일,104,21,107,226,418,439,503,379,228,200,156,135,127,75,32,20,14,8,4,0,22
2022-06,휴일,66,13,75,129,267,342,321,229,174,162,112,100,86,46,21,17,12,8,2,0,8
2022-07,평일,105,21,106,230,413,413,471,342,207,180,142,126,104,70,29,20,14,9,5,0,21
2022-07,휴일,65,11,64,114,203,270,262,184,129,110,92,94,62,43,22,15,10,6,3,0,10
2022-08,평일,90,20,103,199,309,350,384,266,191,171,135,110,88,56,28,18,11,8,2,1,23
2022-08,휴일,60,14,68,102,174,229,223,188,138,118,97,86,61,38,20,14,8,6,3,0,8
2022-09,평일,94,19,103,216,385,438,510,367,230,199,158,130,116,69,28,19,12,8,4,1,22
2022-09,휴일,60,11,64,102,184,283,296,231,171,161,125,95,71,38,21,14,10,5,2,1,8
2022-10,평일,101,18,114,228,429,561,683,448,281,251,178,151,125,77,33,18,12,8,3,1,21
2022-10,휴일,65,13,72,128,254,393,445,343,264,239,174,137,95,47,24,14,10,5,2,0,10
2022-11,평일,100,21,111,229,456,573,636,410,278,235,174,149,129,74,29,17,13,7,4,1,22
2022-11,휴일,60,11,71,123,231,360,417,302,231,211,131,117,78,37,22,13,8,8,3,0,8
2022-12,평일,94,20,95,196,370,462,582,406,243,207,166,157,148,73,30,18,14,9,4,1,22
2022-12,휴일,52,11,61,97,181,269,325,259,168,163,121,112,76,39,21,14,11,7,3,0,9
2023-01,평일,81,18,83,179,328,399,490,340,220,185,148,122,97,57,26,17,10,6,3,1,22
2023-01,휴일,44,8,52,91,155,214,231,194,142,117,91,80,50,28,15,10,8,4,2,0,9
2023-02,평일,95,25,98,209,420,485,609,431,251,222,161,145,128,72,30,19,12,8,4,1,20
2023-02,휴일,59,18,63,101,222,316,354,262,211,170,130,101,72,36,22,16,9,5,3,0,8
2023-03,평일,103,36,112,230,452,541,646,451,276,229,178,152,130,82,33,20,13,7,4,1,23
2023-03,휴일,58,20,64,118,243,356,408,314,220,205,136,120,78,43,23,15,9,5,3,0,8
2023-04,평일,117,36,125,234,474,542,628,410,255,233,181,149,136,85,32,23,15,9,5,1,20
2023-04,휴일,67,23,76,136,256,348,368,275,205,186,132,122,86,45,24,17,9,6,3,0,10
2023-05,평일,111,21,112,236,458,502,585,393,247,227,177,147,136,79,36,23,15,10,4,1,23
2023-05,휴일,87,14,85,149,288,376,365,284,216,176,138,127,96,55,31,22,11,6,3,0,8
2023-06,평일,110,23,112,246,487,483,553,397,234,209,161,148,131,85,32,20,14,8,3,1,22
2023-06,휴일,74,14,72,150,264,354,363,244,181,165,133,110,83,47,29,16,13,6,3,0,8
2023-07,평일,111,22,114,260,489,460,492,340,218,187,142,119,114,72,34,22,12,8,4,1,21
2023-07,휴일,63,12,64,112,205,259,271,198,141,121,97,84,65,36,25,15,9,5,2,0,10
2023-08,평일,107,23,121,230,442,420,422,299,203,177,137,114,100,62,31,22,12,8,3,1,23
2023-08,휴일,59,12,66,101,198,254,272,181,135,116,97,87,63,38,24,15,14,6,2,0,8
2023-09,평일,100,22,108,225,455,458,503,385,235,206,157,138,125,79,33,20,13,9,3,2,21
2023-09,휴일,62,14,68,117,228,319,349,261,180,166,128,117,81,38,24,17,11,5,4,0,9
2023-10,평일,97,24,113,225,472,529,607,423,270,242,186,153,127,77,34,20,14,11,3,1,22
2023-10,휴일,70,15,68,133,256,386,409,331,243,218,148,131,92,44,25,15,8,7,3,0,9
2023-11,평일,102,25,122,230,498,526,605,434,254,228,167,148,132,75,32,20,15,11,3,1,22
2023-11,휴일,50,11,65,114,233,324,392,282,190,170,138,112,78,39,21,14,7,7,1,0,8
2023-12,평일,94,24,102,204,401,460,565,411,242,215,176,163,159,90,33,22,15,12,3,1,21
2023-12,휴일,48,10,53,110,223,278,362,266,179,164,135,144,102,46,22,16,12,8,5,1,10
