월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,41,8,55,99,117,88,54,58,76,67,46,32,24,20,13,11,7,3,1,,22
2021-07,휴일,22,3,18,19,30,28,21,18,20,19,15,15,14,13,10,8,5,2,1,,9
2021-08,평일,35,8,52,95,105,84,52,57,78,61,47,28,22,16,11,10,7,2,1,,22
2021-08,휴일,19,3,16,18,33,30,20,16,17,17,14,18,16,13,10,7,5,2,1,,9
2021-09,평일,35,8,54,97,113,87,56,53,85,70,52,34,29,17,13,11,6,2,1,,22
2021-09,휴일,18,4,17,17,23,28,17,18,20,22,17,18,17,14,8,8,4,3,1,,8
2021-10,평일,35,10,55,107,123,103,61,66,88,80,59,39,30,22,12,11,6,3,1,,21
2021-10,휴일,20,5,18,15,29,31,21,24,26,25,20,23,21,14,13,7,6,4,2,,10
2021-11,평일,41,12,54,107,127,103,63,67,93,79,57,38,32,21,13,10,7,3,2,,22
2021-11,휴일,22,7,17,18,26,32,23,26,23,32,26,23,25,16,13,8,6,3,2,,8
2021-12,평일,40,11,58,99,123,101,62,65,97,78,55,38,27,18,11,9,7,2,1,,23
2021-12,휴일,21,6,16,13,25,26,20,23,23,29,19,20,15,11,8,6,5,1,1,,8
2022-01,평일,40,9,53,94,125,99,61,69,93,80,54,39,26,17,12,7,6,2,1,0,21
2022-01,휴일,18,4,16,14,20,26,22,26,24,24,24,20,17,12,8,7,3,1,1,0,10
2022-02,평일,35,10,54,91,113,91,59,65,85,69,54,36,29,17,13,8,5,3,1,0,20
2022-02,휴일,20,4,17,18,25,29,24,24,24,27,23,20,15,10,10,8,4,2,1,0,8
2022-03,평일,40,9,52,94,119,88,59,68,86,70,51,35,29,21,13,10,4,3,1,0,23
2022-03,휴일,18,6,17,14,32,30,20,20,23,21,25,16,18,13,9,7,4,2,2,0,8
2022-04,평일,44,7,64,115,137,98,67,67,97,78,60,41,36,27,15,12,5,3,2,0,21
2022-04,휴일,24,5,20,18,37,29,26,27,30,31,27,25,24,17,13,12,4,3,2,0,9
2022-05,평일,45,7,68,125,148,114,75,77,99,89,62,45,39,29,16,14,9,5,2,0,22
2022-05,휴일,20,5,20,24,43,36,32,29,27,29,27,29,27,19,14,9,6,3,3,0,9
2022-06,평일,47,7,71,127,141,114,73,76,105,91,65,45,37,31,18,14,8,5,2,1,22
2022-06,휴일,21,6,20,20,32,33,25,24,24,34,26,26,24,18,17,9,7,3,1,2,8
2022-07,평일,51,9,74,134,158,121,72,76,104,91,67,43,33,27,17,11,8,4,1,1,21
2022-07,휴일,22,5,19,16,30,35,28,29,26,26,26,26,21,21,14,8,7,4,1,1,10
2022-08,평일,51,8,70,126,145,114,66,73,107,89,59,41,33,27,16,10,7,4,2,1,23
2022-08,휴일,24,6,19,20,36,32,26,24,30,22,28,21,20,16,13,8,8,3,1,1,8
2022-09,평일,51,8,73,129,150,123,78,80,106,92,70,46,37,31,18,11,6,4,2,1,22
2022-09,휴일,20,5,16,17,30,32,26,23,29,27,23,27,24,16,14,10,6,3,2,1,8
2022-10,평일,52,11,71,124,158,128,77,85,114,97,75,53,41,32,16,11,7,3,1,1,21
2022-10,휴일,23,6,20,18,34,36,27,25,33,33,28,29,25,25,17,10,6,2,2,2,10
2022-11,평일,58,14,71,130,163,133,85,85,119,106,77,50,42,33,15,10,6,4,2,1,22
2022-11,휴일,28,10,17,16,32,33,28,31,38,28,31,33,28,17,14,9,7,2,1,2,8
2022-12,평일,52,9,69,126,155,133,86,92,126,110,80,49,35,29,15,9,8,5,2,2,22
2022-12,휴일,22,7,15,15,25,33,31,29,34,32,30,31,27,17,12,7,7,2,2,2,9
2023-01,평일,48,8,62,114,141,116,76,81,107,97,68,43,33,26,16,7,5,3,2,1,22
2023-01,휴일,19,5,14,14,22,28,22,25,28,25,26,23,20,14,9,8,4,2,2,1,9
2023-02,평일,54,24,72,139,157,138,96,98,124,116,85,57,42,29,19,10,8,4,2,1,20
2023-02,휴일,24,17,21,17,35,43,28,35,33,36,42,34,24,19,14,9,7,2,2,2,8
2023-03,평일,56,51,85,135,158,133,81,94,126,107,78,48,39,33,21,13,8,4,3,1,23
2023-03,휴일,28,37,18,18,30,40,30,34,32,40,32,38,30,22,16,11,7,4,2,2,8
2023-04,평일,55,51,80,141,168,128,88,95,134,113,80,52,41,33,22,13,10,5,2,1,20
2023-04,휴일,27,36,15,18,35,36,27,34,39,35,31,34,29,23,20,11,9,4,2,2,10
2023-05,평일,61,13,79,136,156,122,78,90,118,113,80,54,41,34,23,14,11,6,2,1,23
2023-05,휴일,28,8,17,20,36,41,29,27,31,32,29,33,30,20,15,10,10,3,2,2,8
2023-06,평일,66,13,82,149,162,134,82,94,120,106,82,50,41,34,20,17,9,5,2,1,22
2023-06,휴일,27,7,18,18,36,37,30,30,35,32,36,32,28,26,15,14,10,3,2,2,8
2023-07,평일,61,10,86,143,168,130,82,97,121,102,75,45,35,30,20,13,9,5,2,2,21
2023-07,휴일,25,6,19,14,27,33,25,29,32,31,29,27,29,19,16,13,9,3,2,2,10
2023-08,평일,65,12,79,137,153,121,77,88,105,90,71,42,37,29,17,13,9,4,2,1,23
2023-08,휴일,29,6,19,19,28,37,28,27,30,34,27,28,21,22,16,12,12,3,1,2,8
2023-09,평일,57,14,76,139,160,123,82,87,110,97,72,48,41,34,21,12,9,5,2,1,21
2023-09,휴일,25,6,19,16,34,37,33,29,38,37,35,31,36,26,17,11,8,4,1,2,9
2023-10,평일,54,13,72,134,163,130,84,91,117,107,78,52,45,33,19,15,10,5,2,1,22
2023-10,휴일,23,7,18,17,36,36,29,32,35,35,35,31,33,25,15,11,11,4,3,1,9
2023-11,평일,53,11,74,146,167,144,90,100,125,110,80,58,44,37,20,13,10,6,3,1,22
2023-11,휴일,22,4,16,19,35,30,34,32,32,40,37,32,29,22,14,10,8,4,3,2,8
2023-12,평일,49,8,71,138,167,138,94,94,126,114,78,56,40,36,17,12,11,6,3,1,21
2023-12,휴일,20,3,15,19,29,34,30,33,33,34,35,34,27,21,11,10,12,4,2,2,10
