월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,316,47,222,280,298,266,258,208,223,203,184,183,174,143,83,52,35,19,6,,22
2021-07,휴일,175,19,99,136,123,131,133,111,118,112,106,99,92,80,56,34,25,15,4,,9
2021-08,평일,296,45,214,270,284,244,262,211,206,204,180,181,171,136,82,48,29,14,5,,22
2021-08,휴일,164,18,82,126,109,114,117,112,111,110,107,101,99,78,63,28,25,10,3,,9
2021-09,평일,282,45,201,261,286,258,291,226,229,218,205,206,192,145,87,52,33,21,7,,22
2021-09,휴일,180,23,92,158,133,163,157,144,149,142,135,137,115,97,67,39,28,14,4,,8
2021-10,평일,300,46,219,296,315,303,350,263,262,261,250,243,228,163,94,59,41,23,8,,21
2021-10,휴일,171,21,95,161,136,184,174,159,162,144,149,151,135,101,68,44,32,17,6,,10
2021-11,평일,321,46,231,305,338,320,396,273,265,281,262,258,251,168,91,62,44,21,14,,22
2021-11,휴일,186,20,109,188,158,202,215,167,159,159,173,168,151,106,71,47,30,16,8,,8
2021-12,평일,313,42,212,291,310,280,326,250,256,263,241,239,217,151,85,62,40,19,9,,23
2021-12,휴일,177,20,101,158,125,160,150,134,140,126,128,126,127,81,55,30,28,10,4,,8
2022-01,평일,304,42,215,281,301,269,325,245,252,259,239,235,218,159,90,57,37,13,4,0,21
2022-01,휴일,165,17,99,151,128,175,154,138,138,141,131,118,118,85,61,37,29,9,3,0,10
2022-02,평일,290,39,197,255,292,229,267,224,230,240,213,204,200,133,78,53,33,16,4,0,20
2022-02,휴일,190,19,107,156,144,169,155,144,140,134,134,123,120,95,60,36,27,12,3,0,8
2022-03,평일,306,40,206,267,320,257,266,213,232,229,205,204,192,138,82,53,32,18,9,0,23
2022-03,휴일,175,18,100,156,134,161,152,126,134,136,123,112,112,93,62,36,20,14,9,0,8
