월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,370,30,226,256,317,279,275,246,254,249,236,214,200,151,102,65,47,26,13,,22
2021-07,휴일,214,12,105,119,149,142,143,146,158,131,111,106,95,79,61,45,35,22,11,,9
2021-08,평일,348,28,218,238,301,274,270,258,260,247,241,211,191,150,95,60,44,21,13,,22
2021-08,휴일,197,12,97,102,149,141,139,138,147,133,112,104,92,83,60,40,31,19,10,,9
2021-09,평일,330,24,206,220,294,283,298,278,288,266,262,247,221,159,107,67,49,28,15,,22
2021-09,휴일,211,11,106,118,163,169,176,189,187,163,156,144,132,95,70,57,37,24,11,,8
2021-10,평일,363,30,220,238,336,318,366,330,314,313,313,285,277,180,117,74,61,27,18,,21
2021-10,휴일,225,14,108,122,181,217,225,209,222,195,173,191,155,108,79,65,48,26,13,,10
2021-11,평일,371,32,235,255,368,322,406,356,331,325,342,300,312,199,111,69,62,33,22,,22
2021-11,휴일,241,13,128,136,197,220,246,238,238,206,193,213,183,124,84,73,45,24,14,,8
2021-12,평일,346,32,222,244,334,295,338,305,322,307,310,269,258,172,100,72,60,30,15,,23
2021-12,휴일,202,12,93,119,164,184,182,176,200,170,150,177,134,90,58,56,35,20,10,,8
2022-01,평일,339,29,224,225,320,284,315,303,315,288,296,257,245,168,101,67,61,22,11,0,21
2022-01,휴일,195,11,99,95,151,167,166,178,196,168,135,146,128,88,65,49,39,16,8,0,10
2022-02,평일,328,30,207,246,315,273,288,273,284,274,272,233,220,146,97,67,58,25,12,0,20
2022-02,휴일,218,10,108,135,183,191,173,177,199,173,144,154,122,95,69,56,40,22,8,0,8
2022-03,평일,340,31,227,273,316,283,288,267,293,272,272,234,222,156,99,67,53,29,12,0,23
2022-03,휴일,217,12,121,154,171,181,164,164,180,158,141,151,114,88,71,54,41,20,12,0,8
2022-04,평일,374,34,266,267,367,336,387,331,342,318,325,287,286,194,125,83,71,39,22,0,21
2022-04,휴일,247,12,143,152,197,232,237,220,232,207,193,196,176,119,97,73,55,30,19,0,9
2022-05,평일,379,33,272,271,362,375,473,383,358,348,365,321,342,236,138,97,79,52,21,0,22
2022-05,휴일,245,14,150,163,223,266,293,251,249,219,200,218,191,133,103,86,62,37,21,0,9
2022-06,평일,367,32,255,250,350,356,470,394,340,325,336,300,354,221,122,91,75,48,21,2,22
2022-06,휴일,265,14,183,152,223,284,297,272,260,206,185,218,204,127,100,84,63,34,19,1,8
2022-07,평일,364,33,255,255,369,350,423,369,356,317,313,298,313,207,119,85,74,46,19,1,21
2022-07,휴일,233,16,146,148,192,216,250,220,208,182,164,171,160,112,86,68,59,31,14,1,10
2022-08,평일,346,32,242,249,347,317,355,300,317,297,292,260,266,182,117,82,63,39,18,3,23
2022-08,휴일,224,15,123,140,198,201,211,199,215,172,148,163,142,114,83,72,55,34,17,1,8
2022-09,평일,353,30,259,251,375,340,440,363,342,336,326,300,329,212,126,89,68,44,20,3,22
2022-09,휴일,217,14,138,139,200,234,244,223,232,202,178,194,178,114,91,67,56,29,17,1,8
2022-10,평일,369,31,276,278,376,365,460,378,351,352,343,312,341,224,127,92,72,43,21,3,21
2022-10,휴일,273,13,176,171,247,286,304,271,267,246,208,236,204,135,104,82,65,33,20,1,10
2022-11,평일,377,35,277,276,373,384,468,387,359,354,355,321,362,217,118,87,70,44,16,5,22
2022-11,휴일,251,16,184,168,219,268,278,269,266,250,213,238,211,124,97,75,52,34,16,1,8
2022-12,평일,351,34,245,242,344,359,518,408,355,359,349,358,422,232,120,102,82,51,19,4,22
2022-12,휴일,209,13,125,134,183,254,299,282,246,220,211,278,213,119,86,75,65,35,22,2,9
2023-01,평일,325,31,212,225,309,319,402,339,333,329,300,291,298,186,108,78,64,36,14,3,22
2023-01,휴일,171,13,100,108,158,206,221,198,212,176,159,181,134,88,69,55,41,22,11,1,9
2023-02,평일,359,43,246,274,366,368,527,426,386,371,364,329,373,217,125,97,75,48,16,3,20
2023-02,휴일,232,23,134,146,217,286,305,282,246,232,201,261,199,125,100,74,58,32,15,1,8
2023-03,평일,372,59,251,279,366,389,522,420,401,380,360,332,388,235,130,102,75,48,16,4,23
2023-03,휴일,235,35,142,146,226,284,314,284,248,228,209,240,204,128,97,80,54,29,20,2,8
2023-04,평일,394,59,282,288,391,386,502,414,397,369,363,325,358,227,136,103,83,44,19,4,20
2023-04,휴일,277,35,190,173,234,280,305,261,268,243,207,224,194,133,106,85,63,36,20,1,10
2023-05,평일,372,32,267,277,368,382,473,395,389,348,346,307,351,218,136,103,84,50,20,4,23
2023-05,휴일,258,13,190,172,256,287,294,244,244,217,195,224,199,128,87,83,64,35,17,1,8
2023-06,평일,380,32,268,279,366,370,502,395,367,354,338,325,367,230,132,104,83,53,18,3,22
2023-06,휴일,262,13,201,163,220,255,323,268,258,215,203,225,195,124,102,92,70,44,17,2,8
2023-07,평일,356,35,251,280,373,359,447,354,350,335,311,285,307,210,120,94,78,42,16,4,21
2023-07,휴일,210,12,136,151,180,210,252,220,215,188,176,195,157,109,82,73,56,32,13,2,10
2023-08,평일,337,30,250,269,357,330,385,317,314,304,285,265,276,196,120,91,68,41,16,2,23
2023-08,휴일,210,11,148,143,191,220,236,242,222,197,167,166,162,111,87,86,55,28,12,1,8
2023-09,평일,348,31,256,272,369,369,454,375,336,356,333,298,354,218,130,100,76,43,17,4,21
2023-09,휴일,219,11,165,148,210,250,276,258,261,228,190,226,199,117,103,81,61,35,18,1,9
2023-10,평일,358,30,280,294,375,372,464,386,358,355,342,323,339,229,133,100,76,43,17,3,22
2023-10,휴일,267,13,213,175,234,287,307,279,246,251,218,226,208,144,112,92,65,34,18,1,9
2023-11,평일,362,32,268,308,387,381,495,402,365,366,371,354,389,237,139,102,76,46,18,5,22
2023-11,휴일,237,12,192,154,220,280,321,276,267,222,222,236,228,131,97,86,50,26,14,1,8
2023-12,평일,331,32,232,277,352,372,568,456,386,396,367,388,477,255,133,109,94,56,21,5,21
2023-12,휴일,198,13,116,142,190,256,357,310,251,229,224,276,229,135,102,93,66,35,20,3,10
