월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,28,18,49,48,32,56,60,68,60,67,90,101,120,113,85,55,36,22,13,,22
2021-07,휴일,16,16,24,25,22,33,37,41,43,48,61,57,68,61,51,35,26,17,8,,9
2021-08,평일,27,18,48,41,31,52,63,65,59,67,92,106,118,111,84,49,34,17,8,,22
2021-08,휴일,16,15,23,18,20,29,33,40,38,44,56,61,63,64,46,35,24,13,5,,9
2021-09,평일,28,20,51,44,32,56,66,72,70,74,107,115,123,117,87,53,41,21,10,,22
2021-09,휴일,17,17,23,22,23,33,39,51,61,60,74,86,83,74,63,41,32,18,6,,8
2021-10,평일,31,19,55,44,37,55,71,81,81,79,120,136,145,123,94,57,42,24,12,,21
2021-10,휴일,16,19,24,20,21,31,42,48,61,66,90,91,98,78,64,44,32,21,9,,10
2021-11,평일,33,21,52,54,42,59,68,79,77,87,129,144,143,127,90,56,45,23,13,,22
2021-11,휴일,15,18,23,24,22,33,40,46,61,68,90,100,102,90,63,47,32,20,10,,8
2021-12,평일,31,20,49,51,36,53,64,74,73,82,123,131,131,114,85,47,39,19,11,,23
2021-12,휴일,16,18,18,20,19,31,32,44,52,56,72,75,71,62,49,32,24,13,6,,8
2022-01,평일,24,20,45,51,34,55,64,71,75,77,111,134,136,114,86,52,38,20,9,0,21
2022-01,휴일,16,17,21,19,21,35,32,42,57,58,80,82,82,68,48,35,24,14,7,0,10
2022-02,평일,25,20,47,49,37,53,59,68,68,72,105,115,119,104,84,47,34,19,10,0,20
2022-02,휴일,19,17,21,22,20,33,39,43,60,65,69,78,77,69,51,31,22,16,9,0,8
2022-03,평일,30,19,47,46,34,55,64,71,71,80,102,119,126,112,90,45,32,20,13,0,23
2022-03,휴일,17,16,20,21,16,31,33,49,56,59,70,79,80,75,52,30,22,14,9,0,8
2022-04,평일,32,17,51,49,43,59,72,86,79,90,121,140,145,138,97,63,43,28,17,0,21
2022-04,휴일,18,15,26,26,24,38,44,51,64,76,89,106,95,89,68,49,37,24,14,0,9
2022-05,평일,37,19,55,52,48,66,78,92,94,105,134,151,152,143,108,71,58,34,21,0,22
2022-05,휴일,23,18,23,27,26,41,43,55,73,77,98,109,111,91,75,59,48,30,13,0,9
2022-06,평일,30,21,50,56,49,68,76,91,88,102,136,143,148,139,102,66,57,34,20,2,22
2022-06,휴일,20,18,27,30,31,42,57,58,66,88,109,111,116,87,76,64,49,32,15,0,8
2022-07,평일,28,19,58,55,51,69,75,84,88,90,124,137,151,135,105,69,53,35,17,2,21
