월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,62,21,55,40,43,39,33,35,33,33,37,28,30,26,22,12,8,4,1,,22
2021-07,휴일,42,20,33,28,32,29,28,34,24,29,28,26,20,18,14,10,6,3,1,,9
2021-08,평일,59,20,49,37,41,34,33,32,30,32,37,28,32,27,18,10,6,3,1,,22
2021-08,휴일,38,19,24,22,28,24,28,33,32,29,34,23,26,16,16,8,4,3,1,,9
2021-09,평일,57,22,49,39,45,42,39,40,41,42,44,38,32,28,20,12,7,4,1,,22
2021-09,휴일,42,20,35,29,36,41,41,38,42,44,42,33,26,23,14,10,6,4,1,,8
2021-10,평일,55,24,56,40,54,50,46,44,45,50,48,40,38,29,22,12,7,4,1,,21
2021-10,휴일,40,24,31,30,45,48,51,47,45,48,44,45,33,22,16,8,8,3,1,,10
2021-11,평일,54,26,63,45,59,47,47,48,41,44,48,41,37,31,20,12,8,5,1,,22
2021-11,휴일,42,26,42,39,57,51,60,49,47,53,51,46,33,21,15,11,6,4,1,,8
2021-12,평일,51,22,58,45,49,44,43,41,38,39,43,37,37,32,18,11,8,4,1,,23
2021-12,휴일,35,22,32,34,44,46,35,41,35,36,31,30,23,16,11,8,5,3,0,,8
2022-01,평일,53,21,53,41,41,38,35,33,37,34,39,33,33,29,18,12,8,4,1,0,21
2022-01,휴일,33,21,32,25,45,40,33,35,34,30,30,32,21,14,10,9,5,4,1,0,10
2022-02,평일,44,22,51,39,44,36,32,32,31,33,36,32,33,25,17,12,6,3,1,0,20
2022-02,휴일,29,22,32,25,43,38,33,36,37,33,33,31,26,16,9,11,6,4,0,0,8
2022-03,평일,45,24,55,39,43,47,39,42,43,43,37,31,34,26,15,11,6,3,1,0,23
2022-03,휴일,31,20,32,32,36,40,41,40,39,40,39,30,24,14,12,9,5,3,0,0,8
2022-04,평일,57,28,68,51,63,103,116,105,103,94,76,63,48,38,21,14,8,5,2,0,21
2022-04,휴일,40,23,48,49,86,155,197,165,164,172,128,85,55,34,25,14,9,3,1,0,9
2022-05,평일,75,29,80,72,61,64,68,61,60,58,55,45,48,42,20,17,10,8,3,0,22
2022-05,휴일,52,26,47,41,68,85,85,67,63,70,62,47,39,29,19,16,9,6,2,0,9
2022-06,평일,68,29,67,51,58,63,60,53,52,52,53,46,44,37,22,16,11,7,2,0,22
2022-06,휴일,56,28,52,47,71,87,81,75,67,66,62,52,42,35,21,16,12,6,2,0,8
2022-07,평일,66,30,68,52,54,57,59,55,51,50,48,41,45,39,23,16,10,8,3,0,21
