월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,59,23,75,116,148,138,115,104,111,106,115,102,81,63,38,27,18,12,5,,44
2021-07,휴일,32,14,26,30,48,62,58,61,59,52,52,50,45,34,24,17,15,8,3,,18
2021-08,평일,54,24,72,107,137,130,115,110,112,109,116,100,73,65,37,25,15,9,4,,44
2021-08,휴일,31,15,24,26,43,54,50,59,57,52,52,55,43,37,23,18,11,8,3,,18
2021-09,평일,50,22,69,111,138,130,121,116,123,120,126,110,84,66,40,26,15,12,4,,44
2021-09,휴일,31,16,25,32,53,76,68,75,73,73,68,66,59,42,29,21,13,8,4,,16
2021-10,평일,61,24,72,123,146,135,130,123,132,128,136,125,94,75,41,28,17,12,5,,42
2021-10,휴일,42,18,25,30,46,78,83,87,88,80,78,80,67,49,30,21,14,12,4,,20
2021-11,평일,62,26,74,124,148,140,138,123,136,138,144,131,99,74,43,31,20,14,7,,44
2021-11,휴일,43,17,24,32,55,90,81,85,83,87,81,87,72,49,32,21,17,10,6,,16
2021-12,평일,55,24,69,115,139,136,134,120,133,137,140,120,85,64,37,29,19,11,6,,46
2021-12,휴일,30,15,23,28,44,62,61,68,70,75,70,65,52,32,21,17,13,10,3,,16
2022-01,평일,49,21,65,107,132,136,127,125,131,136,138,125,88,68,39,26,21,9,4,0,42
2022-01,휴일,28,12,20,24,42,70,66,74,79,71,66,68,52,34,22,19,14,7,2,0,20
2022-02,평일,47,23,62,110,126,122,112,109,112,118,120,108,78,63,37,24,18,10,4,0,40
2022-02,휴일,28,15,24,27,43,70,64,71,72,68,64,63,54,36,25,16,15,9,3,0,16
2022-03,평일,51,25,63,115,135,126,122,114,116,120,122,111,79,65,39,27,16,12,5,0,46
2022-03,휴일,26,15,21,28,42,76,65,75,72,66,65,62,54,38,23,16,11,8,5,0,16
2022-04,평일,64,29,72,137,149,142,139,125,130,132,133,124,92,75,45,33,22,13,8,0,42
2022-04,휴일,42,20,24,31,55,85,81,94,85,82,74,79,72,48,35,24,18,10,6,0,18
2022-05,평일,69,29,73,139,158,147,150,131,140,141,139,125,97,80,47,37,28,16,9,0,44
2022-05,휴일,45,23,26,35,55,96,80,88,86,82,80,82,75,49,36,28,21,11,7,0,18
2022-06,평일,65,28,71,132,154,140,140,131,130,131,129,123,98,80,47,36,27,16,7,1,44
2022-06,휴일,52,24,25,35,62,90,95,96,100,85,86,87,80,53,39,28,22,13,9,0,16
2022-07,평일,61,27,74,144,166,148,142,129,135,126,132,118,97,78,48,34,25,17,7,1,42
2022-07,휴일,38,18,26,36,61,79,78,82,72,72,66,71,66,43,36,28,18,11,7,1,20
2022-08,평일,57,25,68,130,153,143,129,124,121,120,127,113,92,74,46,31,22,15,6,1,46
2022-08,휴일,35,18,25,37,56,82,76,81,76,69,67,69,68,51,37,26,19,13,7,0,16
2022-09,평일,61,27,71,132,157,148,139,134,134,134,138,124,101,76,49,34,24,16,7,1,44
2022-09,휴일,36,18,27,32,51,84,86,84,73,79,79,82,70,53,33,26,16,10,7,0,16
2022-10,평일,70,30,73,128,167,146,146,140,138,143,147,134,106,79,46,35,24,16,8,2,42
2022-10,휴일,62,30,30,39,58,98,100,94,88,98,92,100,86,56,39,30,20,13,6,0,20
2022-11,평일,71,29,77,133,178,140,149,137,137,145,145,132,107,76,48,33,22,15,7,2,44
2022-11,휴일,49,23,28,38,57,88,103,97,101,95,90,99,87,53,37,27,17,12,6,0,16
2022-12,평일,58,28,72,119,162,142,150,139,143,146,152,138,113,77,46,32,25,18,8,2,44
2022-12,휴일,33,16,25,34,50,83,99,105,101,95,93,96,85,50,34,29,19,12,7,1,18
2023-01,평일,47,27,66,108,147,138,135,127,135,141,140,124,94,68,41,29,19,14,6,2,44
2023-01,휴일,25,16,21,30,37,73,74,80,73,73,71,68,66,36,26,20,12,8,6,0,18
2023-02,평일,55,33,77,130,172,151,152,147,149,152,154,144,111,84,50,32,25,15,7,2,40
2023-02,휴일,34,22,26,34,55,88,100,112,98,93,96,101,92,50,36,29,16,11,6,0,16
2023-03,평일,60,39,74,143,180,148,156,145,146,147,157,145,114,84,49,34,25,17,8,2,46
2023-03,휴일,42,30,31,41,58,95,106,107,98,96,100,105,91,55,40,31,20,12,7,0,16
2023-04,평일,69,40,82,154,184,152,156,152,146,154,154,140,114,86,46,36,26,17,8,2,40
2023-04,휴일,51,32,35,42,55,97,100,95,97,97,92,93,86,55,42,34,22,12,6,0,20
2023-05,평일,63,31,78,139,170,150,152,141,140,146,142,137,114,87,49,38,28,18,9,2,46
2023-05,휴일,51,27,32,39,57,93,83,87,88,92,76,83,82,52,36,30,20,12,8,0,16
2023-06,평일,63,32,83,149,175,154,151,146,143,139,146,130,113,87,46,39,29,17,8,2,44
2023-06,휴일,44,25,31,44,61,104,106,104,92,87,85,97,92,55,37,34,25,14,6,1,16
2023-07,평일,57,30,81,149,176,148,147,137,134,131,133,126,107,80,43,36,26,16,8,2,42
2023-07,휴일,35,20,29,37,53,88,86,83,78,76,70,77,78,49,35,30,18,12,7,0,20
2023-08,평일,58,30,77,145,163,135,129,124,116,120,125,118,101,77,46,33,23,15,7,2,46
2023-08,휴일,33,20,28,38,54,88,90,93,82,75,77,80,72,50,40,31,20,12,7,0,16
2023-09,평일,61,29,76,143,165,150,145,136,129,133,142,127,110,82,47,34,25,15,7,2,42
2023-09,휴일,41,20,29,43,56,94,89,95,86,90,88,86,85,53,43,32,20,10,5,0,18
2023-10,평일,71,34,74,138,158,144,148,140,139,139,143,137,118,83,48,35,24,14,7,1,44
