월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,78,30,119,127,155,159,162,138,146,147,145,147,136,126,71,44,33,22,6,,22
2021-07,휴일,46,20,55,59,70,78,95,92,97,94,89,82,75,71,45,32,24,20,5,,9
2021-08,평일,71,29,111,122,153,153,158,138,145,152,139,150,139,112,70,40,31,18,5,,22
2021-08,휴일,47,19,45,57,67,74,95,89,92,91,91,84,77,67,47,31,22,17,3,,9
2021-09,평일,71,26,106,113,153,153,167,150,158,168,150,158,137,114,74,42,37,21,6,,22
2021-09,휴일,47,19,48,57,86,93,112,110,118,102,116,99,91,74,55,34,28,22,4,,8
2021-10,평일,74,26,112,131,172,171,187,172,181,190,178,175,162,131,79,51,42,23,8,,21
2021-10,휴일,51,17,44,53,86,102,116,121,128,128,127,117,116,82,60,38,28,23,7,,10
2021-11,평일,83,29,116,124,165,174,193,171,180,198,181,187,170,133,79,49,44,23,10,,22
2021-11,휴일,56,19,51,66,84,93,121,130,136,129,133,132,124,90,60,43,29,22,8,,8
2021-12,평일,78,29,107,123,155,163,183,158,178,186,174,181,153,122,63,45,36,21,10,,23
2021-12,휴일,49,21,44,47,63,76,97,105,119,110,112,114,82,62,46,30,26,16,4,,8
2022-01,평일,80,31,97,128,155,159,170,157,177,187,173,174,147,123,71,45,38,21,8,0,21
2022-01,휴일,50,20,38,50,64,82,104,100,112,112,112,104,90,64,47,32,30,15,5,0,10
2022-02,평일,74,31,89,118,150,143,147,144,168,174,149,154,141,114,66,41,33,21,6,0,20
2022-02,휴일,52,21,41,56,68,96,118,122,138,116,114,111,84,70,53,34,28,18,5,0,8
2022-03,평일,74,27,90,118,148,144,158,147,175,178,162,149,139,118,66,48,30,25,7,0,23
2022-03,휴일,50,16,41,53,71,86,108,104,116,112,112,95,84,69,53,31,21,15,6,0,8
2022-04,평일,81,29,114,134,168,174,198,178,204,206,188,182,168,137,76,56,43,28,10,0,21
2022-04,휴일,57,18,53,69,83,127,136,137,149,144,144,143,117,94,72,47,34,24,8,0,9
2022-05,평일,80,33,115,139,174,179,210,188,204,216,206,200,188,155,88,63,53,35,13,0,22
2022-05,휴일,56,22,51,67,88,121,146,148,154,142,155,152,132,90,77,49,40,27,11,0,9
2022-06,평일,81,34,109,133,173,182,212,179,196,207,202,190,172,145,86,67,53,33,14,2,22
2022-06,휴일,62,26,56,67,90,120,148,140,149,140,142,151,128,91,84,60,46,26,11,1,8
2022-07,평일,88,33,105,145,178,189,212,169,196,202,193,196,172,147,79,65,50,33,12,2,21
2022-07,휴일,64,22,50,64,93,109,139,125,131,128,128,128,114,89,65,50,46,25,9,0,10
2022-08,평일,85,28,106,135,165,171,199,166,182,191,188,186,161,140,81,57,46,27,12,2,23
2022-08,휴일,64,19,53,69,93,120,149,131,142,135,141,132,110,85,67,51,38,28,8,0,8
2022-09,평일,91,27,108,132,160,181,208,177,200,202,211,201,168,148,88,65,50,31,11,2,22
2022-09,휴일,61,18,46,56,79,102,125,126,119,128,132,138,116,92,73,49,38,23,8,1,8
2022-10,평일,89,30,118,135,171,184,224,184,207,221,230,218,180,160,92,67,53,34,12,2,21
2022-10,휴일,65,18,55,61,93,122,154,151,147,156,169,173,149,108,80,62,50,31,11,0,10
2022-11,평일,90,31,127,138,173,188,217,184,204,224,232,216,186,159,92,66,53,30,12,2,22
2022-11,휴일,67,17,54,65,90,122,141,142,143,164,168,174,143,100,73,57,44,26,8,0,8
2022-12,평일,85,32,116,132,173,187,231,199,226,228,244,221,186,152,87,70,60,38,13,3,22
2022-12,휴일,57,16,57,50,89,110,144,136,155,169,153,169,133,85,68,53,43,29,11,1,9
2023-01,평일,75,28,100,128,163,164,195,168,192,204,208,196,164,138,82,57,44,29,10,2,22
2023-01,휴일,50,16,42,41,67,95,116,109,121,133,133,127,108,71,55,41,29,21,7,1,9
2023-02,평일,83,32,121,144,180,202,230,205,226,235,242,226,191,165,94,65,55,31,12,2,20
2023-02,휴일,62,17,53,53,92,123,158,158,153,164,182,182,134,94,80,52,36,25,10,1,8
2023-03,평일,89,35,124,136,191,209,238,218,238,245,251,234,199,177,102,69,57,34,10,3,23
2023-03,휴일,63,17,52,57,102,137,158,156,167,175,187,194,151,105,86,60,45,28,8,2,8
2023-04,평일,94,39,131,152,185,206,225,201,225,231,245,226,192,173,102,71,62,34,11,3,20
2023-04,휴일,71,18,58,60,107,140,179,153,163,183,186,190,158,112,88,65,48,26,10,1,10
2023-05,평일,96,31,121,145,178,205,225,202,216,227,227,216,202,171,101,74,59,34,13,3,23
2023-05,휴일,63,17,58,61,120,127,168,137,157,159,165,164,137,102,82,65,46,30,11,1,8
2023-06,평일,92,35,126,151,181,203,223,196,210,224,224,220,198,178,104,79,65,36,15,3,22
2023-06,휴일,68,19,63,68,106,134,161,155,156,178,176,170,159,113,98,66,57,31,10,1,8
2023-07,평일,94,34,125,154,188,207,219,196,205,217,212,206,185,172,98,73,58,32,12,3,21
2023-07,휴일,61,16,58,66,100,122,155,133,136,141,151,152,127,93,73,60,45,24,11,0,10
2023-08,평일,87,35,119,153,179,187,206,178,187,196,207,195,182,157,97,70,48,31,10,2,23
2023-08,휴일,60,19,54,66,96,126,159,135,158,151,156,159,139,99,77,62,45,26,8,1,8
2023-09,평일,87,33,118,147,178,202,215,188,208,214,212,207,193,167,99,72,56,31,12,3,21
2023-09,휴일,63,24,54,67,92,133,164,147,169,162,167,168,157,113,83,61,47,27,10,1,9
2023-10,평일,89,34,114,145,182,206,225,200,219,230,247,231,202,171,108,77,59,32,11,2,22
2023-10,휴일,60,24,54,72,108,135,163,149,175,169,183,185,167,114,81,64,51,30,14,0,9
2023-11,평일,95,33,123,155,185,208,227,203,220,231,244,236,199,170,100,74,57,34,14,3,22
2023-11,휴일,62,22,50,70,103,131,163,145,163,171,182,198,154,102,79,56,44,26,12,1,8
2023-12,평일,82,31,110,155,180,216,250,215,230,248,247,246,203,169,100,80,73,39,13,3,21
2023-12,휴일,47,17,47,67,99,133,168,154,163,163,182,190,155,100,78,64,51,32,10,2,10
