월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,61,19,82,79,73,80,100,97,95,106,125,133,131,110,81,53,38,20,7,,22
2021-07,휴일,45,15,35,41,50,57,66,65,69,77,85,81,82,74,56,39,29,18,7,,9
2021-08,평일,55,18,83,71,72,85,98,100,98,118,127,133,132,105,78,48,34,17,5,,22
2021-08,휴일,43,14,38,36,59,66,65,64,73,80,88,81,90,76,56,40,28,16,6,,9
2021-09,평일,57,17,72,65,69,84,105,108,105,120,137,147,133,111,74,57,38,20,5,,22
2021-09,휴일,43,12,40,46,62,64,76,77,81,95,102,98,105,80,70,48,33,15,5,,8
2021-10,평일,57,17,76,78,77,89,117,117,117,132,158,169,158,124,86,61,41,23,8,,21
2021-10,휴일,43,15,33,43,55,65,80,85,89,105,121,115,112,90,65,49,34,18,8,,10
2021-11,평일,54,17,74,84,74,88,116,116,121,135,160,172,158,118,78,57,40,24,9,,22
2021-11,휴일,40,15,36,40,56,63,77,81,86,108,124,120,122,86,62,54,35,16,9,,8
2021-12,평일,48,16,75,79,64,81,111,109,115,130,155,155,140,106,69,50,37,17,5,,23
2021-12,휴일,34,13,26,30,42,56,59,67,74,86,104,84,88,60,50,36,29,15,4,,8
2022-01,평일,46,15,77,77,65,77,107,104,110,132,153,157,141,105,69,47,40,17,4,0,21
2022-01,휴일,33,12,27,29,41,53,66,72,81,91,97,98,93,62,49,37,26,13,4,0,10
2022-02,평일,45,14,70,74,62,80,97,95,104,119,135,143,128,103,65,46,34,16,6,0,20
2022-02,휴일,37,10,36,36,46,52,72,72,81,85,94,93,90,67,47,37,26,14,4,0,8
2022-03,평일,48,16,75,76,68,80,100,101,112,132,140,143,127,102,67,47,34,20,7,0,23
2022-03,휴일,34,14,30,36,42,52,66,69,72,89,92,93,88,64,55,35,23,13,8,0,8
2022-04,평일,56,19,84,86,78,93,118,116,128,139,164,172,160,122,81,60,44,26,10,0,21
2022-04,휴일,39,14,40,42,63,80,90,92,90,105,123,115,116,82,68,57,38,19,8,0,9
2022-05,평일,56,18,85,90,81,94,131,128,133,145,173,187,176,133,88,70,52,32,15,0,22
2022-05,휴일,39,16,41,47,75,90,108,96,99,119,120,129,118,91,76,60,47,22,12,0,9
2022-06,평일,57,17,86,86,75,90,127,126,131,150,174,180,163,123,87,72,55,34,14,0,22
2022-06,휴일,40,16,42,48,69,75,98,97,99,114,130,125,127,100,75,62,48,26,11,0,8
2022-07,평일,55,18,90,86,79,94,127,129,129,135,167,175,173,127,90,71,54,34,14,0,21
2022-07,휴일,38,14,42,45,61,76,87,86,85,108,112,116,113,91,74,57,44,24,10,1,10
2022-08,평일,53,18,82,89,71,87,113,118,123,129,156,159,155,123,84,61,49,29,10,2,23
2022-08,휴일,38,14,43,46,62,69,90,88,87,103,103,110,107,97,76,54,37,21,9,0,8
2022-09,평일,60,18,79,88,75,90,128,131,129,148,171,178,174,129,94,70,54,32,11,1,22
2022-09,휴일,35,15,40,43,58,73,95,89,102,113,127,118,112,93,73,53,37,24,10,1,8
2022-10,평일,60,19,82,94,80,90,138,138,137,162,195,192,186,137,99,67,57,33,12,2,21
2022-10,휴일,38,15,41,50,64,77,102,96,96,122,145,133,143,119,90,68,48,27,12,1,10
2022-11,평일,57,17,88,92,80,93,127,138,133,164,195,199,186,132,86,72,53,32,10,2,22
2022-11,휴일,35,14,36,47,60,74,92,93,100,123,150,137,144,98,80,61,35,25,11,0,8
2022-12,평일,48,18,81,80,68,80,133,129,129,159,180,194,177,119,84,77,59,35,12,2,22
2022-12,휴일,32,13,35,42,45,59,90,92,91,106,138,126,130,87,70,58,42,24,11,1,9
2023-01,평일,45,18,74,74,67,78,114,114,121,144,171,170,157,121,81,63,47,23,11,2,22
2023-01,휴일,30,11,30,36,43,64,80,84,85,99,103,99,97,71,60,43,29,18,9,0,9
2023-02,평일,48,27,87,86,82,91,148,133,136,163,200,208,179,142,95,74,53,31,10,2,20
2023-02,휴일,33,21,44,44,64,74,108,102,92,118,130,133,131,101,88,58,37,22,8,0,8
2023-03,평일,55,41,87,87,84,105,142,140,144,170,200,209,187,141,104,80,58,33,12,2,23
2023-03,휴일,35,30,41,47,64,96,131,110,105,131,160,145,137,115,91,64,38,24,12,0,8
2023-04,평일,64,37,88,88,81,99,139,135,139,160,194,202,188,146,104,81,62,35,12,3,20
2023-04,휴일,36,31,46,50,72,86,109,102,100,121,149,134,143,107,98,64,45,28,14,1,10
2023-05,평일,64,18,85,86,80,99,134,134,134,164,188,197,186,142,98,77,60,37,13,2,23
2023-05,휴일,38,14,44,48,78,79,99,93,97,114,130,132,127,103,82,66,46,31,13,0,8
2023-06,평일,70,20,87,96,80,97,136,133,130,158,186,188,178,141,103,79,60,37,14,3,22
2023-06,휴일,43,16,47,53,81,76,114,102,107,125,134,138,143,107,94,79,52,27,14,0,8
2023-07,평일,67,20,86,94,82,97,128,125,125,146,180,177,166,136,97,75,57,33,12,2,21
2023-07,휴일,42,15,48,46,62,76,95,92,90,103,122,121,129,98,75,60,39,27,11,0,10
2023-08,평일,67,19,76,90,89,93,120,115,122,131,168,165,160,131,91,75,53,31,13,2,23
2023-08,휴일,43,16,45,51,68,70,92,92,96,100,135,115,124,102,78,61,44,29,11,0,8
2023-09,평일,66,21,76,83,81,94,123,127,129,159,186,177,177,129,98,80,57,30,13,3,21
2023-09,휴일,41,16,46,45,67,84,105,96,99,118,123,142,135,99,93,66,42,25,10,0,9
2023-10,평일,63,19,75,80,80,93,136,129,137,162,198,199,184,142,103,83,57,32,13,2,22
2023-10,휴일,37,17,50,47,71,88,106,106,112,128,153,145,140,112,89,73,51,28,12,0,9
2023-11,평일,64,20,82,85,80,90,130,125,134,160,191,197,179,135,98,80,58,34,13,2,22
2023-11,휴일,39,15,44,42,57,74,109,96,107,112,128,140,141,99,78,71,44,29,12,0,8
2023-12,평일,57,19,76,81,73,87,132,130,136,159,189,195,177,128,92,85,67,38,14,3,21
