월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,30,9,36,30,43,51,51,55,48,55,85,94,79,76,60,36,25,13,8,,22
2021-07,휴일,20,8,25,19,28,36,41,40,39,43,49,47,48,37,33,20,16,10,6,,9
2021-08,평일,28,8,33,35,39,48,50,50,47,60,82,92,78,74,57,38,20,16,8,,22
2021-08,휴일,23,6,22,18,26,37,36,41,37,39,51,46,50,40,32,19,15,10,5,,9
2021-09,평일,29,9,35,31,37,47,47,52,59,66,81,95,76,77,55,34,25,17,8,,22
2021-09,휴일,24,9,25,22,36,43,44,50,51,48,57,59,58,46,37,25,17,12,6,,8
2021-10,평일,25,9,38,33,43,53,55,60,63,67,93,106,89,82,59,41,30,19,14,,21
2021-10,휴일,19,7,25,22,32,45,38,50,47,50,58,64,62,47,39,27,21,14,7,,10
2021-11,평일,26,10,36,34,42,51,55,59,62,66,94,116,89,82,58,41,29,18,15,,22
2021-11,휴일,20,10,25,28,35,54,44,54,53,57,67,63,67,59,39,31,21,13,11,,8
2021-12,평일,22,9,38,30,33,48,56,57,59,69,94,110,83,75,58,39,25,16,13,,23
2021-12,휴일,17,7,20,22,22,42,33,45,45,44,58,50,48,42,35,22,16,10,8,,8
2022-01,평일,18,10,37,27,32,47,50,59,60,64,91,114,82,75,54,38,28,16,13,0,21
2022-01,휴일,16,8,20,19,22,46,38,48,50,49,61,57,52,47,30,24,17,9,6,0,10
2022-02,평일,24,9,35,26,39,44,48,54,57,60,90,104,76,68,56,34,25,15,13,0,20
2022-02,휴일,18,6,21,24,27,48,36,47,48,44,58,52,51,43,34,22,17,11,8,0,8
2022-03,평일,27,11,38,26,39,50,50,57,59,62,84,102,77,70,50,35,27,16,14,0,23
2022-03,휴일,17,9,19,21,27,39,37,45,50,46,51,49,54,44,35,19,15,12,6,0,8
2022-04,평일,31,11,39,32,41,56,53,58,66,67,99,115,91,89,62,39,31,22,16,0,21
2022-04,휴일,21,8,24,25,33,53,50,54,66,68,66,60,64,59,47,29,18,17,12,0,9
2022-05,평일,30,13,37,31,49,60,57,63,64,72,100,117,93,94,65,44,36,22,15,0,22
2022-05,휴일,20,10,23,30,39,55,47,51,61,58,72,75,70,63,53,37,24,16,13,0,9
2022-06,평일,32,10,35,32,42,55,58,64,66,71,95,112,93,87,62,46,32,26,14,3,22
2022-06,휴일,22,8,22,32,37,53,46,51,58,59,77,69,70,66,51,35,24,21,9,4,8
2022-07,평일,32,12,35,37,44,59,58,63,60,74,102,106,93,85,64,47,36,27,13,2,21
2022-07,휴일,22,11,23,35,40,56,41,45,56,56,68,66,64,56,46,33,26,18,8,2,10
2022-08,평일,27,10,32,30,42,55,55,55,62,66,92,104,85,81,63,44,30,23,11,3,23
2022-08,휴일,22,9,23,35,41,54,43,47,55,53,59,64,60,53,49,32,23,19,7,2,8
2022-09,평일,30,12,33,34,44,56,59,68,68,73,94,109,95,92,66,43,35,24,11,2,22
2022-09,휴일,20,9,25,34,38,56,40,51,54,49,56,70,59,55,47,29,23,16,7,4,8
