월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,75,20,89,99,125,167,187,186,171,188,282,295,271,231,178,119,71,48,16,,22
2021-07,휴일,56,17,70,57,90,106,132,143,114,127,136,153,157,139,110,81,50,37,15,,9
2021-08,평일,71,24,87,92,108,165,184,182,186,192,286,280,266,228,167,109,62,42,15,,22
2021-08,휴일,59,18,67,53,79,111,122,137,116,130,151,161,163,147,113,78,48,33,15,,9
2021-09,평일,66,21,76,88,110,156,188,192,199,213,305,300,277,230,165,112,65,45,18,,22
2021-09,휴일,56,15,69,62,86,125,160,165,153,160,187,198,194,170,133,81,55,36,15,,8
2021-10,평일,67,20,80,95,114,170,201,204,208,232,345,348,322,261,170,113,68,47,23,,21
2021-10,휴일,55,15,68,53,89,130,156,159,160,180,198,217,215,187,130,86,52,40,17,,10
2021-11,평일,69,19,79,94,106,163,201,198,217,233,350,354,331,256,166,105,69,47,28,,22
2021-11,휴일,59,15,64,54,84,130,146,156,160,175,213,245,224,184,120,82,58,39,23,,8
2021-12,평일,57,20,76,85,98,157,191,191,219,244,331,337,290,236,154,97,69,43,21,,23
2021-12,휴일,46,14,56,44,66,107,126,137,149,148,174,178,165,136,92,64,47,31,13,,8
2022-01,평일,56,17,78,77,90,147,182,196,209,235,330,325,279,227,157,99,71,35,15,0,21
2022-01,휴일,47,13,59,47,75,112,134,154,166,171,197,197,176,141,106,64,52,25,11,0,10
2022-02,평일,57,15,76,81,87,138,178,184,194,217,303,311,262,225,154,95,63,39,17,0,20
2022-02,휴일,47,13,56,49,74,108,139,160,158,159,196,229,194,156,112,74,50,31,14,0,8
2022-03,평일,57,17,83,82,101,153,187,194,206,227,316,320,285,225,161,96,65,38,23,0,23
2022-03,휴일,46,13,53,49,74,106,137,153,148,163,196,195,168,146,118,78,50,30,17,0,8
2022-04,평일,61,17,92,100,130,175,204,217,239,250,350,361,335,276,188,123,82,53,25,0,21
2022-04,휴일,56,13,66,66,106,140,172,204,208,205,234,260,249,206,168,112,71,43,24,0,9
2022-05,평일,66,19,97,101,132,179,211,233,237,251,339,389,349,293,193,146,94,60,32,0,22
2022-05,휴일,57,14,71,65,110,141,174,188,192,188,233,249,235,199,154,122,85,53,25,0,9
2022-06,평일,69,22,90,98,126,178,207,220,221,240,327,359,327,271,191,138,95,63,30,4,22
2022-06,휴일,61,16,72,66,110,148,166,190,180,188,217,247,225,197,164,122,94,59,22,2,8
2022-07,평일,71,20,92,97,129,181,205,216,210,222,321,355,335,278,202,145,99,67,35,5,21
2022-07,휴일,62,14,78,69,110,129,158,160,160,164,193,224,201,192,155,121,90,61,24,3,10
2022-08,평일,67,17,90,98,126,171,197,212,197,219,316,349,316,258,188,128,89,58,29,5,23
2022-08,휴일,63,14,72,69,102,126,154,162,163,168,190,222,208,183,149,118,78,59,28,4,8
2022-09,평일,69,16,93,96,131,177,215,218,216,240,336,370,332,281,198,134,91,60,28,5,22
2022-09,휴일,56,12,67,63,94,122,161,158,149,170,191,218,232,183,160,103,79,46,20,3,8
2022-10,평일,69,18,90,107,135,184,210,230,237,253,356,410,373,291,195,138,91,63,26,6,21
2022-10,휴일,61,16,70,70,113,142,171,184,186,208,248,296,273,223,179,127,106,63,26,3,10
2022-11,평일,68,17,93,108,144,186,204,224,234,265,370,399,368,276,185,128,88,62,28,5,22
2022-11,휴일,59,14,65,62,102,132,170,178,181,202,242,269,258,198,154,105,77,58,27,3,8
2022-12,평일,63,16,86,95,126,181,192,209,241,274,378,396,346,256,174,128,94,63,30,7,22
2022-12,휴일,55,13,61,59,94,117,155,177,166,188,235,250,236,190,143,106,85,60,27,4,9
2023-01,평일,63,16,84,88,115,156,191,212,224,258,362,358,330,242,175,114,84,54,24,5,22
2023-01,휴일,59,13,56,54,88,109,150,152,150,175,205,206,188,156,119,78,65,45,18,3,9
2023-02,평일,70,23,91,107,129,181,222,246,252,279,397,408,379,290,202,136,101,64,30,6,20
2023-02,휴일,62,19,62,58,113,129,188,209,193,212,256,282,268,205,162,116,81,55,23,4,8
2023-03,평일,74,37,91,98,136,202,226,263,258,291,406,439,383,303,215,151,106,65,31,6,23
2023-03,휴일,65,24,62,64,111,132,186,208,193,225,258,294,280,233,190,120,88,64,26,3,8
2023-04,평일,78,35,94,103,146,207,225,262,249,284,391,424,390,307,215,154,106,72,33,7,20
2023-04,휴일,63,24,68,65,121,160,211,208,213,243,292,311,283,238,199,130,93,65,28,4,10
2023-05,평일,77,21,95,103,144,204,233,253,240,267,377,406,375,303,215,162,109,72,33,7,23
2023-05,휴일,69,14,67,63,117,128,189,183,185,193,238,260,238,206,178,131,90,72,31,4,8
2023-06,평일,77,24,93,106,147,204,228,262,236,265,381,392,368,307,214,167,115,76,32,7,22
2023-06,휴일,66,16,70,74,126,141,201,202,187,191,244,282,272,227,196,147,108,72,31,3,8
2023-07,평일,78,25,97,116,149,203,228,245,225,243,358,364,361,295,209,158,113,69,30,7,21
2023-07,휴일,66,18,72,67,119,136,177,184,168,183,218,245,229,202,161,129,86,64,26,4,10
2023-08,평일,77,21,99,115,146,199,219,224,209,230,333,369,348,273,202,153,101,66,30,6,23
2023-08,휴일,71,15,71,73,114,134,182,191,171,182,215,249,238,218,168,132,96,67,31,3,8
2023-09,평일,74,21,101,113,150,199,230,245,243,260,366,383,362,296,208,153,101,68,31,7,21
2023-09,휴일,65,14,79,71,111,135,194,195,182,200,231,263,255,223,180,126,91,62,28,5,9
2023-10,평일,70,19,95,120,155,206,230,262,260,281,414,431,403,312,213,155,112,65,31,7,22
2023-10,휴일,58,13,74,75,134,144,185,211,195,222,292,328,300,272,203,132,109,68,28,3,9
2023-11,평일,68,18,94,123,165,205,220,255,257,285,402,434,379,292,205,143,102,70,32,7,22
2023-11,휴일,55,14,64,64,130,130,174,203,208,206,275,284,255,229,171,110,96,52,32,2,8
2023-12,평일,67,14,86,113,144,202,224,257,264,280,395,424,361,283,201,151,111,76,32,8,21
2023-12,휴일,52,11,62,64,114,137,183,206,188,205,262,293,266,220,155,114,99,65,30,6,10
