월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,78,9,74,70,98,108,96,93,81,81,83,71,67,50,33,23,23,16,5,,22
2021-07,휴일,42,6,34,34,44,56,52,45,46,40,40,42,40,33,25,20,15,10,3,,9
2021-08,평일,82,8,74,66,95,106,90,95,88,79,88,68,67,50,32,21,22,14,4,,22
2021-08,휴일,42,6,30,32,44,50,46,45,45,42,47,40,41,37,30,17,13,9,2,,9
2021-09,평일,74,10,85,93,94,110,95,115,94,84,95,77,67,51,36,22,20,17,3,,22
2021-09,휴일,38,7,37,42,49,66,67,62,52,56,49,55,51,42,28,21,15,12,3,,8
2021-10,평일,81,12,88,107,109,119,106,135,104,95,105,89,74,57,37,25,23,19,4,,21
2021-10,휴일,41,6,36,44,50,70,70,61,53,55,56,61,57,40,26,22,14,13,3,,10
2021-11,평일,82,12,95,106,112,114,108,141,117,107,112,91,80,55,36,25,20,17,9,,22
2021-11,휴일,44,6,37,46,58,87,66,69,56,61,60,68,64,42,30,22,15,13,6,,8
2021-12,평일,84,12,87,88,80,101,93,109,93,98,107,85,77,52,33,24,22,15,5,,23
2021-12,휴일,38,5,30,35,47,85,52,50,47,52,49,51,48,38,26,16,13,7,4,,8
2022-01,평일,82,10,75,78,86,103,97,98,94,99,108,84,78,47,37,24,23,12,3,0,21
2022-01,휴일,37,6,34,37,50,84,52,53,51,51,56,54,49,36,28,18,15,9,2,0,10
2022-02,평일,74,10,74,78,88,94,86,98,90,86,93,71,69,47,33,23,22,13,3,0,20
2022-02,휴일,48,6,36,44,51,77,56,55,49,50,51,52,48,37,31,19,13,13,2,0,8
2022-03,평일,80,11,86,75,73,95,92,95,90,87,91,80,73,53,40,23,22,15,6,0,23
2022-03,휴일,38,5,41,44,46,67,54,53,46,46,48,53,48,35,33,19,13,14,5,0,8
2022-04,평일,90,10,98,85,87,105,104,105,95,100,104,92,81,58,46,25,25,16,7,0,21
2022-04,휴일,44,5,48,45,54,79,69,56,58,58,57,66,60,46,38,25,18,18,7,0,9
2022-05,평일,90,13,117,89,116,125,130,132,109,104,110,105,93,70,48,30,25,16,8,0,22
2022-05,휴일,38,5,48,52,64,95,72,67,58,66,63,62,59,51,41,32,20,14,6,0,9
2022-06,평일,82,14,112,80,114,126,135,129,108,103,107,94,84,64,48,28,27,16,9,3,22
2022-06,휴일,42,6,51,55,71,101,73,68,58,61,61,70,62,47,40,31,18,16,9,0,8
2022-07,평일,83,16,110,82,130,134,129,126,106,99,105,94,84,63,47,30,29,19,8,3,21
2022-07,휴일,39,6,47,52,72,94,64,64,56,58,50,58,52,45,42,30,22,18,7,0,10
2022-08,평일,75,16,88,84,116,127,119,114,98,96,103,88,78,67,45,25,26,18,7,2,23
2022-08,휴일,42,7,44,52,68,94,55,63,57,56,49,57,53,47,40,31,20,17,7,0,8
2022-09,평일,79,16,100,84,122,134,131,133,108,108,113,87,77,70,49,30,26,18,7,3,22
2022-09,휴일,37,5,47,57,60,97,73,64,53,57,56,58,56,49,41,27,16,14,5,1,8
2022-10,평일,80,17,109,86,133,142,135,130,120,113,121,104,84,68,45,30,28,18,7,3,21
2022-10,휴일,39,8,50,55,71,104,72,69,67,74,67,66,67,56,43,31,23,15,7,0,10
2022-11,평일,83,16,108,85,130,140,131,133,122,112,122,104,89,65,48,28,26,15,7,2,22
2022-11,휴일,38,9,44,49,65,108,72,71,60,67,73,64,67,53,42,29,16,17,5,0,8
2022-12,평일,75,13,98,82,99,121,131,122,125,113,117,94,84,63,42,31,28,19,8,3,22
2022-12,휴일,35,7,47,48,58,87,67,78,51,68,68,71,61,44,37,27,21,14,7,1,9
2023-01,평일,65,11,74,76,100,123,120,107,107,105,114,93,77,62,48,26,25,18,8,4,22
2023-01,휴일,31,6,32,44,57,87,55,56,53,54,57,60,48,34,31,20,13,12,5,0,9
2023-02,평일,74,27,94,103,125,155,141,145,134,120,123,107,88,74,55,32,28,21,9,3,20
2023-02,휴일,36,18,45,57,67,100,69,80,69,73,75,77,67,54,41,29,21,18,7,0,8
2023-03,평일,73,50,104,91,123,143,145,142,130,119,125,115,94,77,58,36,31,23,12,4,23
2023-03,휴일,29,36,48,63,72,103,75,69,63,76,72,84,76,57,48,35,23,18,8,0,8
2023-04,평일,76,46,120,90,141,143,142,140,128,118,128,108,96,79,58,37,30,26,12,5,20
2023-04,휴일,35,33,50,56,67,107,71,68,61,67,70,70,67,60,50,38,27,21,7,0,10
2023-05,평일,73,11,105,91,128,139,137,135,120,117,119,100,99,76,53,38,33,23,10,3,23
2023-05,휴일,33,5,43,57,69,109,62,60,56,70,68,62,59,58,44,34,23,17,8,0,8
2023-06,평일,70,12,104,93,127,135,138,119,118,110,123,97,93,74,51,36,33,24,10,4,22
2023-06,휴일,32,6,43,60,74,102,69,62,64,68,67,67,63,54,47,33,27,21,7,1,8
2023-07,평일,79,11,102,94,129,143,130,127,112,103,107,99,87,72,51,36,31,22,9,4,21
2023-07,휴일,34,5,47,59,64,99,63,60,59,59,60,61,58,51,37,30,21,17,7,0,10
2023-08,평일,77,10,89,97,128,129,117,106,95,91,102,91,87,70,50,34,28,19,9,2,23
2023-08,휴일,37,6,44,59,72,98,72,59,66,57,57,60,52,48,46,35,25,17,7,0,8
2023-09,평일,76,11,98,88,126,136,134,123,113,110,115,101,92,73,54,35,30,19,10,3,21
2023-09,휴일,35,4,47,55,65,108,72,64,64,70,64,70,63,51,44,33,24,17,8,0,9
2023-10,평일,73,11,100,87,129,139,125,130,117,110,122,112,100,80,57,37,30,20,10,3,22
2023-10,휴일,33,6,46,64,73,105,75,69,64,74,72,74,75,53,49,38,22,19,8,1,9
2023-11,평일,84,12,95,87,133,143,132,136,119,122,128,115,96,75,54,36,29,20,11,4,22
2023-11,휴일,34,5,41,55,74,110,67,73,68,70,82,86,72,58,40,36,22,17,7,0,8
2023-12,평일,75,10,87,77,112,140,128,125,118,117,130,112,99,73,51,36,33,23,13,3,21
2023-12,휴일,32,5,42,52,63,97,68,73,66,74,80,81,68,50,40,31,26,20,10,2,10
