월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,76,20,123,171,176,176,157,181,159,150,138,121,137,135,82,48,34,20,5,,22
2021-07,휴일,39,12,40,35,39,52,66,59,61,70,76,69,71,65,45,34,25,13,3,,9
2021-08,평일,73,19,121,167,168,167,160,173,155,162,143,131,141,133,77,46,28,16,4,,22
2021-08,휴일,37,11,36,37,35,46,61,57,61,68,78,79,85,67,48,29,20,12,3,,9
2021-09,평일,71,18,111,167,168,169,170,182,173,172,160,136,157,129,79,48,33,20,5,,22
2021-09,휴일,37,12,39,42,45,55,78,76,83,86,99,95,91,77,52,36,27,17,4,,8
2021-10,평일,70,19,116,184,194,198,194,215,191,201,186,171,170,145,85,53,37,24,6,,21
2021-10,휴일,37,11,33,41,52,66,77,79,78,91,102,108,108,78,53,44,28,17,5,,10
2021-11,평일,75,19,124,186,204,208,190,218,200,211,192,185,178,141,81,60,43,22,8,,22
2021-11,휴일,41,10,43,46,54,61,77,91,100,100,118,122,114,76,59,46,30,18,7,,8
2021-12,평일,69,19,114,171,182,180,174,196,189,192,174,159,155,123,73,50,38,18,6,,23
2021-12,휴일,32,11,29,33,38,49,65,72,72,82,87,96,85,57,42,32,25,14,4,,8
2022-01,평일,68,19,109,163,174,182,166,189,184,189,176,154,156,131,77,54,38,16,5,0,21
2022-01,휴일,33,10,29,31,41,50,63,73,80,82,100,101,93,62,47,32,25,13,4,0,10
2022-02,평일,64,19,102,158,157,164,148,176,171,172,152,142,144,122,71,48,29,15,5,0,20
2022-02,휴일,36,12,30,35,39,57,66,73,73,85,100,95,86,66,50,35,21,15,4,0,8
2022-03,평일,71,18,116,162,167,172,153,181,184,169,157,150,147,126,75,48,34,20,8,0,23
2022-03,휴일,36,12,33,32,42,50,63,68,72,77,88,90,87,63,47,34,22,14,7,0,8
2022-04,평일,77,21,133,185,196,216,197,219,213,201,197,178,187,144,89,63,43,26,10,0,21
2022-04,휴일,39,11,35,41,55,70,93,87,96,102,109,117,109,88,64,51,32,22,8,0,9
2022-05,평일,86,20,138,193,209,223,209,220,234,219,204,191,196,153,99,72,61,34,12,0,22
2022-05,휴일,39,11,37,44,62,74,99,84,95,108,128,123,115,90,66,57,37,25,10,0,9
2022-06,평일,86,21,137,191,203,214,200,223,221,208,203,188,186,147,102,73,55,36,11,2,22
2022-06,휴일,42,14,46,41,65,75,83,88,104,109,134,120,118,94,76,61,47,28,10,0,8
2022-07,평일,85,19,142,196,208,213,189,213,208,198,199,182,186,143,99,69,56,33,11,2,21
2022-07,휴일,39,12,43,44,62,64,80,87,85,99,105,115,115,84,60,56,41,24,9,0,10
2022-08,평일,80,19,136,187,190,203,185,208,203,194,192,177,172,136,96,68,48,29,9,1,23
2022-08,휴일,40,11,44,41,60,66,91,91,95,99,107,110,102,89,70,57,37,22,9,0,8
2022-09,평일,77,19,141,182,210,208,200,224,213,215,212,188,194,148,108,73,53,34,11,2,22
2022-09,휴일,36,11,37,37,57,64,79,83,99,99,116,110,113,84,65,57,37,24,7,1,8
2022-10,평일,84,19,134,195,223,222,202,243,239,228,229,209,207,154,107,79,56,34,11,2,21
2022-10,휴일,42,11,49,51,59,81,93,101,102,118,138,146,130,97,80,67,42,24,10,0,10
2022-11,평일,86,20,138,205,226,226,205,244,244,240,234,215,211,151,105,77,59,33,9,3,22
2022-11,휴일,42,10,38,48,59,71,94,96,102,116,150,145,134,94,75,68,38,24,8,1,8
2022-12,평일,82,16,127,182,201,214,202,240,222,229,233,209,194,138,102,78,70,40,12,3,22
2022-12,휴일,40,8,40,37,50,61,93,93,93,117,140,139,120,84,68,60,43,21,8,1,9
2023-01,평일,74,14,121,175,192,199,186,219,212,212,215,190,178,132,95,66,49,31,10,2,22
2023-01,휴일,37,8,34,33,46,54,70,72,83,95,106,107,91,67,52,48,29,19,6,0,9
2023-02,평일,80,25,143,201,222,234,214,250,243,235,244,220,210,157,106,76,62,37,10,4,20
2023-02,휴일,44,14,42,44,65,68,83,100,106,121,147,136,124,97,72,62,37,25,8,0,8
2023-03,평일,89,30,149,205,231,232,219,256,251,247,245,224,213,164,115,85,61,39,13,3,23
2023-03,휴일,44,19,44,44,69,74,99,99,110,135,146,161,151,108,83,67,46,28,10,0,8
2023-04,평일,98,29,160,215,243,241,224,264,260,245,242,226,226,162,119,89,68,37,12,3,20
2023-04,휴일,46,19,52,45,75,89,96,103,110,120,146,150,134,104,86,71,48,27,11,0,10
2023-05,평일,99,15,148,204,232,237,223,260,236,232,230,221,220,161,111,87,65,41,11,3,23
2023-05,휴일,50,9,43,47,64,74,85,100,99,124,128,138,122,97,73,65,50,27,10,1,8
2023-06,평일,101,16,154,207,234,233,221,254,236,227,233,210,217,159,112,92,67,40,11,3,22
2023-06,휴일,52,10,49,47,70,83,100,105,102,119,136,153,138,102,82,71,57,32,10,0,8
2023-07,평일,99,19,156,210,229,232,211,243,230,220,219,209,215,154,109,85,60,36,10,2,21
2023-07,휴일,51,11,45,45,61,79,87,84,100,108,120,138,114,83,72,65,50,23,10,0,10
2023-08,평일,93,18,148,190,210,206,203,225,209,196,199,194,203,148,108,79,55,32,9,2,23
2023-08,휴일,44,13,43,44,59,74,89,93,94,105,117,130,115,93,84,63,40,21,7,0,8
2023-09,평일,91,19,152,188,221,227,215,244,232,221,229,212,209,159,109,79,61,32,11,2,21
2023-09,휴일,46,10,45,45,67,83,95,94,101,122,135,147,128,102,84,68,52,24,9,1,9
2023-10,평일,100,18,157,206,229,234,221,252,244,231,250,227,215,164,116,79,57,34,11,2,22
2023-10,휴일,50,13,43,46,70,78,95,99,110,118,147,152,138,107,91,73,47,27,9,0,9
2023-11,평일,104,18,151,202,248,238,231,261,261,251,255,240,231,166,107,82,61,34,10,2,22
2023-11,휴일,48,11,46,46,64,85,90,106,113,125,156,150,134,93,82,70,42,23,8,0,8
2023-12,평일,95,18,143,190,227,232,223,269,249,245,256,231,220,154,107,93,74,44,14,2,21
2023-12,휴일,46,10,41,38,56,71,89,104,110,122,152,150,133,96,73,72,49,25,9,2,10
