월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,39,16,66,92,107,124,128,109,110,129,157,165,149,119,80,54,36,18,8,,22
2021-07,휴일,27,13,36,43,54,67,86,82,76,67,71,78,84,71,51,34,27,17,6,,9
2021-08,평일,38,15,61,89,107,125,128,118,111,130,158,157,141,113,75,46,35,16,8,,22
2021-08,휴일,23,12,34,44,51,65,79,77,66,69,68,83,80,66,44,32,27,12,4,,9
2021-09,평일,43,15,58,84,103,135,127,121,125,147,171,167,141,117,74,45,37,18,9,,22
2021-09,휴일,32,12,33,46,57,83,91,103,88,89,87,97,96,75,50,38,29,18,6,,8
2021-10,평일,43,16,63,91,113,149,145,138,142,155,188,189,160,121,83,49,36,20,9,,21
2021-10,휴일,33,11,33,46,56,83,93,96,88,92,94,112,107,77,55,37,29,18,6,,10
2021-11,평일,43,18,68,95,109,139,147,138,140,152,196,189,155,121,80,48,34,17,11,,22
2021-11,휴일,32,12,37,44,58,88,98,99,86,90,102,112,104,87,59,38,30,16,10,,8
2021-12,평일,36,17,59,89,105,130,149,129,139,160,191,180,140,110,74,42,30,16,8,,23
2021-12,휴일,24,10,31,37,52,76,76,89,76,80,88,88,82,71,44,26,21,12,6,,8
2022-01,평일,34,13,48,77,90,133,145,125,127,153,186,174,137,104,72,46,31,14,4,0,21
2022-01,휴일,24,10,26,37,47,86,83,89,83,81,83,90,89,72,46,29,24,11,4,0,10
2022-02,평일,37,12,45,85,97,129,130,115,124,135,174,170,124,102,67,40,28,16,4,0,20
2022-02,휴일,26,10,28,42,56,80,84,93,79,77,80,94,90,69,46,31,25,15,4,0,8
2022-03,평일,43,15,52,87,105,139,127,115,126,137,166,174,131,108,67,41,28,17,7,0,23
2022-03,휴일,24,10,31,43,56,76,83,81,74,78,74,86,86,64,48,28,23,15,6,0,8
2022-04,평일,40,17,62,90,112,140,137,123,133,152,197,183,155,121,78,53,36,21,11,0,21
2022-04,휴일,27,12,33,46,67,84,97,103,88,90,93,105,101,94,63,44,30,21,10,0,9
2022-05,평일,47,18,73,94,114,148,159,140,141,163,202,205,167,127,87,61,43,25,12,0,22
2022-05,휴일,32,13,38,53,67,91,97,105,86,95,107,117,109,93,72,52,36,18,12,0,9
2022-06,평일,45,17,70,89,115,148,157,149,141,160,197,191,162,122,85,64,40,24,12,3,22
2022-06,휴일,38,12,40,50,71,95,105,116,93,93,112,119,118,100,72,48,37,24,11,0,8
2022-07,평일,47,16,75,94,143,167,173,168,157,159,206,199,165,133,88,66,40,25,14,2,21
2022-07,휴일,40,12,40,48,77,96,108,107,88,91,99,117,108,96,66,45,41,23,10,0,10
2022-08,평일,42,16,69,92,134,150,151,158,149,152,189,187,148,121,87,54,37,24,12,3,23
2022-08,휴일,38,12,44,50,73,99,108,109,86,90,92,102,103,104,66,44,35,18,10,1,8
2022-09,평일,47,18,68,95,137,156,167,164,153,166,205,198,159,134,92,56,41,24,12,3,22
2022-09,휴일,35,12,37,46,61,91,101,104,92,88,90,106,111,92,70,42,32,21,9,0,8
2022-10,평일,49,19,70,106,141,157,167,166,166,173,215,208,176,140,87,63,37,26,12,2,21
2022-10,휴일,37,14,46,52,70,102,121,118,103,104,115,119,123,113,78,45,36,19,10,1,10
2022-11,평일,50,20,73,103,141,164,171,172,172,172,222,217,175,134,86,61,39,26,12,3,22
2022-11,휴일,40,14,42,54,78,98,113,119,112,106,110,133,117,100,67,44,34,19,8,0,8
2022-12,평일,44,19,67,88,135,161,178,172,169,184,228,208,156,120,83,56,44,27,13,3,22
2022-12,휴일,36,12,36,42,63,92,124,126,97,103,111,125,104,97,63,44,35,19,11,1,9
2023-01,평일,40,17,62,82,128,146,160,161,155,164,212,184,137,114,80,49,36,22,10,2,22
2023-01,휴일,29,12,35,38,57,91,93,98,77,86,88,94,90,72,50,28,26,13,7,0,9
2023-02,평일,50,29,66,102,142,165,184,190,162,189,237,217,170,134,95,60,42,25,12,2,20
