월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,136,37,211,346,572,858,837,691,622,666,646,503,337,187,95,49,31,18,9,,22
2021-07,휴일,99,25,148,246,460,638,636,558,509,513,467,359,244,139,78,40,30,17,7,,9
2021-08,평일,128,36,192,325,542,863,915,758,694,718,687,514,317,171,85,45,31,16,6,,22
2021-08,휴일,95,23,129,222,420,625,634,608,577,633,569,426,269,133,64,36,25,14,4,,9
2021-09,평일,129,34,191,317,558,972,1057,884,844,896,809,559,328,169,84,45,29,17,7,,22
2021-09,휴일,127,29,179,313,608,964,984,854,847,895,747,541,307,161,74,40,25,15,6,,8
2021-10,평일,123,34,187,285,507,947,1116,986,989,1025,846,581,320,158,82,48,31,19,8,,21
2021-10,휴일,96,21,116,183,408,702,904,844,815,842,721,471,258,122,64,39,22,18,8,,10
2021-11,평일,110,32,177,275,466,833,1046,1024,1075,1040,830,570,318,150,77,47,31,18,8,,22
2021-11,휴일,91,21,107,182,353,666,858,963,1008,1011,778,501,284,124,62,41,24,17,6,,8
2021-12,평일,96,26,146,242,391,732,951,992,997,1029,801,531,286,133,71,43,28,19,7,,23
2021-12,휴일,55,16,75,111,237,433,600,731,799,786,588,362,193,96,50,31,21,13,6,,8
2022-01,평일,99,27,166,275,443,873,1145,1175,1225,1189,902,587,306,136,77,40,31,14,6,0,21
2022-01,휴일,72,18,87,152,330,694,914,1055,1135,1096,793,476,245,108,56,29,23,15,4,0,10
2022-02,평일,86,22,137,229,353,585,756,848,864,845,704,461,258,133,72,40,28,13,6,0,20
2022-02,휴일,65,16,81,144,276,521,681,868,933,870,638,416,249,111,58,35,24,15,4,0,8
2022-03,평일,93,25,159,275,432,743,948,972,993,980,799,531,297,148,82,44,27,16,9,0,23
2022-03,휴일,61,16,80,143,275,459,647,814,923,832,640,430,264,127,60,35,20,17,8,0,8
2022-04,평일,118,32,194,329,530,902,1124,1083,1127,1065,855,631,379,181,96,55,33,24,9,0,21
