월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,121,67,144,227,359,369,335,273,272,236,176,137,104,60,36,19,13,6,3,,22
2021-07,휴일,77,31,69,97,151,158,176,161,138,152,106,80,60,33,23,11,8,7,3,,9
2021-08,평일,113,65,136,214,331,362,333,286,263,235,176,132,91,52,32,17,11,4,3,,22
2021-08,휴일,80,31,76,110,165,182,214,179,143,145,111,83,64,33,20,14,8,4,4,,9
2021-09,평일,105,60,129,209,324,353,345,295,287,239,193,140,100,57,33,16,11,5,3,,22
2021-09,휴일,69,29,62,78,150,174,208,201,162,142,117,98,63,40,21,11,9,5,3,,8
2021-10,평일,113,62,135,219,368,389,406,349,306,274,207,157,122,65,35,19,13,6,3,,21
2021-10,휴일,64,30,55,88,151,190,257,229,191,173,142,104,74,40,21,11,9,5,3,,10
2021-11,평일,112,64,135,228,393,401,421,368,320,284,220,169,150,79,38,22,14,6,3,,22
2021-11,휴일,72,28,58,97,159,197,249,231,177,169,142,121,93,42,22,17,11,7,3,,8
2021-12,평일,111,61,130,212,381,394,392,335,328,292,221,170,130,71,37,20,13,5,2,,23
2021-12,휴일,60,24,55,77,142,173,192,200,167,156,125,103,72,36,19,12,9,5,2,,8
2022-01,평일,108,63,130,211,370,370,371,327,301,276,208,152,117,62,36,19,13,3,2,0,21
2022-01,휴일,52,22,54,69,114,155,182,205,185,158,128,100,66,34,17,14,8,5,2,0,10
2022-02,평일,106,62,130,212,335,367,347,305,272,249,193,140,102,58,37,19,14,4,2,0,20
2022-02,휴일,57,28,59,82,137,173,209,237,176,154,116,93,62,41,21,15,8,7,2,0,8
2022-03,평일,115,60,126,222,344,357,365,327,303,246,184,141,115,72,41,21,11,5,3,0,23
2022-03,휴일,57,27,56,82,148,169,224,224,188,163,122,96,73,40,20,12,8,4,1,0,8
2022-04,평일,136,65,155,262,412,401,399,340,316,272,208,161,136,75,46,24,15,8,5,0,21
2022-04,휴일,85,24,76,104,177,204,256,258,220,196,160,131,100,65,40,25,12,6,5,0,9
2022-05,평일,152,65,166,295,448,459,464,387,331,291,226,204,174,103,49,32,20,10,5,0,22
2022-05,휴일,98,31,97,149,260,298,409,353,261,225,174,166,108,64,40,27,14,7,5,0,9
2022-06,평일,137,64,165,292,442,438,452,383,323,270,204,189,181,102,45,28,20,8,4,0,22
2022-06,휴일,94,26,90,124,219,231,321,284,207,179,156,168,116,64,43,24,16,9,4,1,8
2022-07,평일,146,77,187,320,468,462,447,367,323,272,214,195,174,94,50,29,18,10,4,1,21
2022-07,휴일,95,26,85,114,188,214,280,244,182,152,137,140,91,53,32,21,15,7,4,0,10
2022-08,평일,137,67,155,277,414,421,420,377,351,293,214,182,157,81,49,26,18,9,3,1,23
2022-08,휴일,98,25,90,106,191,230,324,269,220,183,163,163,117,73,41,26,14,7,3,0,8
2022-09,평일,138,64,157,278,437,442,467,382,339,292,222,201,188,94,51,27,18,9,3,1,22
2022-09,휴일,79,20,84,98,183,235,314,278,221,193,182,166,104,56,29,20,13,8,2,0,8
2022-10,평일,148,68,163,285,473,503,567,517,460,367,259,208,189,103,49,27,17,9,4,1,21
2022-10,휴일,90,24,85,122,216,266,376,340,298,284,244,222,133,66,33,23,16,8,2,0,10
2022-11,평일,149,70,168,293,471,484,495,410,358,315,246,197,194,100,47,28,20,10,3,1,22
2022-11,휴일,88,26,93,105,192,251,358,321,286,255,203,164,106,58,36,19,16,6,4,0,8
2022-12,평일,136,69,147,278,438,466,537,454,371,334,265,251,256,125,53,31,20,13,3,1,22
2022-12,휴일,81,26,76,92,171,228,380,346,260,248,214,240,170,78,40,25,19,12,2,0,9
2023-01,평일,125,68,135,259,400,418,437,371,335,290,225,184,168,86,46,30,18,9,3,0,22
2023-01,휴일,67,21,64,83,152,213,284,248,191,167,152,115,85,44,26,17,15,6,2,0,9
2023-02,평일,154,83,156,301,455,515,533,464,387,331,256,206,204,105,52,37,22,11,5,1,20
2023-02,휴일,97,31,85,102,191,251,399,338,251,222,200,180,124,53,34,21,16,8,4,0,8
2023-03,평일,161,91,168,304,480,529,558,485,400,348,258,217,199,112,53,36,19,9,5,2,23
2023-03,휴일,104,30,97,107,197,255,394,344,252,222,201,172,122,67,36,22,16,10,5,1,8
2023-04,평일,166,87,173,319,495,514,505,424,356,309,249,217,197,108,53,38,20,11,3,2,20
2023-04,휴일,103,35,88,113,226,270,353,326,281,255,187,174,120,61,42,23,16,12,5,0,10
2023-05,평일,158,71,165,315,457,487,511,433,367,317,246,207,185,98,57,37,21,11,4,1,23
2023-05,휴일,128,29,122,161,291,358,428,337,280,234,199,178,135,82,61,36,18,10,3,0,8
2023-06,평일,169,79,181,332,473,490,507,433,348,299,231,217,199,113,58,37,21,11,5,1,22
2023-06,휴일,110,32,103,152,239,289,398,318,223,207,161,182,124,70,49,27,17,9,4,0,8
2023-07,평일,174,79,188,347,479,485,468,405,333,290,235,203,187,108,57,40,19,11,4,1,21
2023-07,휴일,101,27,91,119,196,234,305,259,195,188,156,135,104,55,38,26,15,8,3,0,10
2023-08,평일,162,81,191,314,476,452,460,373,326,266,217,183,167,97,57,36,18,9,4,1,23
2023-08,휴일,113,26,87,122,191,231,310,260,210,195,169,152,105,56,42,31,17,6,2,0,8
2023-09,평일,154,74,179,301,452,436,459,395,333,288,240,205,193,104,60,35,18,9,4,1,21
2023-09,휴일,99,24,90,119,212,259,342,295,225,214,176,161,117,59,35,30,15,7,3,0,9
2023-10,평일,167,75,170,299,469,481,540,445,390,312,257,210,185,104,55,36,18,10,4,1,22
2023-10,휴일,118,28,99,133,238,330,404,341,277,247,196,185,136,64,36,23,18,9,5,1,9
2023-11,평일,169,83,184,321,485,486,518,428,361,306,249,213,212,113,57,32,21,11,4,1,22
2023-11,휴일,96,29,77,104,194,257,369,338,254,232,179,182,143,59,36,26,15,7,4,0,8
2023-12,평일,153,80,179,311,474,515,585,499,378,329,271,270,302,139,58,37,22,13,5,2,21
2023-12,휴일,79,25,74,111,201,266,425,397,260,250,227,273,204,88,51,31,24,15,4,1,10
