월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,56,13,59,61,65,87,113,109,103,114,158,181,186,168,112,70,50,31,12,,22
2021-07,휴일,46,10,39,34,50,73,81,84,79,86,97,102,105,94,71,50,32,24,10,,9
2021-08,평일,59,12,57,56,71,87,119,110,107,115,153,185,172,171,106,64,45,25,9,,22
2021-08,휴일,44,7,40,36,50,74,76,81,81,91,95,108,113,98,70,46,34,23,10,,9
2021-09,평일,54,10,54,55,68,89,114,121,121,129,165,187,186,165,108,63,50,26,12,,22
2021-09,휴일,43,8,43,40,58,86,88,101,106,109,119,140,136,114,74,46,40,28,10,,8
2021-10,평일,59,11,53,59,76,94,128,121,132,144,188,227,217,187,109,68,55,34,13,,21
2021-10,휴일,44,8,35,39,52,82,84,99,103,128,130,164,151,116,78,49,38,30,13,,10
2021-11,평일,59,10,52,56,71,93,119,118,125,143,192,231,221,175,103,64,53,29,17,,22
2021-11,휴일,41,9,36,36,54,88,92,105,101,122,138,173,156,119,76,49,38,24,19,,8
2021-12,평일,61,11,45,48,58,86,115,117,122,141,189,220,206,157,95,59,49,28,14,,23
2021-12,휴일,41,8,27,27,35,76,72,91,95,101,114,136,116,88,59,37,32,20,12,,8
2022-01,평일,58,11,43,43,56,82,107,112,117,146,190,216,193,158,94,60,55,25,11,0,21
2022-01,휴일,37,8,28,29,44,80,72,97,101,110,123,141,123,94,61,41,33,19,11,0,10
2022-02,평일,54,10,44,44,57,82,105,104,115,137,178,206,176,148,96,58,50,23,11,0,20
2022-02,휴일,41,10,32,25,50,78,82,94,103,100,123,141,122,90,68,44,29,22,11,0,8
2022-03,평일,59,8,49,48,68,90,110,117,120,147,175,210,194,150,104,64,47,29,15,0,23
2022-03,휴일,40,9,35,27,44,72,81,92,90,107,114,142,126,97,66,48,28,26,11,0,8
2022-04,평일,62,9,60,54,75,99,134,128,129,160,203,241,227,181,117,72,57,38,17,0,21
2022-04,휴일,44,8,41,37,55,94,103,121,123,129,159,169,161,129,93,67,49,29,15,0,9
2022-05,평일,60,10,60,63,78,99,133,133,132,156,203,240,226,193,131,83,66,46,21,0,22
2022-05,휴일,47,8,46,36,65,97,106,106,120,125,151,161,167,118,97,80,50,32,20,0,9
2022-06,평일,59,11,57,66,73,92,122,131,130,143,198,214,212,176,131,82,65,49,17,5,22
2022-06,휴일,45,9,48,47,60,87,104,111,117,119,152,158,166,129,102,77,51,39,21,2,8
