월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,70,42,83,108,144,176,172,151,157,154,198,204,191,167,111,68,45,25,10,,22
2021-07,휴일,48,38,47,60,74,111,120,115,101,96,110,108,112,97,69,50,39,20,12,,9
2021-08,평일,69,35,86,99,146,174,172,158,161,162,191,198,199,173,107,58,43,24,11,,22
2021-08,휴일,43,36,50,55,74,110,114,119,104,106,106,113,117,98,73,49,37,21,9,,9
2021-09,평일,70,33,82,101,131,178,182,172,186,180,219,210,208,169,109,69,47,26,13,,22
2021-09,휴일,48,34,54,71,88,135,138,144,137,135,150,145,143,110,87,60,44,23,11,,8
2021-10,평일,65,35,84,108,142,172,193,175,188,198,238,250,231,191,125,74,53,28,15,,21
2021-10,휴일,46,33,44,70,81,129,154,146,130,138,149,165,165,117,87,71,45,28,11,,10
2021-11,평일,67,40,91,110,148,176,192,182,190,200,253,256,240,187,123,73,53,28,18,,22
2021-11,휴일,50,36,51,76,105,156,156,154,141,149,163,177,171,121,85,69,52,29,13,,8
2021-12,평일,67,42,83,95,141,182,189,176,191,201,239,247,222,170,110,63,51,24,14,,23
2021-12,휴일,44,33,40,58,102,136,117,135,124,130,136,129,127,90,62,50,37,21,9,,8
2022-01,평일,67,36,77,96,139,176,182,171,172,197,242,240,211,161,108,64,51,24,14,0,21
2022-01,휴일,48,29,37,52,103,134,127,143,131,131,147,144,128,88,65,46,41,20,9,0,10
2022-02,평일,65,34,77,93,126,167,155,147,153,168,215,214,197,151,101,59,44,25,16,0,20
2022-02,휴일,45,31,41,60,98,140,126,135,114,117,126,134,139,93,66,42,40,21,11,0,8
2022-03,평일,68,31,80,100,132,172,160,156,155,174,221,217,199,160,100,60,44,26,19,0,23
2022-03,휴일,49,26,41,60,95,138,123,122,109,115,123,132,127,98,69,50,32,22,15,0,8
2022-04,평일,77,33,86,106,156,205,207,178,181,206,254,263,239,185,124,79,57,37,18,0,21
2022-04,휴일,53,33,54,72,120,169,165,163,137,154,157,186,171,126,94,74,51,32,15,0,9
2022-05,평일,82,38,84,114,165,210,222,196,196,214,266,273,258,204,139,98,69,44,21,0,22
2022-05,휴일,55,32,56,88,135,177,176,175,148,151,177,201,178,140,104,93,68,38,16,0,9
2022-06,평일,79,38,84,115,166,197,207,186,192,206,256,270,255,208,135,92,72,44,18,4,22
2022-06,휴일,61,33,57,88,140,176,184,182,153,158,175,193,194,144,107,92,74,41,22,2,8
2022-07,평일,80,38,91,124,168,206,212,193,203,192,241,263,254,223,140,92,69,42,21,5,21
2022-07,휴일,59,32,60,86,124,161,178,168,146,145,152,184,176,142,96,83,68,37,16,1,10
2022-08,평일,78,35,86,118,158,180,196,175,184,185,240,243,233,200,125,86,60,37,16,5,23
2022-08,휴일,56,35,55,85,121,164,171,165,149,138,156,168,165,134,103,76,62,37,16,1,8
2022-09,평일,84,39,94,115,173,200,211,195,200,202,255,267,260,219,131,92,67,41,19,5,22
2022-09,휴일,54,33,57,83,126,177,159,151,138,136,152,175,179,132,108,81,56,37,15,1,8
2022-10,평일,80,38,89,115,174,201,213,202,212,215,276,287,271,230,137,94,72,42,21,4,21
2022-10,휴일,54,35,59,88,149,206,186,176,154,162,188,230,206,165,113,85,76,45,19,1,10
