월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,130,50,148,267,438,654,677,615,601,636,640,558,431,284,147,76,48,37,18,,22
2021-07,휴일,106,32,125,221,329,532,568,581,543,539,508,428,331,221,121,68,41,26,14,,9
2021-08,평일,122,47,143,258,406,685,718,676,657,706,689,555,399,266,131,68,46,29,16,,22
2021-08,휴일,93,28,119,193,309,520,580,654,570,608,600,502,359,209,107,61,39,23,10,,9
2021-09,평일,120,46,144,248,423,708,771,714,734,782,720,574,406,240,124,67,52,35,16,,22
2021-09,휴일,121,40,155,260,399,721,764,785,760,774,714,572,391,222,119,65,45,27,14,,8
2021-10,평일,128,52,134,255,408,687,783,759,759,857,756,592,414,238,129,70,55,36,20,,21
2021-10,휴일,100,33,115,189,314,534,682,736,698,758,691,520,367,205,102,68,41,31,18,,10
2021-11,평일,121,50,147,264,420,634,770,738,808,871,770,570,388,212,113,64,49,37,24,,22
2021-11,휴일,96,32,129,200,302,527,675,710,738,815,700,545,358,196,105,67,50,32,22,,8
2021-12,평일,118,41,150,235,356,571,719,703,788,863,751,539,346,199,102,63,50,31,18,,23
2021-12,휴일,68,24,95,137,230,359,462,577,608,649,551,406,265,147,85,48,36,23,10,,8
2022-01,평일,108,40,115,204,336,675,871,780,898,961,799,568,355,208,103,55,53,26,16,0,21
2022-01,휴일,72,23,86,145,263,532,691,770,817,846,703,488,315,150,89,52,40,21,12,0,10
2022-02,평일,92,37,104,173,286,508,694,617,715,758,666,481,329,206,98,55,49,26,15,0,20
2022-02,휴일,71,23,74,135,220,444,604,680,741,757,580,461,283,168,98,57,41,25,11,0,8
2022-03,평일,114,41,119,204,344,606,786,720,808,810,719,533,379,232,109,61,51,30,22,0,23
2022-03,휴일,79,23,81,137,238,427,556,621,707,716,585,459,332,189,102,54,39,24,16,0,8
2022-04,평일,141,51,144,265,438,698,860,743,844,846,756,608,429,267,141,75,62,42,26,0,21
2022-04,휴일,120,34,119,207,341,587,707,706,776,760,691,555,412,265,137,91,59,36,23,0,9
2022-05,평일,148,51,164,285,480,749,854,776,830,855,774,620,473,287,159,90,68,43,26,0,22
2022-05,휴일,130,31,126,214,370,575,707,742,730,760,658,563,416,271,169,94,63,41,23,0,9
2022-06,평일,140,49,151,271,469,706,815,759,780,797,726,582,437,268,152,86,69,48,24,3,22
2022-06,휴일,139,38,139,247,385,661,794,775,770,793,677,548,423,277,168,103,62,46,24,2,8
2022-07,평일,134,55,167,293,498,718,790,739,738,757,724,622,465,294,149,82,69,45,23,6,21
2022-07,휴일,116,38,132,234,393,616,691,695,694,678,598,503,415,258,147,90,69,43,22,3,10
2022-08,평일,136,52,152,272,449,709,787,736,741,780,738,589,422,264,144,75,64,41,22,4,23
2022-08,휴일,122,32,149,237,391,628,748,723,703,734,656,552,408,259,148,78,62,48,18,3,8
