월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,40,11,37,58,57,56,54,48,46,50,59,54,55,40,33,22,18,12,4,,44
2021-07,휴일,25,6,17,19,25,38,32,33,31,33,33,34,31,26,23,17,13,7,3,,18
2021-08,평일,39,11,35,55,54,56,51,53,47,49,59,56,54,41,31,21,17,9,3,,44
2021-08,휴일,24,6,14,18,27,36,34,36,31,30,29,34,35,28,24,16,13,7,3,,18
2021-09,평일,37,12,33,51,51,54,52,55,49,56,64,62,57,40,31,23,16,11,4,,44
2021-09,휴일,25,7,17,20,31,48,42,43,44,41,45,43,36,33,26,17,14,9,3,,16
2021-10,평일,38,12,36,53,58,55,54,59,53,61,69,69,60,43,34,22,18,12,4,,42
2021-10,휴일,27,7,17,19,34,51,47,47,43,44,44,46,42,31,29,16,13,10,3,,20
2021-11,평일,41,11,38,56,60,57,54,57,53,62,74,69,62,42,30,24,18,12,6,,44
2021-11,휴일,27,7,15,22,34,58,44,46,51,47,52,53,50,30,25,18,14,10,5,,16
2021-12,평일,40,12,34,52,58,57,50,55,55,61,71,66,57,38,30,20,20,11,4,,46
2021-12,휴일,25,6,13,14,28,45,34,37,40,40,44,40,35,29,21,13,13,7,3,,16
2022-01,평일,38,12,34,51,56,51,47,47,48,58,66,65,52,39,29,20,20,10,2,0,42
2022-01,휴일,24,6,14,15,30,46,35,38,41,40,43,41,38,30,22,12,13,7,2,0,20
2022-02,평일,37,11,33,49,58,52,43,53,47,56,63,59,49,35,28,18,18,11,3,0,40
2022-02,휴일,26,6,14,14,34,45,36,35,45,40,43,41,37,25,25,16,12,7,2,0,16
2022-03,평일,39,11,33,52,58,49,46,51,49,59,61,61,56,39,28,19,16,12,4,0,46
2022-03,휴일,25,6,14,17,29,46,32,37,43,39,40,38,38,32,25,16,11,8,2,0,16
2022-04,평일,42,11,37,58,67,57,54,58,54,66,67,69,62,44,35,24,20,15,5,0,42
2022-04,휴일,27,6,16,21,36,54,44,45,50,44,49,52,49,35,32,22,16,10,4,0,18
2022-05,평일,46,11,39,60,70,60,56,61,56,69,71,69,65,48,38,28,23,16,6,0,44
