월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,67,16,86,87,112,140,130,120,118,124,149,155,144,121,81,47,32,26,13,,22
2021-07,휴일,43,9,47,62,84,87,78,84,78,72,81,90,85,76,56,38,28,23,10,,9
2021-08,평일,62,16,78,85,108,128,130,118,120,130,155,150,142,120,78,46,32,21,9,,22
2021-08,휴일,40,10,44,64,98,94,84,80,77,75,83,87,83,81,56,40,25,20,9,,9
2021-09,평일,58,14,79,87,118,149,134,132,137,141,170,163,151,120,82,55,34,25,10,,22
2021-09,휴일,41,8,49,62,101,108,113,109,105,94,124,107,105,84,61,44,31,25,8,,8
2021-10,평일,63,16,88,99,128,152,155,146,148,153,191,178,167,131,85,51,41,30,14,,21
2021-10,휴일,40,7,46,58,88,118,126,120,117,111,123,126,115,96,62,43,36,28,10,,10
2021-11,평일,59,18,90,107,132,148,155,140,143,161,191,207,175,124,82,52,39,26,20,,22
2021-11,휴일,38,8,46,61,101,122,128,113,115,125,126,125,126,86,68,46,34,29,14,,8
2021-12,평일,54,15,81,94,117,137,133,126,141,157,181,171,158,117,75,50,41,24,14,,23
2021-12,휴일,34,7,38,55,80,109,90,88,90,96,100,108,93,76,50,42,32,17,8,,8
2022-01,평일,50,17,76,85,110,130,128,124,137,152,173,163,145,113,78,49,42,23,9,0,21
2022-01,휴일,31,8,34,51,70,104,90,93,101,99,100,96,88,77,54,39,29,19,6,0,10
2022-02,평일,53,17,69,86,120,127,118,118,127,135,160,155,139,105,73,50,40,22,12,0,20
2022-02,휴일,34,8,35,56,88,106,95,107,101,99,104,100,95,77,58,37,30,20,9,0,8
2022-03,평일,59,14,77,87,107,122,132,124,122,137,160,161,144,115,71,48,35,25,17,0,23
2022-03,휴일,34,7,34,52,71,100,79,88,105,100,102,100,89,78,54,37,26,20,15,0,8
2022-04,평일,61,17,88,102,126,149,155,137,139,156,190,178,174,129,91,60,43,29,22,0,21
2022-04,휴일,39,7,42,69,99,121,124,118,116,116,124,140,131,99,80,55,39,25,19,0,9
2022-05,평일,70,16,91,110,141,174,176,148,150,167,203,197,181,137,92,74,47,32,26,0,22
