월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,136,39,97,129,178,161,149,146,133,142,163,158,138,120,88,53,38,20,9,,22
2021-07,휴일,83,27,48,53,66,80,91,92,80,77,84,87,84,71,52,38,30,15,7,,9
2021-08,평일,126,36,100,122,173,154,151,156,136,152,158,162,136,119,85,57,35,18,8,,22
2021-08,휴일,75,23,48,47,70,75,81,91,78,81,94,89,91,71,50,39,26,14,8,,9
2021-09,평일,123,33,88,119,168,156,163,170,148,167,180,173,152,121,84,54,39,23,11,,22
2021-09,휴일,78,26,49,58,84,91,100,111,104,98,108,113,112,87,59,43,28,20,10,,8
2021-10,평일,130,39,95,127,190,170,187,183,166,179,200,206,179,140,86,63,41,27,12,,21
2021-10,휴일,81,27,53,53,82,103,116,128,110,138,123,139,127,89,62,46,35,18,11,,10
2021-11,평일,129,45,96,125,193,169,180,180,164,182,205,205,190,135,83,60,46,25,16,,22
2021-11,휴일,81,30,53,59,79,102,122,116,114,127,133,151,130,92,65,50,35,22,16,,8
2021-12,평일,128,39,90,114,175,154,164,157,159,173,193,192,166,119,77,56,44,20,14,,23
2021-12,휴일,70,25,44,47,64,82,90,104,92,110,111,111,101,78,52,33,32,13,10,,8
2022-01,평일,125,36,85,111,167,154,162,158,158,168,190,189,156,118,78,51,45,17,7,0,21
2022-01,휴일,67,26,41,43,70,88,88,110,93,105,118,121,99,70,47,35,34,13,7,0,10
2022-02,평일,116,32,82,101,155,147,151,144,135,160,173,175,147,105,77,49,38,17,9,0,20
2022-02,휴일,68,25,45,46,73,92,92,104,106,100,111,133,103,74,57,38,30,14,7,0,8
2022-03,평일,120,36,87,108,164,142,156,159,153,159,168,178,156,116,80,54,37,25,12,0,23
2022-03,휴일,67,26,41,46,69,80,92,97,91,95,110,119,104,81,52,37,27,16,11,0,8
2022-04,평일,128,42,95,124,189,167,178,174,158,176,190,200,179,133,91,62,45,27,17,0,21
2022-04,휴일,77,30,47,55,80,111,112,127,114,126,136,146,133,103,73,53,41,26,14,0,9
2022-05,평일,140,46,97,133,202,177,196,189,172,184,212,216,198,144,107,71,53,32,22,0,22
2022-05,휴일,79,28,58,68,85,114,133,135,124,136,149,146,144,110,91,61,49,26,16,0,9
2022-06,평일,140,47,97,133,191,178,182,182,177,183,205,200,187,137,102,69,55,33,15,3,22
2022-06,휴일,88,35,60,74,98,123,142,149,127,134,150,159,144,101,90,66,53,27,15,3,8
2022-07,평일,145,50,97,134,189,185,185,180,167,179,201,195,188,143,101,71,56,31,16,3,21
2022-07,휴일,86,36,53,61,87,115,125,122,115,123,127,139,138,96,83,59,46,27,13,2,10
2022-08,평일,140,45,101,121,180,171,179,174,154,174,188,192,176,132,100,63,47,30,13,4,23
2022-08,휴일,88,28,51,56,95,109,114,129,113,118,125,138,114,98,83,60,45,23,12,4,8
2022-09,평일,135,46,102,128,191,176,189,185,179,184,203,208,185,144,107,71,51,33,14,5,22
2022-09,휴일,75,25,47,58,85,113,132,133,120,127,134,146,134,101,88,56,37,25,14,4,8
2022-10,평일,137,45,96,141,205,189,202,194,187,202,221,228,206,148,107,69,55,32,15,4,21
2022-10,휴일,85,32,55,70,101,129,147,141,134,141,156,167,160,123,97,72,52,30,16,3,10
2022-11,평일,139,48,106,130,199,189,192,190,182,202,211,228,202,148,100,68,50,31,15,3,22
2022-11,휴일,86,32,49,72,97,114,141,134,134,142,152,183,146,104,89,62,45,27,16,3,8
2022-12,평일,136,44,102,110,178,178,205,190,183,207,221,239,198,138,100,70,56,38,18,4,22
2022-12,휴일,85,25,46,53,87,117,132,138,124,146,156,171,146,101,83,63,45,32,16,3,9
2023-01,평일,124,39,92,104,153,162,175,166,160,177,196,204,180,126,92,62,48,29,16,4,22
2023-01,휴일,74,24,40,48,74,97,117,107,106,113,118,137,114,77,68,49,36,21,12,3,9
2023-02,평일,141,58,101,132,184,199,210,194,177,211,236,233,213,145,111,70,56,36,19,4,20
2023-02,휴일,88,42,46,56,98,131,144,151,132,143,158,169,152,117,98,63,44,29,18,4,8
2023-03,평일,144,93,108,135,203,200,208,203,201,205,229,248,212,149,115,73,58,36,20,5,23
2023-03,휴일,93,69,50,60,107,138,148,143,130,158,166,178,156,120,100,70,46,30,16,4,8
2023-04,평일,148,93,109,145,195,194,198,196,205,202,226,238,209,151,112,75,64,39,21,5,20
2023-04,휴일,99,68,54,72,108,125,141,141,127,143,166,178,149,118,101,78,48,36,15,5,10
2023-05,평일,140,41,102,149,201,186,199,193,192,199,220,230,206,150,106,76,60,37,20,6,23
2023-05,휴일,88,25,58,72,105,134,147,139,125,139,156,171,149,112,93,68,50,32,17,3,8
2023-06,평일,148,47,110,153,208,188,203,194,193,203,219,218,209,155,109,76,62,38,20,5,22
2023-06,휴일,96,32,60,80,102,154,153,136,135,148,155,163,152,112,104,78,57,32,17,3,8
2023-07,평일,150,49,109,145,207,182,190,185,182,180,204,207,193,139,108,73,59,36,19,5,21
2023-07,휴일,94,27,60,68,100,127,142,119,110,128,124,143,128,93,87,63,41,28,13,4,10
2023-08,평일,130,48,114,142,203,172,196,180,167,173,197,196,182,136,107,68,52,33,14,4,23
2023-08,휴일,85,27,58,74,101,131,144,117,113,120,137,128,140,104,82,66,43,27,13,4,8
2023-09,평일,130,49,113,145,210,179,190,182,181,182,207,208,193,146,107,68,53,36,15,5,21
2023-09,휴일,92,26,58,71,114,126,152,140,120,130,144,158,143,104,94,69,45,33,14,3,9
2023-10,평일,138,42,110,147,213,190,199,186,189,198,230,230,206,158,114,76,59,36,17,4,22
2023-10,휴일,96,24,59,79,110,152,160,148,140,155,172,179,157,123,102,77,52,32,16,4,9
2023-11,평일,145,46,113,147,228,179,209,196,205,205,241,218,209,146,114,75,52,37,17,4,22
2023-11,휴일,91,26,51,76,107,145,157,150,133,144,170,177,155,115,91,74,46,32,16,4,8
2023-12,평일,141,38,107,135,205,188,223,212,203,211,236,238,214,149,114,76,62,43,17,6,21
2023-12,휴일,82,23,48,64,107,134,166,155,136,139,159,176,154,110,88,72,52,30,17,5,10
