월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,108,23,101,130,177,217,219,221,215,247,317,332,309,276,183,110,81,49,16,,22
2021-07,휴일,74,14,71,77,133,153,154,165,142,161,180,185,177,155,120,84,64,37,12,,9
2021-08,평일,100,21,98,116,171,219,235,231,229,261,329,330,299,262,170,107,76,40,13,,22
2021-08,휴일,71,12,67,70,122,146,146,161,166,165,174,182,182,159,123,73,57,27,11,,9
2021-09,평일,97,22,95,126,170,233,240,244,251,283,340,352,315,261,167,112,81,50,19,,22
2021-09,휴일,75,13,72,87,142,198,192,198,186,202,229,237,213,172,132,88,63,39,14,,8
2021-10,평일,104,21,103,137,189,238,253,267,277,329,389,391,352,297,185,121,88,55,24,,21
2021-10,휴일,76,13,71,84,138,196,194,198,195,218,242,254,236,192,138,88,70,48,19,,10
2021-11,평일,109,24,101,142,189,229,248,263,281,321,393,409,369,288,178,122,90,52,30,,22
2021-11,휴일,72,15,72,90,159,214,190,196,200,217,276,272,258,193,142,95,73,45,24,,8
2021-12,평일,90,20,93,135,169,220,243,252,267,316,383,375,337,265,160,110,88,52,23,,23
2021-12,휴일,60,13,62,70,115,173,142,156,172,185,205,214,188,138,104,77,65,33,15,,8
2022-01,평일,86,20,90,132,167,208,245,250,261,327,371,372,321,272,163,110,100,47,13,0,21
2022-01,휴일,60,12,59,71,118,185,164,182,190,205,242,232,202,152,111,75,67,33,10,0,10
2022-02,평일,92,21,86,129,156,197,226,230,251,284,353,341,302,257,156,107,90,43,15,0,20
2022-02,휴일,68,14,65,75,123,175,164,184,186,200,224,224,209,170,115,84,67,36,11,0,8
2022-03,평일,97,20,90,130,173,208,238,234,255,278,359,369,315,265,172,107,79,48,25,0,23
2022-03,휴일,62,13,65,72,126,159,168,159,183,187,210,220,200,160,126,74,60,36,19,0,8
2022-04,평일,110,24,106,154,218,249,254,270,296,306,395,408,380,301,199,134,94,61,31,0,21
2022-04,휴일,75,16,70,94,178,219,201,208,229,230,273,287,265,207,158,110,84,48,25,0,9
2022-05,평일,117,28,113,169,235,262,271,295,323,331,410,434,396,321,216,157,113,75,36,0,22
2022-05,휴일,80,17,80,115,194,242,211,212,213,237,283,290,274,224,172,130,101,53,28,0,9
