월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,204,14,209,275,444,570,614,516,439,411,334,227,111,58,28,20,15,11,9,,22
2021-07,휴일,93,6,106,134,234,344,370,320,268,236,175,107,60,36,20,12,7,5,3,,9
2021-08,평일,180,12,183,247,374,522,619,502,433,397,312,200,102,54,26,16,15,8,8,,22
2021-08,휴일,89,6,93,108,184,259,307,269,243,217,173,116,63,35,19,12,9,4,2,,9
2021-09,평일,179,12,187,232,396,542,629,530,466,435,333,217,109,54,29,18,16,11,10,,22
2021-09,휴일,98,7,109,134,266,362,450,394,332,303,216,143,81,37,22,11,9,6,4,,8
2021-10,평일,198,14,213,262,461,651,830,702,609,569,420,251,120,54,29,18,17,14,10,,21
2021-10,휴일,100,7,103,131,248,403,505,470,413,371,263,153,80,39,20,12,10,5,4,,10
2021-11,평일,199,15,212,258,435,608,769,657,572,544,402,245,123,56,26,19,18,14,11,,22
2021-11,휴일,97,4,102,134,250,377,509,479,413,376,268,151,81,40,22,12,8,5,4,,8
2021-12,평일,198,15,205,245,399,537,642,578,510,500,371,243,124,62,31,19,18,15,10,,23
2021-12,휴일,88,4,96,113,178,287,327,303,313,276,200,120,82,40,24,14,10,5,4,,8
2022-01,평일,201,12,190,234,384,527,613,562,489,477,361,224,113,57,29,21,17,12,10,0,21
2022-01,휴일,89,5,80,96,177,292,345,336,310,278,187,123,75,41,21,13,9,4,3,0,10
2022-02,평일,183,11,180,216,354,466,517,493,418,420,308,190,97,50,27,17,14,11,8,0,20
2022-02,휴일,106,4,89,111,204,304,354,338,309,269,204,113,74,34,23,11,10,6,3,0,8
2022-03,평일,195,11,197,240,396,554,663,599,528,475,352,210,106,58,32,20,14,13,11,0,23
2022-03,휴일,94,5,95,113,193,292,350,341,308,286,198,117,71,35,23,15,7,5,4,0,8
2022-04,평일,218,13,213,280,453,726,910,761,661,607,442,263,139,67,34,23,15,15,12,0,21
2022-04,휴일,112,5,106,150,288,483,609,557,495,430,304,180,92,51,29,16,12,5,4,0,9
2022-05,평일,233,14,227,306,507,842,1097,895,746,688,510,302,154,76,39,23,17,19,10,0,22
2022-05,휴일,107,6,109,152,289,469,623,570,471,404,296,182,100,54,31,16,14,8,4,0,9
2022-06,평일,224,15,233,289,488,810,992,837,689,623,462,277,143,71,38,23,16,17,8,1,22
2022-06,휴일,113,8,121,165,323,526,683,597,491,437,322,184,106,62,35,20,14,8,4,0,8
2022-07,평일,228,15,233,305,480,796,922,771,659,603,456,289,142,77,40,25,17,17,8,1,21
2022-07,휴일,108,6,118,162,299,493,621,531,445,383,288,177,100,50,31,19,15,9,4,0,10
2022-08,평일,196,13,208,263,397,642,784,667,569,518,390,241,125,66,33,23,17,13,7,1,23
2022-08,휴일,97,6,108,148,256,415,534,451,384,342,248,160,99,50,25,18,15,8,4,0,8
2022-09,평일,213,13,215,284,467,716,862,727,599,560,429,264,135,72,40,22,18,15,8,2,22
2022-09,휴일,89,4,98,134,238,373,495,459,402,357,247,162,93,49,26,17,9,5,3,0,8
2022-10,평일,221,13,224,306,482,780,1001,894,741,679,494,295,146,72,35,23,18,17,10,2,21
2022-10,휴일,113,6,116,169,302,524,690,638,534,469,351,208,105,60,33,17,14,7,4,0,10
