CTPRVN_NM,SIGNGU_NM,SIGNGU_CD,POPLTN_CO,CL_NM,N10S_CLTUR_IDEX_VALUE,N20S_CLTUR_IDEX_VALUE,N30S_CLTUR_IDEX_VALUE,N40S_CLTUR_IDEX_VALUE,N50S_CLTUR_IDEX_VALUE,N60S_CLTUR_IDEX_VALUE,N70S_CLTUR_IDEX_VALUE,FILE_NM,BASE_DE
"강원특별자치도","강릉시","51150","179318","도서관","164.8","164.8","88.8","63.6","34.4","23.2","23.2","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","고성군","51820","21270","도서관","123.6","123.6","66.6","47.7","25.8","17.4","17.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","동해시","51170","72280","도서관","123.6","123.6","66.6","47.7","25.8","17.4","17.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","삼척시","51230","46205","도서관","123.6","123.6","66.6","47.7","25.8","17.4","17.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","속초시","51210","66912","도서관","123.6","123.6","66.6","47.7","25.8","17.4","17.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","양구군","51800","15945","도서관","41.2","41.2","22.2","15.9","8.6","5.8","5.8","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","양양군","51830","21771","도서관","41.2","41.2","22.2","15.9","8.6","5.8","5.8","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","영월군","51750","28385","도서관","82.4","82.4","44.4","31.8","17.2","11.6","11.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","원주시","51130","294364","도서관","206.0","206.0","111.0","79.5","43.0","29.0","29.0","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","인제군","51810","22819","도서관","82.4","82.4","44.4","31.8","17.2","11.6","11.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","정선군","51770","28123","도서관","82.4","82.4","44.4","31.8","17.2","11.6","11.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","철원군","51780","32638","도서관","164.8","164.8","88.8","63.6","34.4","23.2","23.2","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","춘천시","51110","240717","도서관","412.0","412.0","222.0","159.0","86.0","58.0","58.0","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","태백시","51190","30873","도서관","123.6","123.6","66.6","47.7","25.8","17.4","17.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","평창군","51760","33278","도서관","206.0","206.0","111.0","79.5","43.0","29.0","29.0","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","홍천군","51720","55332","도서관","206.0","206.0","111.0","79.5","43.0","29.0","29.0","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","화천군","51790","15862","도서관","82.4","82.4","44.4","31.8","17.2","11.6","11.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"강원특별자치도","횡성군","51730","37222","도서관","123.6","123.6","66.6","47.7","25.8","17.4","17.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","가평군","41820","50045","도서관","164.8","164.8","88.8","63.6","34.4","23.2","23.2","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","고양시 덕양구","41281","394429","도서관","370.8","370.8","199.8","143.1","77.4","52.2","52.2","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","고양시 일산동구","41285","264981","도서관","247.2","247.2","133.2","95.4","51.6","34.8","34.8","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","고양시 일산서구","41287","257393","도서관","247.2","247.2","133.2","95.4","51.6","34.8","34.8","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","과천시","41290","54020","도서관","123.6","123.6","66.6","47.7","25.8","17.4","17.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","광명시","41210","238633","도서관","247.2","247.2","133.2","95.4","51.6","34.8","34.8","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","광주시","41610","332204","도서관","329.6","329.6","177.6","127.2","68.8","46.4","46.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","구리시","41310","161814","도서관","123.6","123.6","66.6","47.7","25.8","17.4","17.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","군포시","41410","242871","도서관","247.2","247.2","133.2","95.4","51.6","34.8","34.8","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","김포시","41570","424501","도서관","329.6","329.6","177.6","127.2","68.8","46.4","46.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","남양주시","41360","578557","도서관","535.6","535.6","288.6","206.7","111.8","75.4","75.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","동두천시","41250","80306","도서관","82.4","82.4","44.4","31.8","17.2","11.6","11.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","부천시","41190","735736","도서관","700.4","700.4","377.4","270.3","146.2","98.6","98.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","성남시 분당구","41135","421998","도서관","370.8","370.8","199.8","143.1","77.4","52.2","52.2","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","성남시 수정구","41131","223203","도서관","206.0","206.0","111.0","79.5","43.0","29.0","29.0","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","성남시 중원구","41133","191260","도서관","164.8","164.8","88.8","63.6","34.4","23.2","23.2","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","수원시 권선구","41113","321945","도서관","288.4","288.4","155.4","111.3","60.2","40.6","40.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","수원시 영통구","41117","314353","도서관","370.8","370.8","199.8","143.1","77.4","52.2","52.2","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","수원시 장안구","41111","238600","도서관","206.0","206.0","111.0","79.5","43.0","29.0","29.0","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","수원시 팔달구","41115","189630","도서관","247.2","247.2","133.2","95.4","51.6","34.8","34.8","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","시흥시","41390","477208","도서관","494.4","494.4","266.4","190.8","103.2","69.6","69.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","안산시 단원구","41273","363395","도서관","288.4","288.4","155.4","111.3","60.2","40.6","40.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","안산시 상록구","41271","318347","도서관","329.6","329.6","177.6","127.2","68.8","46.4","46.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","안성시","41550","181060","도서관","247.2","247.2","133.2","95.4","51.6","34.8","34.8","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","안양시 동안구","41173","268450","도서관","247.2","247.2","133.2","95.4","51.6","34.8","34.8","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","안양시 만안구","41171","211555","도서관","164.8","164.8","88.8","63.6","34.4","23.2","23.2","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","양주시","41630","193555","도서관","329.6","329.6","177.6","127.2","68.8","46.4","46.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","양평군","41830","92031","도서관","247.2","247.2","133.2","95.4","51.6","34.8","34.8","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","여주시","41670","95400","도서관","288.4","288.4","155.4","111.3","60.2","40.6","40.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","연천군","41800","33175","도서관","82.4","82.4","44.4","31.8","17.2","11.6","11.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","오산시","41370","211772","도서관","288.4","288.4","155.4","111.3","60.2","40.6","40.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","용인시 기흥구","41463","375387","도서관","329.6","329.6","177.6","127.2","68.8","46.4","46.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","용인시 수지구","41465","313857","도서관","206.0","206.0","111.0","79.5","43.0","29.0","29.0","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","용인시 처인구","41461","228859","도서관","247.2","247.2","133.2","95.4","51.6","34.8","34.8","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","의왕시","41430","128900","도서관","206.0","206.0","111.0","79.5","43.0","29.0","29.0","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","의정부시","41150","392640","도서관","288.4","288.4","155.4","111.3","60.2","40.6","40.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","이천시","41500","189695","도서관","206.0","206.0","111.0","79.5","43.0","29.0","29.0","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","파주시","41480","387765","도서관","782.8","782.8","421.8","302.1","163.4","110.2","110.2","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","평택시","41220","504589","도서관","453.2","453.2","244.2","174.9","94.6","63.8","63.8","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","포천시","41650","151146","도서관","329.6","329.6","177.6","127.2","68.8","46.4","46.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","하남시","41450","248042","도서관","329.6","329.6","177.6","127.2","68.8","46.4","46.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경기도","화성시","41590","790670","도서관","782.8","782.8","421.8","302.1","163.4","110.2","110.2","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경상남도","거제시","48310","206816","도서관","288.4","288.4","155.4","111.3","60.2","40.6","40.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경상남도","거창군","48880","47302","도서관","82.4","82.4","44.4","31.8","17.2","11.6","11.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경상남도","고성군","48820","42351","도서관","82.4","82.4","44.4","31.8","17.2","11.6","11.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경상남도","김해시","48250","486075","도서관","370.8","370.8","199.8","143.1","77.4","52.2","52.2","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경상남도","남해군","48840","32600","도서관","82.4","82.4","44.4","31.8","17.2","11.6","11.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경상남도","밀양시","48270","83695","도서관","164.8","164.8","88.8","63.6","34.4","23.2","23.2","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경상남도","사천시","48240","86866","도서관","123.6","123.6","66.6","47.7","25.8","17.4","17.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경상남도","산청군","48860","26455","도서관","82.4","82.4","44.4","31.8","17.2","11.6","11.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경상남도","양산시","48330","290930","도서관","288.4","288.4","155.4","111.3","60.2","40.6","40.6","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경상남도","의령군","48720","20041","도서관","41.2","41.2","22.2","15.9","8.6","5.8","5.8","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경상남도","진주시","48170","293557","도서관","370.8","370.8","199.8","143.1","77.4","52.2","52.2","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경상남도","창녕군","48740","49519","도서관","123.6","123.6","66.6","47.7","25.8","17.4","17.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경상남도","창원시 마산합포구","48125","144062","도서관","123.6","123.6","66.6","47.7","25.8","17.4","17.4","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경상남도","창원시 마산회원구","48127","157604","도서관","164.8","164.8","88.8","63.6","34.4","23.2","23.2","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경상남도","창원시 성산구","48123","206124","도서관","164.8","164.8","88.8","63.6","34.4","23.2","23.2","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
"경상남도","창원시 의창구","48121","175495","도서관","164.8","164.8","88.8","63.6","34.4","23.2","23.2","KC_599_AGE_CLT_STATN_BIZAEA_2023","20240618"
