,역명,엘리베이터,에스컬레이터,화장실개수,출구개수
0,가락시장,9,34,3,9
1,가산디지털단지,4,14,1,7
2,강남,4,0,1,12
3,강남구청,2,7,1,4
4,강동,3,10,1,4
5,강동구청,3,5,1,5
6,강변,2,2,1,4
7,강일,8,16,2,0
8,개롱,3,2,1,4
9,개화산,2,0,1,2
10,거여,3,3,1,8
11,건대입구,4,13,2,6
12,경복궁,2,10,1,8
13,경찰병원,4,20,2,4
14,고덕,4,6,1,5
15,고려대,4,12,1,6
16,고속터미널,4,45,1,10
17,공덕,7,17,2,10
18,공릉,3,8,1,4
19,광나루,4,4,1,4
20,광명사거리,3,2,1,10
21,광화문,2,4,1,9
22,광흥창,3,9,1,6
23,교대,5,6,2,14
24,구로디지털단지,4,4,1,6
25,구산,1,4,1,4
26,구의,2,6,1,4
27,구파발,2,4,1,4
28,군자,4,14,1,8
29,굽은다리,3,4,1,4
30,금호,3,6,1,4
31,길동,3,3,1,3
32,길음,3,3,1,10
33,김포공항,2,8,2,4
34,까치산,2,12,1,4
35,낙성대,3,8,1,8
36,남구로,0,12,1,6
37,남부터미널,3,2,1,8
38,남성,4,14,1,4
39,남위례,3,7,1,0
40,남태령,3,2,1,4
41,남한산성입구,2,4,1,4
42,내방,5,10,1,8
43,노원,7,23,2,10
44,녹번,3,2,1,5
45,녹사평,3,13,1,4
46,논현,3,19,2,10
47,단대오거리,3,6,1,7
48,답십리,4,4,1,8
49,당고개,3,4,2,4
50,당산,4,1,1,13
51,대림,7,19,2,12
52,대청,3,4,1,8
53,대치,2,8,1,8
54,대흥,2,6,1,4
55,도곡,0,8,1,4
56,도림천,2,0,1,2
57,도봉산,5,0,2,2
58,독립문,2,8,1,5
59,독바위,2,8,1,1
60,돌곶이,3,4,1,8
61,동대문,5,11,2,10
62,동대문역사문화공원,7,13,4,14
63,동대입구,4,4,1,6
64,동묘앞,9,24,5,10
65,동작,2,0,1,9
66,둔촌동,3,3,1,4
67,디지털미디어시티,3,8,2,9
68,뚝섬,4,8,1,8
69,마곡,6,12,1,4
70,마들,4,8,1,8
71,마장,3,4,1,4
72,마천,3,10,1,2
73,마포,2,10,1,4
74,마포구청,4,12,2,8
75,망원,2,2,1,2
76,매봉,3,4,1,4
77,먹골,3,6,1,7
78,면목,3,6,1,3
79,명동,2,5,1,10
80,명일,3,2,1,4
81,모란,3,2,1,12
82,목동,3,4,1,8
83,몽촌토성,4,8,1,5
84,무악재,3,0,1,4
85,문래,4,4,1,7
86,문정,4,8,2,4
87,미사,4,22,2,0
88,미아,3,6,1,8
89,미아사거리,2,2,1,6
90,반포,4,6,1,6
91,발산,3,0,1,9
92,방배,3,2,1,4
93,방이,4,2,1,4
94,방화,3,6,1,4
95,버티고개,5,4,1,3
96,보라매,2,4,1,8
97,보문,1,2,1,8
98,복정,1,5,1,4
99,봉천,2,8,1,6
